gene_short_name,V515-06187-A1,17-00109-8_S14Aligned_cufflinks,TNT-271,TNT-192,TNT-272,TNT-3,TNT-41,TNT-326,17-00107-9_S10Aligned_cufflinks,TNT-299,TNT-234
KRT14,118.37100000000001,32.5228,2.72891,19.1258,4.912640000000001,0.794509,514.252,1.92268,30.8586,25.6825,73.9875
KRT16,91.0343,113.62200000000001,46.2,1.12426,126.281,0.602876,95.7477,0.0,68.4428,56.8354,71.7901
KRT17,105.34700000000001,109.838,14.5706,17.1917,447.583,1.86e-28,410.975,5.15554,48.4916,26.0235,266.007
KRT6A,54.2242,176.732,119.98200000000001,34.9008,215.078,0.0,262.42,4.61346,48.3622,44.845,76.4429
KRT6B,86.6584,27.5727,7.46643,3.91155,228.079,0.160932,98.6809,25.9574,20.933000000000003,37.9913,479.9
KYNU,14.7879,11.2024,11.4863,80.8272,17.0448,17.6823,5.3043,8.77872,2.84132,5.05969,8.79221
LBP,0.573258,0.33400100000000005,1.15844,93.4457,3.33742,0.410553,1.2441,0.0,0.0,15.463,0.257459
LHFP,2.0952,5.09697,0.9863430000000001,2.074,0.78988,1.13794,1.33469,0.0422214,5.20087,0.40642399999999995,0.714479
MFAP4,1.60954,33.1626,0.8054600000000001,3.8254900000000003,3.6858400000000002,2.50834,6.62759,0.0,57.6063,1.01978,3.14142
MIA,21.0747,0.0,3.92295,0.0,16.5155,0.376771,43.488,0.0,7.688160000000001,36.2504,5.76936
MID1,36.2366,24.305,12.7798,8.78539,35.9257,57.9088,22.2624,18.6038,8.02387,19.6522,26.9271
MYBL1,4.603619999999999,9.16538,22.5291,12.0674,8.01273,10.228,19.1092,8.07362,0.866525,63.3801,22.7219
NEK2,17.1321,0.0,25.2859,1.18318,14.4268,11.9278,16.5811,30.0864,1.70088,32.8681,28.8537
NTN3,0.023557599999999998,0.16475499999999998,0.0300728,0.0,0.0,0.0,0.098189,0.0,0.0,0.0,0.0
OGN,1.27872,69.1051,16.0821,69.8515,4.638330000000001,42.6224,17.5867,9.135110000000001,74.2179,14.3594,10.9256
PI3,0.0,42.1368,0.380187,0.0,1.75987,0.0,0.405905,26.7844,4.586790000000001,19.5937,0.809754
