gene_short_name,V515-06187-A1,TNT-4,TNT-1,TNT-223,17-00280-7_S4Aligned_cufflinks,TNT-105,17-00163-6_S7Aligned_cufflinks,TNT-65,TNT-8,17-00111-2_S4_cufflinks,TNT-282
KCNK5,7.320460000000001,0.166799,0.08886010000000001,0.00994656,0.34133600000000003,0.482227,3.80893,0.0,1.41812,0.610668,1.10293
KIAA1324,6.46799,15.1323,1.43479,101.822,106.109,7.3353399999999995,29.0089,26.6,21.9507,14.3826,28.5795
KMO,1.44589,7.90998,0.897208,124.265,17.2094,8.78243,3.8963099999999997,34.8601,14.9334,6.17594,2.02878
KRT14,118.37100000000001,3.8259,1.22776,0.0,20.0869,49.623000000000005,12.3077,0.0395644,1.8267400000000003,414.95300000000003,4.47365
KRT16,91.0343,9.11002,14.0226,4.82541,0.9753379999999999,14.972999999999999,331.452,0.052877,38.1514,256.994,85.9574
KRT17,105.34700000000001,15.2766,25.951999999999998,4.72114,40.3273,73.9639,128.648,4.63325,13.2012,173.845,109.236
KRT6A,54.2242,43.7876,1012.79,18.7566,2.1787400000000003,49.8643,7.01012,11.4816,16.528,502.23800000000006,81.6097
KRT6B,86.6584,10.2424,30.131999999999998,4.75327,5.99876,8.31075,36.4685,0.903227,5.9322099999999995,151.121,27.4725
KYNU,14.7879,69.6869,371.408,86.6903,40.2252,17.2198,17.2676,93.9778,16.8208,12.9163,6.11862
LBP,0.573258,183.90200000000002,0.31748899999999997,18.9415,0.0778297,0.669962,0.215567,850.753,1.17723,0.026970400000000002,50.1772
LHFP,2.0952,2.3965,0.81526,0.20118699999999998,1.07837,0.9068860000000001,0.448266,0.768759,0.13617100000000001,3.0411200000000003,0.27428600000000003
MFAP4,1.60954,20.6016,0.5645439999999999,0.228023,2.88714,0.276358,0.8498379999999999,3.01056,6.52457,15.3516,3.4615699999999996
MIA,21.0747,0.0,0.406346,0.0,0.8504440000000001,4.42199,47.2477,0.0,34.1576,26.3376,22.4521
MID1,36.2366,24.7647,34.466,6.942819999999999,1.8419299999999998,17.305999999999997,28.5098,16.6227,24.2185,8.14593,27.0078
MYBL1,4.603619999999999,3.4451699999999996,1.11174,6.41105,3.99811,29.0446,82.4844,25.6909,376.286,1.82664,1.09933
NEK2,17.1321,3.7872,8.00005,1.32151,16.8509,21.2469,32.5305,23.6071,14.7718,1.39409,11.9491
NTN3,0.023557599999999998,0.0,0.0,0.0,0.0959572,0.0,0.0,0.0,0.217783,0.0,0.0
OGN,1.27872,82.4171,3.9428199999999998,23.7732,1.52814,24.8683,1.08168,29.5179,20.2289,9.98837,5.10016
PI3,0.0,2.09959,1.17309,0.0,0.167212,3.8761300000000003,4.07075,6.60849,0.0,2.4862599999999997,111.991
PLEKHB1,14.583,0.0,1.82197,0.0,1.5825799999999999,0.41018599999999994,2.10874,0.805946,3.62724,1.24233,1.6425599999999998
PMAIP1,1.6239299999999999,0.09488339999999999,1.5458100000000001,0.0,1.77395,4.45515,1.47062,6.57748,1.17994,0.589743,1.82572
PSMB9,0.0,6.91171,51.6017,2.2066,0.0,4.74485,7.113580000000001,4.64345,4.06649,0.0,29.4268
PTGDS,1.49063,2.49494,0.0,0.046410599999999996,5.35736,1.51005,1.03946,0.9198209999999999,0.848852,11.4409,0.0
