gene_short_name,V515-06187-A1,TNT-1,TNT-271,TNT-322,TNT-194,TNT-296,17-00107-9_S10Aligned_cufflinks,TNT-239,TNT-94,TNT-50,TNT-24
INPP4B,37.1722,63.8126,7.737239999999999,11.0585,11.2239,4.70777,18.2547,27.6685,29.8417,17.8934,13.4709
ITM2A,5.13433,5.07621,8.80392,8.41023,11.2737,7.457319999999999,34.7873,41.0562,0.0,4.171819999999999,17.2039
JAM2,11.2143,2.3389599999999997,5.62351,14.3878,9.661719999999999,5.70155,26.791999999999998,8.91494,0.0,6.59347,5.36198
KCNK5,7.320460000000001,0.08886010000000001,0.537532,1.8551400000000002,2.25602,0.29501700000000003,0.0,0.285043,0.327907,0.660506,3.72339
KIAA1324,6.46799,1.43479,41.736000000000004,44.5245,6.48423,6.120430000000001,2.8806700000000003,25.3584,18.6514,4.37915,15.5619
KMO,1.44589,0.897208,9.41635,7.929060000000001,1.32144,10.6676,3.68603,24.7087,31.2493,11.1279,5.29445
KRT14,118.37100000000001,1.22776,2.72891,26.5788,389.075,0.113856,30.8586,2.00679,2.19612,1233.01,11.775
KRT16,91.0343,14.0226,46.2,89.57,324.98,1.6940099999999998,68.4428,17.9436,4.77604,553.128,156.186
KRT17,105.34700000000001,25.951999999999998,14.5706,75.4316,524.3919999999999,0.0,48.4916,34.4338,0.815724,379.87199999999996,237.929
KRT6A,54.2242,1012.79,119.98200000000001,9.45253,259.214,23.9963,48.3622,82.8246,7.5121899999999995,1349.87,12.9195
KRT6B,86.6584,30.131999999999998,7.46643,11.8312,92.3174,0.169457,20.933000000000003,139.554,2.87622,247.092,75.9562
KYNU,14.7879,371.408,11.4863,5.0327,3.65505,9.53512,2.84132,23.0941,0.0,7.27038,11.8771
LBP,0.573258,0.31748899999999997,1.15844,0.742749,0.8388760000000001,1.49229,0.0,3.42086,4.36765,0.41746300000000003,0.11400199999999999
LHFP,2.0952,0.81526,0.9863430000000001,0.848601,0.339519,0.252562,5.20087,0.784121,0.0018709,2.67659,1.22997
MFAP4,1.60954,0.5645439999999999,0.8054600000000001,0.9165989999999999,2.27238,0.49813999999999997,57.6063,3.85388,0.0,5.69762,4.47361
MIA,21.0747,0.406346,3.92295,37.434,29.91,0.0,7.688160000000001,38.436,10.5257,3.17113,9.454410000000001
MID1,36.2366,34.466,12.7798,25.2335,20.3668,20.5392,8.02387,27.8837,8.964210000000001,33.7614,24.9344
MYBL1,4.603619999999999,1.11174,22.5291,49.1399,10.1981,10.5008,0.866525,10.6215,26.6594,31.0013,50.6087
NEK2,17.1321,8.00005,25.2859,19.8866,25.116,35.7655,1.70088,24.1101,67.4823,14.2564,7.708189999999999
NTN3,0.023557599999999998,0.0,0.0300728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OGN,1.27872,3.9428199999999998,16.0821,23.0471,18.5507,29.086,74.2179,4.3811,14.1949,7.41343,7.165780000000001
PI3,0.0,1.17309,0.380187,0.17783,0.8458530000000001,0.0,4.586790000000001,0.0,0.0,0.342042,0.310929
PLEKHB1,14.583,1.82197,1.52853,0.544358,3.57226,2.8242599999999998,0.0,1.5604799999999999,2.4264900000000003,0.336417,3.86976
PMAIP1,1.6239299999999999,1.5458100000000001,3.5981099999999997,5.091019999999999,3.5289800000000002,1.76168,0.0,4.33091,14.323,1.5122200000000001,2.36075
PSMB9,0.0,51.6017,11.5524,4.20788,10.4857,26.9052,0.0,22.3266,0.784733,3.5819099999999997,49.1147
PTGDS,1.49063,0.0,4.04427,0.515843,0.669607,0.210943,6.37324,14.9539,0.8192729999999999,1.76951,2.5061
RARRES3,10.7933,214.764,18.4448,4.93264,7.320310000000001,7.02486,12.6041,115.305,0.0,6.06596,45.1789
