gene_short_name,V515-06187-A1,TNT-296,17-00122-1_S1_cufflinks,TNT-293,TNT-115,TNT-208,17-00108-5_S18Aligned_cufflinks,TNT-278,17-00097-1_S9_cufflinks,TNT-1,TNT-133
KRT6B,86.6584,0.169457,39.5837,0.044044,4.7401599999999995,0.298235,31.013,0.0,3.50011,30.131999999999998,0.0
KYNU,14.7879,9.53512,13.9844,31.2463,10.3495,26.8288,7.185969999999999,42.7789,5.392,371.408,6.90752
LBP,0.573258,1.49229,0.0,4.93654,1.5258399999999999,3.46219,0.264648,0.812294,0.652367,0.31748899999999997,0.0
LHFP,2.0952,0.252562,0.971894,0.48818199999999995,0.43419399999999997,2.59058,0.46065600000000007,0.438417,0.932149,0.81526,1.2399200000000001
MFAP4,1.60954,0.49813999999999997,0.646041,0.652204,2.83094,6.0048,1.9713900000000002,1.54269,0.288673,0.5645439999999999,20.6094
MIA,21.0747,0.0,2.24355,0.51859,0.0,0.82752,52.6175,0.0,0.845535,0.406346,0.0
MID1,36.2366,20.5392,19.3349,21.0676,4.80063,26.7608,27.7178,7.24832,13.0013,34.466,23.5989
MYBL1,4.603619999999999,10.5008,3.20131,23.7944,40.5034,6.4873400000000006,48.0038,5.53364,88.7484,1.11174,3.46601
NEK2,17.1321,35.7655,9.729460000000001,25.7407,29.8304,4.71088,22.4467,6.9343,23.2843,8.00005,10.8658
NTN3,0.023557599999999998,0.0,0.0,0.0,0.0,0.0,0.09214630000000001,0.0,0.175515,0.0,0.0
OGN,1.27872,29.086,0.491951,19.9502,5.27671,5.90913,0.8615780000000001,21.2801,0.632217,3.9428199999999998,87.2186
PI3,0.0,0.0,13.0826,0.630875,0.239601,0.538994,1.40499,0.0,2.08188,1.17309,0.0
PLEKHB1,14.583,2.8242599999999998,0.0,0.13943,0.0,0.41071899999999995,1.2345,0.284093,0.949499,1.82197,0.0
PMAIP1,1.6239299999999999,1.76168,0.701753,0.839744,1.4331,0.108547,4.76914,0.808025,2.63308,1.5458100000000001,0.0
PSMB9,0.0,26.9052,0.0,8.91372,33.166,10.6131,0.0,4.4101,0.0,51.6017,8.88371
PTGDS,1.49063,0.210943,10.8266,0.31455900000000003,1.7184700000000002,7.60203,3.30801,1.8187200000000001,0.5857060000000001,0.0,2.50168
RARRES3,10.7933,7.02486,3.24346,43.7136,87.5903,59.575,8.469610000000001,13.9324,7.35418,214.764,1.1592799999999999
RTP4,0.772275,3.4568199999999996,0.0,2.4733,9.50501,0.763183,1.04102,0.08686039999999999,0.724984,1.68055,0.8344229999999999
S100A1,196.638,0.0,0.0,0.361616,10.6195,12.8427,15.4601,0.915583,5.58359,0.0,2.52791
S100A7,6.579160000000001,0.20705,7.52054,6.687069999999999,519.99,0.836478,0.0,2.87785,0.5287649999999999,1.695,0.0
S100A8,3.4999599999999997,6.7621199999999995,12.2914,2.92903,96.5914,3.90436,0.799238,3.13544,3.62696,6.869330000000001,0.0
SCRG1,23.221999999999998,2.43223,0.0,1.0085,0.127307,1.54064,0.33876999999999996,4.0824300000000004,0.143501,1.2327299999999999,0.08771330000000001
SEMA3C,89.189,4.72316,58.1962,25.0484,9.35257,89.8808,12.525,21.9546,46.9475,26.6623,120.15799999999999
SERHL2,5.02658,0.7395149999999999,9.48451,71.7846,5.03873,23.9761,7.81635,23.6951,9.03314,0.603352,15.5356
SFRP1,35.3095,11.6134,0.7392770000000001,0.0869003,4.03801,2.9735099999999997,13.0061,0.24418499999999999,31.8986,0.445617,8.57477
SIDT1,0.9090090000000001,1.30631,11.5365,19.8668,8.53938,17.9819,6.64324,19.3007,1.4220700000000002,14.2356,19.9844
SOX10,3.84721,0.0,1.4270100000000001,0.0,0.812829,0.20005799999999999,6.35197,0.0,0.0,0.28333800000000003,0.0
SPDEF,0.141878,0.0,1.55112,5.742999999999999,0.27778,4.01216,0.44301199999999996,1.6802599999999999,0.7834220000000001,10.6382,3.02298
SPRR1B,0.09447810000000001,0.0,10.5353,0.0,0.0,0.0,0.0,0.0,0.0,5.8520199999999996,0.0
SPTLC2,28.7351,17.2495,11.985,165.09400000000002,74.6543,177.357,22.9936,47.7442,44.3926,32.4383,69.4324
SRPX,12.4869,0.08347339999999999,4.18922,1.01191,1.54925,2.6516,2.07515,1.06881,5.55629,3.72821,4.51251
TCF7L1,11.751,11.2977,29.4036,2.2856099999999997,3.03016,4.7443,14.3223,0.853785,21.8613,2.02222,1.12875
TFAP2B,1.18026,0.187122,0.117817,93.3454,0.0,63.8229,0.21307199999999998,82.1722,0.418495,0.0,19.6431
THBS4,8.67223,7.621689999999999,7.5362800000000005,5.02284,5.97353,17.0684,6.26509,6.88127,1.0911799999999998,0.7613449999999999,129.305
TNFAIP8,5.97248,15.7102,13.5491,9.34912,44.1196,34.1046,13.7328,31.3622,9.78406,12.597999999999999,6.36265
TNFSF10,24.8142,38.096,12.4991,83.9819,75.9663,26.7468,8.582,57.7496,6.811710000000001,34.7003,49.6478
TRIM68,7.67148,6.33707,2.71829,2.4563200000000003,2.44961,2.18424,1.92945,0.47893100000000005,0.781292,6.65522,5.30821
TSC22D3,7.24202,7.56735,1.8407099999999998,10.5057,16.9798,32.9086,7.39285,20.531999999999996,8.16817,19.0169,33.7243
UBD,0.0,189.13099999999997,0.0,3.7799999999999995e-11,76.5536,13.3971,0.0,6.17614,0.0,28.7398,3.4039699999999997
UGT2B28,0.0,10.9314,0.0,0.08143539999999999,0.0,1.10677,0.0,23.4067,0.573986,0.0,0.0
XBP1,26.3139,27.0571,41.883,139.92,97.6865,148.80200000000002,132.852,130.299,43.428000000000004,50.1395,168.671
ZCCHC24,0.75321,0.0278627,0.204038,0.298602,0.691361,1.13434,0.410678,0.07908939999999999,0.9831700000000001,0.502634,3.33165
