gene_short_name,V515-06187-A1,TNT-16,TNT-57,TNT-187,TNT-326,TNT-49,17-00097-1_S9_cufflinks,TNT-325,17-00280-7_S4Aligned_cufflinks,17-00101-5_S19Aligned_cufflinks,17-00160-1_S2Aligned_cufflinks
S100A7,6.579160000000001,2.50147,1.0745200000000001,4.1521099999999995,0.0,130.787,0.5287649999999999,150.357,1.52681,271.001,16.7462
S100A8,3.4999599999999997,10.1171,0.912848,3.62201,2.63903,87.3694,3.62696,72.5769,28.2072,100.677,7.4687399999999995
SCRG1,23.221999999999998,4.35705,51.566,1.37776,1.8769799999999999,0.0,0.143501,0.0,0.11776500000000001,0.0193065,0.353705
SEMA3C,89.189,79.0897,14.4221,38.5855,27.273000000000003,34.3299,46.9475,17.0593,21.9289,73.134,5.61644
SERHL2,5.02658,185.252,2.41741,0.464766,0.0,1.0178399999999999,9.03314,0.0,72.8702,2.86803,2.62127
SFRP1,35.3095,1.82529,41.9017,16.0133,10.1147,3.58035,31.8986,4.72912,0.32416300000000003,1.14134,9.885769999999999
SIDT1,0.9090090000000001,17.5978,1.0019,2.00952,3.11273,9.38234,1.4220700000000002,43.0664,22.2534,0.697295,0.6342270000000001
SOX10,3.84721,0.07225039999999999,4.406619999999999,0.0943175,0.241657,0.8943270000000001,0.0,0.0,0.0778642,0.0,7.16494
SPDEF,0.141878,16.2187,0.026727499999999998,0.0,0.0,0.043974099999999995,0.7834220000000001,0.9830120000000001,12.1178,0.0,0.302264
SPRR1B,0.09447810000000001,0.0,0.42824700000000004,0.0,0.0,0.0,0.0,0.512416,0.0,3.26633,0.52413
SPTLC2,28.7351,298.634,51.2638,43.004,19.0873,8.47609,44.3926,8.20777,55.1443,40.5093,49.6177
SRPX,12.4869,10.7163,7.25335,10.878,2.1743900000000003,10.3912,5.55629,0.476734,1.21131,3.5157199999999995,1.60124
TCF7L1,11.751,6.46698,51.5262,19.9522,27.8505,39.6384,21.8613,5.27969,5.660909999999999,13.5439,12.7575
TFAP2B,1.18026,34.228,0.631304,1.4580600000000001,9.64635,3.7353400000000003,0.418495,1.15901,14.087,0.625831,0.0538654
THBS4,8.67223,10.0685,6.38016,22.4667,1.19803,1.3951200000000001,1.0911799999999998,2.09302,4.36571,7.681989999999999,0.485063
TNFAIP8,5.97248,28.6406,12.7164,15.8983,29.3606,9.34008,9.78406,45.8522,16.454,6.64522,9.44032
TNFSF10,24.8142,158.82,14.0494,21.6716,37.3773,49.6164,6.811710000000001,57.3512,132.384,31.6048,32.8667
TRIM68,7.67148,5.53874,3.50355,3.24729,0.822314,0.0474908,0.781292,0.415434,8.45792,2.5005900000000003,0.76994
TSC22D3,7.24202,35.7546,9.533710000000001,8.56875,1.96725,18.7024,8.16817,8.925939999999999,9.54262,4.73979,9.99221
UBD,0.0,2.0899999999999995e-27,1.25475,42.74100000000001,2.44506,60.5991,0.0,74.485,0.0,0.0,0.0
UGT2B28,0.0,4.88119,0.803126,1.01673,0.0,0.0,0.573986,0.0,0.10263800000000001,0.0,0.0
XBP1,26.3139,282.606,62.5597,31.217,99.6604,44.2997,43.428000000000004,38.2012,304.504,16.4091,57.7395
ZCCHC24,0.75321,2.6722099999999998,0.80106,1.7465099999999998,0.015883,0.0,0.9831700000000001,0.0,0.520663,0.896906,0.34524299999999997
