gene_short_name,V515-06187-A1,17-00100-2_S17Aligned_cufflinks,17-00212-8_S3Aligned_cufflinks,TNT-281,TNT-100,17-00163-6_S7Aligned_cufflinks,TNT-297,TNT-325,17-00110-9_S15Aligned_cufflinks,TNT-321,TNT-225
KMO,1.44589,6.65857,51.953,24.4904,4.03722,3.8963099999999997,5.40338,0.0,1.4564700000000002,5.43145,7.30783
KRT14,118.37100000000001,1582.72,13.2923,276.062,17.7406,12.3077,119.134,3.03677,2.6992700000000003,0.558435,125.86
KRT16,91.0343,577.869,5.29504,349.52099999999996,26.5273,331.452,22.9168,3.34785,12.7079,0.667732,16.3566
KRT17,105.34700000000001,905.3480000000001,25.5607,219.024,32.7619,128.648,238.324,0.47600699999999996,23.1023,0.23003200000000001,84.9056
KRT6A,54.2242,1570.27,18.327,622.6469999999999,46.8005,7.01012,138.19799999999998,34.6454,22.5461,0.310825,39.4656
KRT6B,86.6584,239.09799999999998,7.05858,180.32,77.5874,36.4685,52.0512,124.62899999999999,63.107,0.199049,137.366
KYNU,14.7879,26.6823,97.4717,2.55798,8.12335,17.2676,11.5655,10.7773,3.31682,4.2388699999999995,19.8934
LBP,0.573258,0.8672129999999999,18.7281,0.29639099999999996,0.0556399,0.215567,0.152604,0.0,0.0,0.29225500000000004,0.033786500000000004
LHFP,2.0952,1.0104,2.08498,0.0228533,1.13224,0.448266,1.35016,1.67851,0.905259,0.10813800000000001,0.92133
MFAP4,1.60954,1.15642,6.34898,0.11254700000000001,4.33022,0.8498379999999999,1.71721,0.145341,1.0410700000000002,0.0,2.7118700000000002
MIA,21.0747,2.57247,2.07213,10.8148,1.9664400000000002,47.2477,16.0349,0.0,139.753,2.7576,3.69805
MID1,36.2366,19.8566,11.1729,14.8445,10.3217,28.5098,65.2174,13.4752,2.1082400000000003,7.1310199999999995,31.1013
MYBL1,4.603619999999999,7.9371100000000006,4.7565,4.13731,28.7094,82.4844,61.0025,6.891660000000001,3.8023800000000003,16.0403,11.1978
NEK2,17.1321,13.3532,4.376930000000001,30.6035,17.3282,32.5305,34.9499,31.5251,11.0728,22.3191,16.6841
NTN3,0.023557599999999998,0.0,0.016492700000000002,0.0,0.0,0.0,0.0,0.0,0.0371457,0.057666699999999994,0.0
OGN,1.27872,1.71931,17.1544,36.5507,16.1288,1.08168,11.4075,31.1962,0.20845500000000003,21.7832,18.6864
PI3,0.0,35.6836,2.95712,15.133,4.06093,4.07075,0.6360180000000001,151.46200000000002,0.30924,1.18232,0.351765
PLEKHB1,14.583,0.354532,0.291418,0.380533,0.902408,2.10874,8.1823,0.0,3.4420300000000004,0.24111999999999997,0.585629
PMAIP1,1.6239299999999999,5.2159,0.701642,10.6012,2.55461,1.47062,2.39667,5.23496,0.10243,5.21404,4.02694
PSMB9,0.0,0.0,0.0,40.9199,17.9413,7.113580000000001,13.9884,24.3438,0.0,10.169,6.16222
PTGDS,1.49063,1.79285,14.6355,1.7738599999999998,2.2711799999999998,1.03946,11.6725,0.0,1.69612,0.17015999999999998,1.7367599999999999
RARRES3,10.7933,33.1648,22.884,40.4701,34.1245,2.74916,19.2644,51.3022,4.64353,9.3398,10.7116
RTP4,0.772275,1.6506900000000002,1.14486,4.15161,4.4314599999999995,2.11816,1.57226,0.0,0.048426300000000005,0.9759120000000001,1.9361599999999999
S100A1,196.638,9.94192,0.346523,0.109232,17.2424,210.674,14.5831,0.0,17.525,0.0,16.3815
S100A7,6.579160000000001,171.572,115.285,58.7633,90.8251,4.38432,0.26295799999999997,150.357,0.0,0.0,0.36267
S100A8,3.4999599999999997,37.7124,11.5963,14.3193,24.8285,24.6743,3.7241199999999997,72.5769,1.75952,0.865534,1.96069
SCRG1,23.221999999999998,0.020760900000000002,0.0353548,0.372302,0.134701,55.2941,15.7144,0.0,0.0,2.90619,19.2951
SEMA3C,89.189,52.284,53.0699,32.1716,25.4714,13.6893,11.818,17.0593,13.6146,5.4474599999999995,29.3055
SERHL2,5.02658,1.62858,256.397,0.112596,1.91457,2.30145,3.6819800000000003,0.0,3.3723199999999998,0.718039,1.0714700000000001
SFRP1,35.3095,0.9832989999999999,0.426925,4.82991,18.3509,1.5730600000000001,40.8617,4.72912,11.7983,11.2555,11.2392
SIDT1,0.9090090000000001,2.97838,14.2961,5.19909,6.621589999999999,0.5139630000000001,2.16657,43.0664,26.2512,2.17142,2.56792
SOX10,3.84721,0.0116108,0.04504930000000001,0.0,1.58692,0.0,2.94014,0.0,13.8201,1.45691,1.3665100000000001
SPDEF,0.141878,0.0,9.11262,0.0,0.40413899999999997,0.223563,0.387559,0.9830120000000001,10.8008,0.0,0.060040699999999995
SPRR1B,0.09447810000000001,0.0649554,0.06539339999999999,0.0904638,0.0,0.308586,0.0,0.512416,0.0,0.0,0.0
SPTLC2,28.7351,34.5352,69.0722,43.3611,47.0239,32.8332,36.4933,8.20777,18.5445,12.505999999999998,50.3319
SRPX,12.4869,2.21329,3.76485,0.0,3.69887,1.92123,2.91066,0.476734,0.814167,1.2381,5.6770000000000005
TCF7L1,11.751,7.3748,2.6816,4.3718699999999995,12.9741,26.805,11.6125,5.27969,26.4978,15.7481,4.43431
TFAP2B,1.18026,1.80719,28.0595,0.00802045,0.287497,0.956076,0.54202,1.15901,19.6334,0.0,0.551706
THBS4,8.67223,3.8008699999999997,10.1305,2.93782,8.393239999999999,1.21156,11.2152,2.09302,2.78039,20.2648,57.9839
TNFAIP8,5.97248,11.0254,23.0422,22.9848,48.5812,8.02079,20.7664,45.8522,10.863,25.2009,17.7713
TNFSF10,24.8142,45.96,48.7501,43.6615,108.079,3.33955,18.3052,57.3512,10.6811,16.3129,15.0652
TRIM68,7.67148,5.43264,7.4270000000000005,13.5519,0.272175,0.8307700000000001,4.2845,0.415434,4.71341,0.240721,2.18322
TSC22D3,7.24202,6.84425,18.1725,6.87321,10.1657,18.3645,24.3684,8.925939999999999,6.786910000000001,0.7524390000000001,21.8741
UBD,0.0,0.0,0.0,137.485,41.9058,0.0,1.14499,74.485,0.0,41.4485,3.05274
UGT2B28,0.0,0.0,2.89132,5.3234,0.0,0.0,2.27661,0.0,0.0,0.262825,1.0251
XBP1,26.3139,66.946,136.75,35.2366,163.35,39.7686,30.2841,38.2012,58.4986,23.6254,46.1754
ZCCHC24,0.75321,1.10658,1.17116,0.0,0.65349,0.257006,1.4512399999999999,0.0,0.532574,0.411487,0.562095
