gene_short_name,V515-06187-A1,TNT-82,17-00157-0_S11Aligned_cufflinks,17-00139-2_S9Aligned_cufflinks,17-00113-4_S11_cufflinks,TNT-83,TNT-98,TNT-281,17-00212-8_S3Aligned_cufflinks,TNT-121,TNT-33
PLEKHB1,14.583,4.0029699999999995,5.81267,0.203369,1.27312,0.557688,0.0,0.380533,0.291418,2.79989,8.37067
PMAIP1,1.6239299999999999,8.2696,1.60111,12.390999999999998,13.1758,0.719421,0.0,10.6012,0.701642,1.1564299999999998,0.451036
PSMB9,0.0,8.1736,9.59711,0.0,0.0,21.4879,22.5962,40.9199,0.0,12.0092,22.3417
PTGDS,1.49063,0.36189299999999996,8.94655,1.11693,4.56134,0.75678,9.09855,1.7738599999999998,14.6355,2.60818,13.792
RARRES3,10.7933,11.6381,5.33786,6.2457,5.6112,169.065,32.007,40.4701,22.884,3.96567,33.844
RTP4,0.772275,0.418178,0.359175,1.01529,3.38501,5.00847,1.8151,4.15161,1.14486,2.66109,1.43055
S100A1,196.638,6.23529,43.4994,2.49971,4.30015,4.87729,0.38298899999999997,0.109232,0.346523,2.87935,30.7494
S100A7,6.579160000000001,11.175999999999998,1.15754,0.849959,0.277898,0.174539,55.8724,58.7633,115.285,0.0,0.0
S100A8,3.4999599999999997,8.25177,2.80385,2.9412599999999998,5.84994,1.39343,18.9458,14.3193,11.5963,0.0,0.204478
SCRG1,23.221999999999998,16.9336,5.63649,0.0,0.0855807,0.28728899999999996,0.540506,0.372302,0.0353548,11.3018,1.67508
SEMA3C,89.189,59.9662,113.926,38.9655,31.7723,15.3978,61.4877,32.1716,53.0699,75.8396,20.5231
SERHL2,5.02658,6.880610000000001,3.74914,4.63755,1.81287,142.226,8.79175,0.112596,256.397,4.6203199999999995,7.812710000000001
SFRP1,35.3095,11.0022,15.0663,1.51994,1.9379099999999998,0.416292,3.23093,4.82991,0.426925,22.1675,42.2408
SIDT1,0.9090090000000001,1.21553,1.31951,0.872016,1.03892,16.3553,18.52,5.19909,14.2961,5.70291,12.8335
SOX10,3.84721,2.68954,6.6931199999999995,0.24186300000000002,1.62839,0.0883835,0.545676,0.0,0.04504930000000001,2.3355200000000003,2.78625
SPDEF,0.141878,0.0,0.09151419999999999,0.058434900000000005,0.0,11.802,0.787379,0.0,9.11262,1.25775,7.13518
SPRR1B,0.09447810000000001,0.0,0.35722600000000004,0.0,0.0,0.0,0.0,0.0904638,0.06539339999999999,0.0,0.0
SPTLC2,28.7351,31.9076,40.6082,24.144000000000002,37.4772,99.8843,27.576,43.3611,69.0722,46.7418,86.3208
SRPX,12.4869,3.4502,11.5373,1.27999,4.32891,2.11423,3.13155,0.0,3.76485,4.755719999999999,4.34368
TCF7L1,11.751,5.74527,9.27533,11.0243,12.1978,5.28734,6.33703,4.3718699999999995,2.6816,11.4588,13.4634
TFAP2B,1.18026,0.378274,0.435733,0.257357,0.300197,91.2466,1.95417,0.00802045,28.0595,0.0,0.0871335
THBS4,8.67223,5.24717,12.4065,6.218719999999999,2.00873,8.67857,5.17795,2.93782,10.1305,30.4901,74.9931
TNFAIP8,5.97248,12.5866,8.940669999999999,5.70276,12.079,26.934,32.1947,22.9848,23.0422,7.657830000000001,59.3159
TNFSF10,24.8142,9.16731,11.2988,48.6482,20.4693,50.7573,88.3038,43.6615,48.7501,34.2835,46.6286
TRIM68,7.67148,0.680226,3.88962,0.120771,2.78882,3.34384,3.16214,13.5519,7.4270000000000005,0.305368,2.4750900000000002
TSC22D3,7.24202,16.1831,47.9913,3.85501,6.2024,77.8816,13.0232,6.87321,18.1725,15.8148,29.4275
UBD,0.0,1.03575,0.0,0.0,57.6173,1.8077400000000001,90.6399,137.485,0.0,0.6697420000000001,47.994
UGT2B28,0.0,0.0,0.0,0.0,0.0,0.0177382,0.0,5.3234,2.89132,13.3265,0.165279
XBP1,26.3139,13.4489,32.6882,18.3573,31.089000000000002,206.047,162.27700000000002,35.2366,136.75,33.0322,141.18
ZCCHC24,0.75321,0.289876,1.4920799999999999,0.116612,0.503292,4.52648,0.351353,0.0,1.17116,0.183032,1.07989
