gene_short_name,V515-06187-A1,TNT-328,TNT-296,17-00212-8_S3Aligned_cufflinks,TNT-194,TNT-104,TNT-325,TNT-272,TNT-299,TNT-48,TNT-111
NEK2,17.1321,4.76664,35.7655,4.376930000000001,25.116,5.31843,31.5251,14.4268,32.8681,4.81712,4.20757
NTN3,0.023557599999999998,0.0,0.0,0.016492700000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OGN,1.27872,26.9071,29.086,17.1544,18.5507,75.4417,31.1962,4.638330000000001,14.3594,106.76799999999999,13.2351
PI3,0.0,0.0,0.0,2.95712,0.8458530000000001,0.0,151.46200000000002,1.75987,19.5937,0.0,0.0
PLEKHB1,14.583,0.613881,2.8242599999999998,0.291418,3.57226,0.0,0.0,4.17103,2.5600099999999997,1.01819,0.639033
PMAIP1,1.6239299999999999,0.0,1.76168,0.701642,3.5289800000000002,0.0,5.23496,6.874969999999999,4.82886,1.4620799999999998,0.33408899999999997
PSMB9,0.0,0.301134,26.9052,0.0,10.4857,1.0381799999999999,24.3438,9.40904,5.5591,6.53207,4.54106
PTGDS,1.49063,2.12735,0.210943,14.6355,0.669607,3.24923,0.0,0.752749,2.39453,7.0991800000000005,0.542022
RARRES3,10.7933,2.52434,7.02486,22.884,7.320310000000001,0.484158,51.3022,20.9999,7.0246699999999995,3.7106,30.5666
RTP4,0.772275,0.0,3.4568199999999996,1.14486,2.22149,0.141051,0.0,0.749472,3.77599,0.348383,0.783504
S100A1,196.638,17.5934,0.0,0.346523,19.5795,0.42918,0.0,6.65775,32.7335,6.33437,0.248466
S100A7,6.579160000000001,0.0,0.20705,115.285,0.538471,1.5830600000000001,150.357,239.183,7.09766,5.704359999999999,1.10461
S100A8,3.4999599999999997,3.32571,6.7621199999999995,11.5963,6.44369,0.543271,72.5769,259.716,24.8919,2.22548,5.80152
SCRG1,23.221999999999998,40.7982,2.43223,0.0353548,56.2852,0.06643660000000001,0.0,1.5624,35.6581,8.00871,1.19671
SEMA3C,89.189,9.95055,4.72316,53.0699,8.37491,302.366,17.0593,33.857,37.7756,60.8777,36.4009
SERHL2,5.02658,0.6588109999999999,0.7395149999999999,256.397,5.66259,185.863,0.0,2.1636900000000003,0.5387390000000001,0.107499,546.021
SFRP1,35.3095,24.6403,11.6134,0.426925,9.52922,1.4594,4.72912,6.14424,11.8774,16.8272,2.2210799999999997
SIDT1,0.9090090000000001,1.07031,1.30631,14.2961,0.8704559999999999,37.3052,43.0664,1.06168,2.94446,8.993319999999999,22.7282
SOX10,3.84721,0.8844200000000001,0.0,0.04504930000000001,1.39412,0.0,0.0,1.368,2.03024,1.82181,0.122019
SPDEF,0.141878,0.061257900000000004,0.0,9.11262,0.123991,4.93238,0.9830120000000001,0.026523900000000003,0.868376,1.17641,8.59881
SPRR1B,0.09447810000000001,0.0,0.0,0.06539339999999999,0.0,0.0,0.512416,0.0,0.278642,0.0,0.0
SPTLC2,28.7351,10.6137,17.2495,69.0722,19.9639,128.374,8.20777,34.3879,26.9449,38.3509,153.029
SRPX,12.4869,11.3068,0.08347339999999999,3.76485,5.00084,8.902000000000001,0.476734,1.3637,2.8907,18.5705,9.55792
TCF7L1,11.751,8.466569999999999,11.2977,2.6816,26.9459,4.8579099999999995,5.27969,36.1423,10.5965,22.2101,3.0540700000000003
TFAP2B,1.18026,0.8045359999999999,0.187122,28.0595,2.1715299999999997,92.3299,1.15901,0.162396,2.20139,7.76836,60.1361
THBS4,8.67223,6.2626,7.621689999999999,10.1305,16.24,219.377,2.09302,5.2676300000000005,8.9721,53.9149,24.2651
TNFAIP8,5.97248,5.01769,15.7102,23.0422,15.6913,15.4619,45.8522,15.1367,8.407010000000001,20.3114,12.6779
TNFSF10,24.8142,4.20929,38.096,48.7501,19.8522,138.21200000000002,57.3512,22.141,8.92687,23.6433,20.7587
TRIM68,7.67148,0.21750500000000003,6.33707,7.4270000000000005,4.0406699999999995,0.8044979999999999,0.415434,3.4083900000000003,1.65405,1.04887,7.69963
TSC22D3,7.24202,6.003909999999999,7.56735,18.1725,20.4103,20.2465,8.925939999999999,8.29544,13.1949,6.22922,47.5759
UBD,0.0,0.0,189.13099999999997,0.0,8.18793,5.86496,74.485,130.505,2.67944,1.0295299999999998,1.09897
UGT2B28,0.0,0.0,10.9314,2.89132,1.8360400000000001,2.69945,0.0,0.09635139999999999,6.18025,0.0,259.096
XBP1,26.3139,16.6502,27.0571,136.75,31.2455,740.561,38.2012,51.9931,22.8505,27.9336,180.636
ZCCHC24,0.75321,0.0197941,0.0278627,1.17116,0.122868,0.0629094,0.0,0.159236,0.17440899999999998,1.27114,2.02662
