gene_short_name,V515-06187-A1,TNT-204,TNT-231,17-00160-1_S2Aligned_cufflinks,TNT-217,17-00125-8_S13Aligned_cufflinks,17-00100-2_S17Aligned_cufflinks,TNT-67,TNT-265,TNT-240,17-00243-6_S9Aligned_cufflinks
MIA,21.0747,0.902935,0.0,0.5800109999999999,0.0,4.536519999999999,2.57247,0.31262199999999996,2.32658,0.0,3.57539
MID1,36.2366,7.777710000000001,82.5869,11.5278,8.06621,11.1666,19.8566,19.5429,7.789039999999999,0.157822,19.4964
MYBL1,4.603619999999999,5.3623,2.33652,10.6239,17.1522,0.8439909999999999,7.9371100000000006,3.11246,65.958,74.0125,2.26514
NEK2,17.1321,3.68013,9.82627,26.3562,5.67865,0.0,13.3532,0.0331213,24.9457,24.6302,0.583537
NTN3,0.023557599999999998,0.0,0.0,0.0,0.0,0.72148,0.0,0.0,0.0,0.0,0.028244799999999997
OGN,1.27872,18.2162,9.15397,1.35366,18.8553,24.712,1.71931,133.8,9.22293,21.5396,45.42100000000001
PI3,0.0,0.0,119.469,1.8968599999999998,0.0,0.0,35.6836,3.1659900000000003,0.138156,0.0,0.47588500000000006
PLEKHB1,14.583,0.0,0.013343100000000002,5.0627699999999995,1.13715,0.0,0.354532,2.2614400000000003,1.9091599999999997,0.0,1.3299
PMAIP1,1.6239299999999999,5.34089,9.53519,2.45811,0.0,15.6384,5.2159,1.3434700000000002,3.11746,0.139094,0.588906
PSMB9,0.0,13.0232,24.8823,0.0,36.9087,0.0,0.0,6.8512,35.3842,13.8639,0.0
PTGDS,1.49063,5.47321,1.5664799999999999,1.8430900000000001,30.906,12.2808,1.79285,3.62713,15.2188,0.945333,30.8632
RARRES3,10.7933,41.4027,119.425,6.713660000000001,14.4303,24.4087,33.1648,27.8473,46.8306,0.6503479999999999,35.4719
RTP4,0.772275,2.81104,0.123359,3.2141900000000003,9.09239,0.9377049999999999,1.6506900000000002,0.386714,11.5963,1.98636,1.58515
S100A1,196.638,0.0,0.0,13.8277,1.4650299999999998,11.2292,9.94192,0.8709809999999999,4.29134,4.30047,3.7795699999999997
S100A7,6.579160000000001,3.4990099999999997,376.721,16.7462,0.0,0.0,171.572,550.909,22.3707,0.0,8.425880000000001
S100A8,3.4999599999999997,8.7204,372.79,7.4687399999999995,1.84107,17.6617,37.7124,273.093,1.86021,9.6087,10.0399
SCRG1,23.221999999999998,0.700362,0.0,0.353705,0.0,0.0,0.020760900000000002,1.82312,0.43998699999999996,0.2811,0.0701932
SEMA3C,89.189,55.0883,97.5067,5.61644,0.384932,33.3766,52.284,97.1217,22.3716,0.5151819999999999,61.3215
SERHL2,5.02658,56.482,3.99712,2.62127,6.733789999999999,44.4878,1.62858,17.4401,2.6417900000000003,0.0,19.9281
SFRP1,35.3095,1.9391599999999998,2.70922,9.885769999999999,3.47615,9.57648,0.9832989999999999,4.03949,0.18926800000000002,4.988169999999999,6.72849
SIDT1,0.9090090000000001,17.7867,8.15287,0.6342270000000001,41.6228,10.0237,2.97838,8.95075,23.2043,2.4719,9.63895
SOX10,3.84721,0.0,0.0,7.16494,0.696051,3.93353,0.0116108,0.0,1.01938,0.229275,1.24586
SPDEF,0.141878,5.67909,3.1351400000000003,0.302264,0.452909,3.7916800000000004,0.0,3.88299,0.07995880000000001,0.0,2.54524
SPRR1B,0.09447810000000001,1.1117299999999999,0.0,0.52413,0.0,0.0,0.0649554,0.0,0.0,0.0,0.10835
SPTLC2,28.7351,38.3141,25.4481,49.6177,37.9831,31.9106,34.5352,69.1719,39.5264,15.8622,28.4852
SRPX,12.4869,1.8813099999999998,2.24238,1.60124,3.18607,11.315999999999999,2.21329,20.0714,0.232665,0.236994,14.706
TCF7L1,11.751,2.498,5.53084,12.7575,4.03289,17.9877,7.3748,7.453639999999999,5.04884,33.1589,10.1506
TFAP2B,1.18026,27.5623,1.15365,0.0538654,0.0,3.9222699999999997,1.80719,29.399,0.0699716,0.0,6.80933
THBS4,8.67223,52.0386,10.1966,0.485063,8.61506,17.7867,3.8008699999999997,26.4865,1.1335600000000001,0.373618,12.7354
TNFAIP8,5.97248,55.4688,21.7562,9.44032,114.787,11.2917,11.0254,23.0743,93.1282,15.1801,14.1535
TNFSF10,24.8142,27.04,21.3015,32.8667,38.1127,18.0064,45.96,33.9976,48.2169,34.5012,35.1596
TRIM68,7.67148,2.84899,2.10719,0.76994,2.09101,18.792,5.43264,4.33092,1.8199400000000001,0.0,2.74792
TSC22D3,7.24202,16.317999999999998,8.550239999999999,9.99221,49.9032,28.8027,6.84425,18.2428,13.4299,0.0,25.3356
UBD,0.0,35.4542,79.92,0.0,47.6368,0.0,0.0,4.5420300000000005,25.0035,29.6678,15.4556
UGT2B28,0.0,0.49240600000000007,0.0,0.0,0.0,0.39282100000000003,0.0,21.4999,0.0886665,0.018775299999999998,0.44190799999999997
XBP1,26.3139,341.116,187.4,57.7395,35.8761,63.70399999999999,66.946,161.284,42.5204,89.0039,91.5877
ZCCHC24,0.75321,1.14291,0.0315651,0.34524299999999997,1.33689,5.1231800000000005,1.10658,2.91343,0.39827399999999996,0.0,2.24439
