gene_short_name,V515-06187-A1,17-00243-6_S9Aligned_cufflinks,17-00140-2_S2_cufflinks,TNT-192,TNT-297,TNT-259,17-00132-8_S16Aligned_cufflinks,17-00258-5_S5Aligned_cufflinks,TNT-111,TNT-278,TNT-310
PLEKHB1,14.583,1.3299,1.4862799999999998,0.0,8.1823,4.05949,0.0,13.993,0.639033,0.284093,0.5283220000000001
PMAIP1,1.6239299999999999,0.588906,8.42044,0.0,2.39667,3.9463199999999996,0.0,2.15123,0.33408899999999997,0.808025,17.9833
PSMB9,0.0,0.0,0.0,9.184460000000001,13.9884,29.5826,0.0,0.0,4.54106,4.4101,17.6594
PTGDS,1.49063,30.8632,16.1707,5.05302,11.6725,4.47236,18.3436,7.08018,0.542022,1.8187200000000001,0.832665
RARRES3,10.7933,35.4719,4.27915,28.6045,19.2644,27.7703,14.6898,23.5313,30.5666,13.9324,19.9078
RTP4,0.772275,1.58515,13.7556,2.39055,1.57226,6.60475,1.0854,3.0802400000000003,0.783504,0.08686039999999999,5.4329
S100A1,196.638,3.7795699999999997,15.8769,0.0,14.5831,2.36985,0.0,179.938,0.248466,0.915583,1.8748
S100A7,6.579160000000001,8.425880000000001,301.482,48.571999999999996,0.26295799999999997,0.0,8.466339999999999,0.36102399999999996,1.10461,2.87785,493.525
S100A8,3.4999599999999997,10.0399,151.92,11.6298,3.7241199999999997,14.6467,2.52279,2.18289,5.80152,3.13544,160.404
SCRG1,23.221999999999998,0.0701932,0.17457,0.0,15.7144,12.0923,0.0,5.63925,1.19671,4.0824300000000004,0.0
SEMA3C,89.189,61.3215,72.0489,76.66199999999999,11.818,46.0447,23.1293,11.4289,36.4009,21.9546,20.3951
SERHL2,5.02658,19.9281,8.464369999999999,195.24099999999999,3.6819800000000003,0.0,10.0127,14.0748,546.021,23.6951,2.09642
SFRP1,35.3095,6.72849,2.53916,23.7525,40.8617,0.399455,0.651243,20.2949,2.2210799999999997,0.24418499999999999,1.07838
SIDT1,0.9090090000000001,9.63895,3.1283,5.42047,2.16657,18.1512,8.83893,6.00681,22.7282,19.3007,3.3972300000000004
SOX10,3.84721,1.24586,5.45062,0.141943,2.94014,0.0,0.18970599999999999,10.7546,0.122019,0.0,0.328327
SPDEF,0.141878,2.54524,0.141015,2.99063,0.387559,0.0,0.0,0.68243,8.59881,1.6802599999999999,0.0370245
SPRR1B,0.09447810000000001,0.10835,137.28799999999998,0.0,0.0,0.0,7.156569999999999,0.0,0.0,0.0,0.118248
SPTLC2,28.7351,28.4852,33.5879,92.5973,36.4933,51.5029,23.3392,36.547,153.029,47.7442,30.5086
SRPX,12.4869,14.706,3.0198400000000003,12.4008,2.91066,6.798030000000001,11.9724,3.4638,9.55792,1.06881,3.37921
TCF7L1,11.751,10.1506,11.4746,4.49596,11.6125,2.74681,7.31608,9.43708,3.0540700000000003,0.853785,5.79892
TFAP2B,1.18026,6.80933,0.613329,30.4718,0.54202,0.0328593,0.0,0.438146,60.1361,82.1722,0.42090500000000003
THBS4,8.67223,12.7354,1.39697,94.5627,11.2152,13.4075,9.82158,5.44268,24.2651,6.88127,3.69999
TNFAIP8,5.97248,14.1535,22.7301,26.2559,20.7664,33.4226,25.2074,14.6041,12.6779,31.3622,21.7827
TNFSF10,24.8142,35.1596,44.791000000000004,58.4692,18.3052,54.1136,8.998339999999999,16.7985,20.7587,57.7496,30.3236
TRIM68,7.67148,2.74792,2.501,6.42502,4.2845,1.6202299999999998,1.5954700000000002,3.2025099999999997,7.69963,0.47893100000000005,3.6598900000000003
TSC22D3,7.24202,25.3356,2.3329299999999997,3.23766,24.3684,17.584,18.3978,11.6497,47.5759,20.531999999999996,11.0228
UBD,0.0,15.4556,0.0,6.694189999999999,1.14499,86.1823,13.8943,0.0,1.09897,6.17614,94.0798
UGT2B28,0.0,0.44190799999999997,0.0,118.359,2.27661,0.0,0.0,0.0,259.096,23.4067,0.318409
XBP1,26.3139,91.5877,48.3852,91.6678,30.2841,27.2668,45.1453,61.1886,180.636,130.299,28.2853
ZCCHC24,0.75321,2.24439,0.389981,0.06784739999999999,1.4512399999999999,0.0,3.27612,1.27759,2.02662,0.07908939999999999,0.14841
