gene_short_name,V515-06187-A1,TNT-300,TNT-35,17-00152-9_S4Aligned_cufflinks,TNT-45,TNT-293,TNT-54,17-00114-7_S13_cufflinks,TNT-310,TNT-281,17-00139-2_S9Aligned_cufflinks
LHFP,2.0952,0.553075,2.93139,0.0,0.711071,0.48818199999999995,1.9761799999999998,1.9279700000000002,1.09806,0.0228533,0.5028779999999999
MFAP4,1.60954,0.09322489999999999,12.7635,0.0,1.58376,0.652204,15.402000000000001,13.999,1.66199,0.11254700000000001,0.451396
MIA,21.0747,0.23780500000000002,0.979784,0.0,18.2909,0.51859,10.6721,22.0073,16.102999999999998,10.8148,0.9413440000000001
MID1,36.2366,20.0863,15.4661,0.0,26.6167,21.0676,9.3377,15.6825,14.1269,14.8445,7.90995
MYBL1,4.603619999999999,8.29579,5.6302900000000005,0.0,2.2844,23.7944,17.2978,14.8261,30.6222,4.13731,74.6586
NEK2,17.1321,38.2809,8.08047,0.0,13.142000000000001,25.7407,3.0213,2.65817,33.0367,30.6035,41.9777
NTN3,0.023557599999999998,0.0,0.0,1.92163,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OGN,1.27872,9.317730000000001,18.1458,0.0,6.62343,19.9502,47.7903,24.1344,9.56982,36.5507,2.70269
PI3,0.0,0.0,5.2829999999999995,86.9353,39.2395,0.630875,0.144572,5.54214,21.9419,15.133,1.9945599999999999
PLEKHB1,14.583,1.02945,0.63253,0.0,2.29668,0.13943,3.18058,5.00022,0.5283220000000001,0.380533,0.203369
PMAIP1,1.6239299999999999,3.43615,0.874236,0.0,1.8095400000000001,0.839744,3.87836,0.19425,17.9833,10.6012,12.390999999999998
PSMB9,0.0,13.1326,26.5213,0.0,12.4823,8.91372,21.6541,17.1742,17.6594,40.9199,0.0
PTGDS,1.49063,0.60036,12.152999999999999,0.0,0.506409,0.31455900000000003,13.7563,2.11065,0.832665,1.7738599999999998,1.11693
RARRES3,10.7933,45.0648,98.7372,0.0,19.0444,43.7136,34.8722,13.1396,19.9078,40.4701,6.2457
RTP4,0.772275,16.0639,1.96157,0.0,3.73465,2.4733,0.464337,0.9233870000000001,5.4329,4.15161,1.01529
S100A1,196.638,18.1472,1.32554,0.0,3.91214,0.361616,3.7649800000000004,184.77,1.8748,0.109232,2.49971
S100A7,6.579160000000001,6.39159,248.222,186.014,5.92037,6.687069999999999,0.0,0.0,493.525,58.7633,0.849959
S100A8,3.4999599999999997,12.3968,63.2431,0.0,35.7846,2.92903,0.8787149999999999,1.42492,160.404,14.3193,2.9412599999999998
SCRG1,23.221999999999998,0.527354,0.523831,0.0,2.241,1.0085,1.55734,0.9965639999999999,0.0,0.372302,0.0
SEMA3C,89.189,6.19792,67.2934,13.8256,66.4924,25.0484,21.6573,33.7191,20.3951,32.1716,38.9655
SERHL2,5.02658,2.8854900000000003,293.1,0.0,1.33335,71.7846,1.8330400000000002,18.7642,2.09642,0.112596,4.63755
SFRP1,35.3095,7.01728,5.3329699999999995,0.0,21.9643,0.0869003,14.4536,15.6747,1.07838,4.82991,1.51994
SIDT1,0.9090090000000001,4.66646,22.7414,147.595,3.27007,19.8668,21.7554,7.32397,3.3972300000000004,5.19909,0.872016
SOX10,3.84721,1.22571,0.107528,2.5556799999999997,1.7930400000000002,0.0,1.61582,4.06913,0.328327,0.0,0.24186300000000002
SPDEF,0.141878,0.378686,5.95793,4.64858,0.33255100000000004,5.742999999999999,0.788334,1.04377,0.0370245,0.0,0.058434900000000005
SPRR1B,0.09447810000000001,0.0,0.15053,0.0,0.0,0.0,0.0,0.799141,0.118248,0.0904638,0.0
SPTLC2,28.7351,104.515,103.125,0.0,47.2347,165.09400000000002,78.933,36.838,30.5086,43.3611,24.144000000000002
SRPX,12.4869,1.1670399999999999,4.10102,0.0,3.6817900000000003,1.01191,12.1905,6.34974,3.37921,0.0,1.27999
TCF7L1,11.751,16.0625,4.14047,43.2203,8.33778,2.2856099999999997,5.8485,8.07737,5.79892,4.3718699999999995,11.0243
TFAP2B,1.18026,0.0,54.4317,0.0,0.199188,93.3454,13.5869,0.327111,0.42090500000000003,0.00802045,0.257357
THBS4,8.67223,0.41319300000000003,12.3296,0.0,2.1029,5.02284,94.12100000000001,4.39824,3.69999,2.93782,6.218719999999999
TNFAIP8,5.97248,18.8236,48.9079,0.0,27.8568,9.34912,40.9456,19.3631,21.7827,22.9848,5.70276
TNFSF10,24.8142,48.8902,58.3945,1.52524,22.0889,83.9819,35.323,13.6293,30.3236,43.6615,48.6482
TRIM68,7.67148,1.68145,5.67323,0.0,1.82696,2.4563200000000003,1.61214,2.5373900000000003,3.6598900000000003,13.5519,0.120771
TSC22D3,7.24202,12.245,97.5977,0.0,5.146669999999999,10.5057,38.0792,16.6763,11.0228,6.87321,3.85501
UBD,0.0,12.4107,68.3502,0.0,35.8375,3.7799999999999995e-11,33.4749,0.0,94.0798,137.485,0.0
UGT2B28,0.0,0.08589010000000001,29.6108,0.0,0.236981,0.08143539999999999,0.0,0.0,0.318409,5.3234,0.0
XBP1,26.3139,57.6415,194.516,116.27,94.0816,139.92,99.5383,73.4973,28.2853,35.2366,18.3573
ZCCHC24,0.75321,0.0,1.9920400000000003,0.0,0.53233,0.298602,0.589845,0.843194,0.14841,0.0,0.116612
