gene_short_name,V515-06187-A1,TNT-41,TNT-69,TNT-182,TNT-122,17-00122-1_S1_cufflinks,17-00143-5_S2Aligned_cufflinks,TNT-321,TNT-288,TNT-58,TNT-24
MFAP4,1.60954,6.62759,0.351571,2.04239,9.003919999999999,0.646041,0.410963,0.0,2.09456,0.0,4.47361
MIA,21.0747,43.488,34.2175,6.42661,0.200932,2.24355,0.0,2.7576,26.9481,8.05077,9.454410000000001
MID1,36.2366,22.2624,20.8948,24.2511,26.9929,19.3349,24.8579,7.1310199999999995,51.7699,23.0528,24.9344
MYBL1,4.603619999999999,19.1092,59.0741,19.1182,10.8959,3.20131,1.8149,16.0403,21.9376,23.7178,50.6087
NEK2,17.1321,16.5811,36.3432,12.3498,5.502330000000001,9.729460000000001,27.4882,22.3191,23.2893,101.637,7.708189999999999
NTN3,0.023557599999999998,0.098189,0.0,0.0,0.0,0.0,0.0585428,0.057666699999999994,0.0,0.0,0.0
OGN,1.27872,17.5867,15.7295,8.4231,65.0528,0.491951,0.0757681,21.7832,146.24,15.4139,7.165780000000001
PI3,0.0,0.405905,0.0,5.8118,4.50633,13.0826,0.0,1.18232,0.942434,1.67842,0.310929
PLEKHB1,14.583,3.4508900000000002,0.47036400000000006,0.536067,0.09812080000000001,0.0,0.903185,0.24111999999999997,0.805091,3.9863699999999995,3.86976
PMAIP1,1.6239299999999999,3.41365,2.0832599999999997,0.49776400000000004,2.0992,0.701753,0.161,5.21404,3.00845,0.0,2.36075
PSMB9,0.0,19.2126,5.87836,10.517000000000001,6.54708,0.0,0.0,10.169,13.613,1.84833,49.1147
PTGDS,1.49063,1.31059,0.59451,1.53705,4.698980000000001,10.8266,0.64403,0.17015999999999998,1.4365,0.0,2.5061
RARRES3,10.7933,9.089089999999999,4.410819999999999,40.3436,14.3735,3.24346,49.0465,9.3398,17.6638,0.0,45.1789
RTP4,0.772275,6.97178,0.7497020000000001,1.94452,2.3561799999999997,0.0,0.152572,0.9759120000000001,2.6593,0.0,8.94065
S100A1,196.638,15.2162,23.4472,7.35982,2.8046599999999997,0.0,0.9346110000000001,0.0,22.6423,5.7632699999999994,88.1761
S100A7,6.579160000000001,0.0,1.43858,4.83983,4709.52,7.52054,2.94811,0.0,0.0,5.43066,4.37861
S100A8,3.4999599999999997,2.234,0.300674,3.06508,479.663,12.2914,9.1996,0.865534,1.07561,0.0,6.0969
SCRG1,23.221999999999998,5.2875,12.8088,2.32754,7.695880000000001,0.0,0.0,2.90619,6.28012,6.731510000000001,8.62836
SEMA3C,89.189,23.3876,61.7731,33.6478,121.884,58.1962,17.3161,5.4474599999999995,24.9641,5.29232,11.163
SERHL2,5.02658,3.43356,1.4883600000000001,2.16735,33.662,9.48451,16.2918,0.718039,5.57275,0.873811,1.56208
SFRP1,35.3095,38.3568,59.0984,9.46982,11.1975,0.7392770000000001,0.5283640000000001,11.2555,35.9048,1.5655,22.0046
SIDT1,0.9090090000000001,1.50153,1.39344,1.16947,14.3831,11.5365,14.89,2.17142,0.292844,0.0,3.34404
SOX10,3.84721,1.1078299999999999,1.60505,1.41359,0.074546,1.4270100000000001,0.0,1.45691,2.0321,3.6267099999999997,3.58091
SPDEF,0.141878,0.0,0.25425,0.0,5.45354,1.55112,15.935,0.0,0.19112200000000001,0.0,0.433642
SPRR1B,0.09447810000000001,0.0,0.0,0.0,0.0,10.5353,0.0,0.0,0.0,0.0,0.0
SPTLC2,28.7351,40.6695,27.3687,74.3666,60.5191,11.985,94.7651,12.505999999999998,37.3837,4.23276,59.4068
SRPX,12.4869,9.47686,3.8546400000000003,5.445119999999999,10.919,4.18922,0.776788,1.2381,13.0041,0.102861,5.288819999999999
TCF7L1,11.751,44.3834,21.0061,17.4982,3.87754,29.4036,14.8675,15.7481,13.6998,22.6994,13.9768
TFAP2B,1.18026,0.41227600000000003,1.01875,0.296831,94.7121,0.117817,34.9977,0.0,1.2791299999999999,2.55401,0.23612399999999997
THBS4,8.67223,16.1641,18.6862,34.1712,246.52,7.5362800000000005,0.592485,20.2648,28.9139,1.68743,4.62645
TNFAIP8,5.97248,13.7256,11.3972,28.5502,30.0768,13.5491,7.87435,25.2009,21.5253,8.26238,29.7009
TNFSF10,24.8142,115.984,9.12321,18.4707,33.9192,12.4991,18.7849,16.3129,12.1125,9.4525,125.454
TRIM68,7.67148,4.9053,1.05924,1.91287,11.3454,2.71829,6.18412,0.240721,6.38965,0.251423,3.02313
TSC22D3,7.24202,15.5388,2.52544,7.29858,29.7131,1.8407099999999998,43.2554,0.7524390000000001,20.7125,0.0487917,28.3699
UBD,0.0,9.98192,20.0174,124.22399999999999,3.1804900000000003,0.0,0.0,41.4485,5.42e-51,0.0,82.3521
UGT2B28,0.0,0.0847062,2.47028,0.034224300000000006,0.597445,0.0,0.0956985,0.262825,0.678299,0.0,0.0
XBP1,26.3139,23.1296,21.5179,78.4326,280.469,41.883,330.69699999999995,23.6254,39.1318,29.2347,91.0118
ZCCHC24,0.75321,0.70298,0.144769,0.8638319999999999,3.13315,0.204038,0.28010100000000004,0.411487,1.3042,0.00572394,1.52345
