gene_short_name,V515-06187-A1,TNT-211,TNT-194,17-00109-8_S14Aligned_cufflinks,TNT-328,TNT-202,17-00143-5_S2Aligned_cufflinks,TNT-166,TNT-105,17-00111-2_S4_cufflinks,TNT-67
SERHL2,5.02658,0.0659862,5.66259,0.0,0.6588109999999999,0.991125,16.2918,1.3535,1.23294,2.3940900000000003,17.4401
SFRP1,35.3095,13.1442,9.52922,4.28439,24.6403,4.3348,0.5283640000000001,95.0425,9.92695,2.96769,4.03949
SIDT1,0.9090090000000001,21.0913,0.8704559999999999,1.8106900000000001,1.07031,2.41152,14.89,4.05504,7.382060000000001,5.32792,8.95075
SOX10,3.84721,0.52432,1.39412,0.0,0.8844200000000001,0.7131270000000001,0.0,4.6980699999999995,0.136748,1.2086,0.0
SPDEF,0.141878,0.6130939999999999,0.123991,0.7903680000000001,0.061257900000000004,0.0501171,15.935,1.8141900000000002,0.17005699999999999,0.735854,3.88299
SPRR1B,0.09447810000000001,0.0,0.0,408.35400000000004,0.0,0.731959,0.0,0.0,0.0,93.0754,0.0
SPTLC2,28.7351,17.2824,19.9639,11.6443,10.6137,23.592,94.7651,44.4199,17.4526,32.5144,69.1719
SRPX,12.4869,13.1963,5.00084,6.32479,11.3068,2.13951,0.776788,6.65442,1.8690799999999999,8.0017,20.0714
TCF7L1,11.751,8.44293,26.9459,8.40343,8.466569999999999,12.4548,14.8675,16.6514,7.84506,5.32251,7.453639999999999
TFAP2B,1.18026,21.8357,2.1715299999999997,3.19162,0.8045359999999999,0.043904900000000004,34.9977,0.0,3.45665,1.07807,29.399
THBS4,8.67223,61.5473,16.24,1.54847,6.2626,9.82113,0.592485,39.9089,6.39966,2.1271400000000003,26.4865
TNFAIP8,5.97248,56.6026,15.6913,24.3064,5.01769,11.4387,7.87435,9.97907,14.0833,14.427999999999999,23.0743
TNFSF10,24.8142,42.6141,19.8522,17.6515,4.20929,53.0847,18.7849,30.8127,14.3237,21.9902,33.9976
TRIM68,7.67148,1.46171,4.0406699999999995,0.409947,0.21750500000000003,2.2568799999999998,6.18412,3.2868,6.166530000000001,4.82695,4.33092
TSC22D3,7.24202,4.71404,20.4103,6.559939999999999,6.003909999999999,5.32342,43.2554,13.0726,1.22046,105.06700000000001,18.2428
UBD,0.0,6.29265,8.18793,0.319009,0.0,19.2552,0.0,3.849999999999998e-284,11.7216,0.0,4.5420300000000005
UGT2B28,0.0,0.0,1.8360400000000001,0.0,0.0,0.0,0.0956985,0.042962900000000005,22.5777,0.0354788,21.4999
XBP1,26.3139,36.583,31.2455,34.5791,16.6502,36.7108,330.69699999999995,31.0008,17.2361,74.46600000000001,161.284
ZCCHC24,0.75321,0.546381,0.122868,0.781416,0.0197941,0.0990294,0.28010100000000004,1.46109,0.624831,3.40631,2.91343
