gene_short_name,V515-06187-A1,TNT-313,TNT-299,TNT-141,TNT-274,TNT-14,TNT-111,TNT-44,TNT-121,TNT-311,TNT-259
S100A8,3.4999599999999997,77.2175,24.8919,3.4862,1.33806,8.07722,5.80152,5.58615,0.0,25.4144,14.6467
SCRG1,23.221999999999998,1.39991,35.6581,0.0,2.34735,4.0537,1.19671,8.82788,11.3018,2.59455,12.0923
SEMA3C,89.189,19.0473,37.7756,156.839,5.41211,7.385160000000001,36.4009,55.7138,75.8396,13.1071,46.0447
SERHL2,5.02658,0.238502,0.5387390000000001,3.32934,0.250193,11.0643,546.021,0.26898299999999997,4.6203199999999995,2.84307,0.0
SFRP1,35.3095,14.1765,11.8774,1.24034,9.59906,12.4205,2.2210799999999997,12.8129,22.1675,36.9399,0.399455
SIDT1,0.9090090000000001,3.7081800000000005,2.94446,72.2701,5.93605,4.10468,22.7282,13.0942,5.70291,1.0950799999999998,18.1512
SOX10,3.84721,0.290165,2.03024,2.96958,2.3584099999999997,3.3060300000000002,0.122019,1.10416,2.3355200000000003,0.974734,0.0
SPDEF,0.141878,0.328509,0.868376,1.04922,1.3269600000000001,1.77865,8.59881,0.8678819999999999,1.25775,0.13159,0.0
SPRR1B,0.09447810000000001,0.0,0.278642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPTLC2,28.7351,27.6522,26.9449,39.1107,28.8158,50.5338,153.029,29.1229,46.7418,32.6182,51.5029
SRPX,12.4869,3.32821,2.8907,2.33744,3.21448,1.23219,9.55792,14.3073,4.755719999999999,3.64121,6.798030000000001
TCF7L1,11.751,11.0725,10.5965,5.11118,5.90954,51.7263,3.0540700000000003,8.50101,11.4588,9.57248,2.74681
TFAP2B,1.18026,0.0319616,2.20139,5.01163,6.5627,2.5493799999999998,60.1361,2.00691,0.0,0.183917,0.0328593
THBS4,8.67223,7.024780000000001,8.9721,63.14,1.26906,0.667736,24.2651,63.4373,30.4901,47.667,13.4075
TNFAIP8,5.97248,23.985,8.407010000000001,12.9335,21.9263,12.4301,12.6779,29.6814,7.657830000000001,21.8018,33.4226
TNFSF10,24.8142,8.09372,8.92687,72.8703,43.8558,14.402000000000001,20.7587,31.8392,34.2835,25.8363,54.1136
TRIM68,7.67148,0.829583,1.65405,0.048427,0.9380930000000001,4.73203,7.69963,10.9883,0.305368,1.6463299999999998,1.6202299999999998
TSC22D3,7.24202,8.6376,13.1949,3.74531,2.93125,3.04296,47.5759,16.5943,15.8148,4.78071,17.584
UBD,0.0,40.1572,2.67944,3.378,0.0,6.246659999999999,1.09897,7.67732,0.6697420000000001,3.54236,86.1823
UGT2B28,0.0,0.0,6.18025,0.0,1.94622,0.0,259.096,12.458,13.3265,0.409168,0.0
XBP1,26.3139,116.723,22.8505,222.104,67.6655,60.9409,180.636,57.6598,33.0322,28.2336,27.2668
ZCCHC24,0.75321,0.578819,0.17440899999999998,0.0,0.0424641,0.18821300000000002,2.02662,3.9076699999999995,0.183032,0.539957,0.0
