gene_short_name,V515-06187-A1,TNT-259,TNT-271,17-00132-8_S16Aligned_cufflinks,17-00127-8_S3Aligned_cufflinks,TNT-269,17-00157-0_S11Aligned_cufflinks,TNT-26,TNT-65,TNT-30,TNT-92
RTP4,0.772275,6.60475,4.43542,1.0854,5.36867,2.94246,0.359175,0.268113,0.0,2.34622,3.1673
S100A1,196.638,2.36985,3.9719900000000004,0.0,0.0,8.73881,43.4994,4.30791,0.0,64.0962,8.06103
S100A7,6.579160000000001,0.0,0.183064,8.466339999999999,0.0,2.95783,1.15754,4.4318800000000005,383.536,2.47008,9.78629
S100A8,3.4999599999999997,14.6467,1.17487,2.52279,0.0,3.39661,2.80385,4.205,550.03,1.9656200000000001,17.065
SCRG1,23.221999999999998,12.0923,12.0128,0.0,0.0,1.8791400000000003,5.63649,28.1591,1.90969,10.3783,0.673348
SEMA3C,89.189,46.0447,5.74939,23.1293,11.4171,25.4501,113.926,41.0773,140.311,72.1543,67.1468
SERHL2,5.02658,0.0,7.25241,10.0127,0.0,3.41625,3.74914,3.6196599999999997,1.11256,2.18186,1.4759200000000001
SFRP1,35.3095,0.399455,14.8229,0.651243,2.21414,3.45491,15.0663,4.2071,0.0,17.7648,20.5385
SIDT1,0.9090090000000001,18.1512,10.5153,8.83893,0.0,4.39133,1.31951,1.23219,2.77711,1.8574400000000002,3.7080900000000003
SOX10,3.84721,0.0,0.8560700000000001,0.18970599999999999,7.96475,0.8508389999999999,6.6931199999999995,2.23205,0.023847,4.68053,0.205921
SPDEF,0.141878,0.0,1.04728,0.0,0.0,0.0780796,0.09151419999999999,0.592224,0.11919400000000001,0.263268,0.113258
SPRR1B,0.09447810000000001,0.0,0.0,7.156569999999999,0.0,0.486325,0.35722600000000004,0.0,0.0,0.49459899999999996,0.0
SPTLC2,28.7351,51.5029,37.9832,23.3392,75.7357,49.8859,40.6082,38.188,15.0217,40.6402,34.9804
SRPX,12.4869,6.798030000000001,2.86267,11.9724,0.0,4.5408,11.5373,10.7936,1.9365900000000003,7.81561,6.28365
TCF7L1,11.751,2.74681,16.9241,7.31608,18.2386,7.46634,9.27533,4.2474099999999995,6.70851,23.802,11.4878
TFAP2B,1.18026,0.0328593,3.51015,0.0,1.05255,0.547532,0.435733,0.5612689999999999,6.92479,0.241457,1.46155
THBS4,8.67223,13.4075,10.0297,9.82158,0.0,32.1965,12.4065,10.4444,4.33286,7.5655399999999995,20.4333
TNFAIP8,5.97248,33.4226,31.349,25.2074,30.9,20.2453,8.940669999999999,5.72812,12.5995,14.5838,27.0821
TNFSF10,24.8142,54.1136,24.6704,8.998339999999999,12.2587,17.3422,11.2988,11.9174,7.56815,14.1526,52.0291
TRIM68,7.67148,1.6202299999999998,4.6321,1.5954700000000002,0.0,1.25878,3.88962,2.6518200000000003,4.91971,3.7216400000000003,2.9636
TSC22D3,7.24202,17.584,10.3469,18.3978,0.0,6.35501,47.9913,11.3808,13.0211,12.505999999999998,13.8093
UBD,0.0,86.1823,10.8372,13.8943,1.54253,20.2151,0.0,1.8393,0.0,2.27631,81.9667
UGT2B28,0.0,0.0,9.48852,0.0,0.0,1.55169,0.0,0.0,8.16426,0.21224,0.0313859
XBP1,26.3139,27.2668,22.5333,45.1453,25.4364,81.4529,32.6882,30.2075,36.2975,33.6367,44.0054
ZCCHC24,0.75321,0.0,0.361983,3.27612,0.0,0.41810299999999995,1.4920799999999999,1.37962,0.14769100000000002,0.876461,0.674429
