gene_short_name,V515-06187-A1,TNT-62,TNT-239,TNT-132,TNT-183,17-00269-8_S12Aligned_cufflinks,TNT-58,TNT-278,TNT-24,17-00160-1_S2Aligned_cufflinks,TNT-27
PSMB9,0.0,15.7677,22.3266,16.4014,37.2284,20.1497,1.84833,4.4101,49.1147,0.0,2.14005
PTGDS,1.49063,0.579019,14.9539,6.727469999999999,3.28185,2.2471799999999997,0.0,1.8187200000000001,2.5061,1.8430900000000001,0.39512800000000003
RARRES3,10.7933,17.812,115.305,37.6985,103.154,24.9939,0.0,13.9324,45.1789,6.713660000000001,11.9753
RTP4,0.772275,3.40133,2.47434,3.84331,2.3872,2.2332,0.0,0.08686039999999999,8.94065,3.2141900000000003,3.24436
S100A1,196.638,20.1712,6.14099,0.0,0.5643130000000001,4.69899,5.7632699999999994,0.915583,88.1761,13.8277,8.617180000000001
S100A7,6.579160000000001,0.45343500000000003,7.22335,37.4403,40.2684,0.41959399999999997,5.43066,2.87785,4.37861,16.7462,5.42274
S100A8,3.4999599999999997,0.860568,10.8895,74.959,131.95600000000002,10.9431,0.0,3.13544,6.0969,7.4687399999999995,2.32023
SCRG1,23.221999999999998,15.5805,0.616513,0.0,1.51841,0.20717199999999997,6.731510000000001,4.0824300000000004,8.62836,0.353705,26.373
SEMA3C,89.189,18.5492,63.8822,24.1565,23.6015,30.6454,5.29232,21.9546,11.163,5.61644,8.38648
SERHL2,5.02658,0.8482200000000001,5.637169999999999,9.62371,20.5574,1.56572,0.873811,23.6951,1.56208,2.62127,15.212
SFRP1,35.3095,50.8834,15.3376,3.43042,2.33003,2.3822,1.5655,0.24418499999999999,22.0046,9.885769999999999,33.8663
SIDT1,0.9090090000000001,2.8378,14.1793,21.0521,16.7941,1.9539900000000001,0.0,19.3007,3.34404,0.6342270000000001,0.9532959999999999
SOX10,3.84721,2.12555,0.45138,0.0750195,0.464487,0.878964,3.6267099999999997,0.0,3.58091,7.16494,0.9355959999999999
SPDEF,0.141878,0.125309,0.381323,4.62556,8.699530000000001,0.10571300000000002,0.0,1.6802599999999999,0.433642,0.302264,0.41343100000000005
SPRR1B,0.09447810000000001,0.0,1.77931,0.0,0.10341099999999999,0.0,0.0,0.0,0.0,0.52413,0.0
SPTLC2,28.7351,30.4717,75.5368,15.6968,75.6745,24.273000000000003,4.23276,47.7442,59.4068,49.6177,54.4677
SRPX,12.4869,3.95488,1.4964,7.88364,1.61665,4.76311,0.102861,1.06881,5.288819999999999,1.60124,2.94887
TCF7L1,11.751,18.6337,6.582000000000001,2.5219400000000003,15.0091,13.2797,22.6994,0.853785,13.9768,12.7575,4.68032
TFAP2B,1.18026,1.32869,1.99583,18.4351,12.5701,21.965999999999998,2.55401,82.1722,0.23612399999999997,0.0538654,0.171971
THBS4,8.67223,2.546,5.87345,13.3943,8.89122,6.7119,1.68743,6.88127,4.62645,0.485063,4.17952
TNFAIP8,5.97248,17.2372,134.384,58.0308,22.5994,8.86002,8.26238,31.3622,29.7009,9.44032,3.46861
TNFSF10,24.8142,6.9446,70.8998,32.1512,69.7579,42.7859,9.4525,57.7496,125.454,32.8667,9.22564
TRIM68,7.67148,2.36306,2.42572,2.88826,3.20096,2.03574,0.251423,0.47893100000000005,3.02313,0.76994,5.14035
TSC22D3,7.24202,6.88048,7.86074,25.4171,19.8955,21.2128,0.0487917,20.531999999999996,28.3699,9.99221,2.81851
UBD,0.0,17.5477,46.9344,15.0962,9.87965,0.0,0.0,6.17614,82.3521,0.0,8.23e-15
UGT2B28,0.0,1.48948,0.36485100000000004,260.887,23.7089,0.447108,0.0,23.4067,0.0,0.0,0.0
XBP1,26.3139,85.7476,40.5142,90.569,278.695,25.9862,29.2347,130.299,91.0118,57.7395,17.6839
ZCCHC24,0.75321,0.124046,0.334794,2.47759,2.17403,0.0829296,0.00572394,0.07908939999999999,1.52345,0.34524299999999997,0.0
