gene_short_name,V515-06187-A1,TNT-79,TNT-224,TNT-220,TNT-53,17-00152-9_S4Aligned_cufflinks,TNT-283,TNT-318,17-00283-0_S6Aligned_cufflinks,17-00132-8_S16Aligned_cufflinks,17-00101-5_S19Aligned_cufflinks
KMO,1.44589,1.6058,6.46681,4.30213,14.9961,0.0,6.845339999999999,4.860580000000001,12.5123,3.9471800000000004,3.1722799999999998
KRT14,118.37100000000001,171.011,2.2672,4.63945,0.707408,34.0491,0.7119479999999999,5.38805,160.041,20.9046,1682.5
KRT16,91.0343,83.4711,74.8609,17.8774,18.87,0.0,2.65956,77.0578,13.312000000000001,4.42811,944.346
KRT17,105.34700000000001,32.8539,93.2654,1.41744,16.6569,0.0,8.14209,62.6391,30.8677,40.8994,1387.34
KRT6A,54.2242,20.3192,408.949,36.0657,17.2934,34.9635,13.9138,98.0292,27.616999999999997,130.384,2603.4
KRT6B,86.6584,23.7109,24.2595,15.952,35.8075,0.0,0.5083479999999999,85.4541,4.54214,27.5115,326.775
KYNU,14.7879,2.35815,20.3852,19.1427,16.0255,0.0,4.35554,6.834810000000001,30.2071,10.0373,45.4193
LBP,0.573258,0.166403,3.627,0.0,2.55733,0.0,0.041098,0.759896,0.08534299999999999,0.0,1.7655299999999998
LHFP,2.0952,0.659155,1.07754,0.921824,0.0936955,0.0,1.06431,0.526876,2.39066,5.4873400000000006,0.613725
MFAP4,1.60954,0.33054,1.8773799999999998,16.8975,1.21515,0.0,0.188581,1.666,34.1461,19.1872,0.874124
MIA,21.0747,21.456,0.9400120000000001,21.5567,8.06811,0.0,1.9076,17.5343,3.07223,0.0,4.06612
MID1,36.2366,32.2369,19.0041,26.0472,10.9874,0.0,134.299,25.3114,8.45507,9.59732,21.615
MYBL1,4.603619999999999,36.9854,3.09212,12.8625,145.50799999999998,0.0,5.02566,57.4527,2.64126,1.53662,13.8818
NEK2,17.1321,21.0285,11.4109,1.59091,78.344,0.0,32.5632,38.9334,4.28059,0.682503,19.2704
NTN3,0.023557599999999998,0.0,0.0,0.0,0.0499616,1.92163,0.0,0.0,0.0,0.0,0.0595422
OGN,1.27872,6.74862,45.6164,45.4451,18.1887,0.0,17.6911,7.740810000000001,70.0729,7.98102,15.2553
PI3,0.0,0.596709,1.89675,0.274777,4.59305,86.9353,0.836548,0.47272,0.12346900000000001,0.0,46.1418
PLEKHB1,14.583,2.83392,0.140173,3.7018199999999997,0.313393,0.0,1.33354,1.25835,0.5123949999999999,0.0,0.0651375
PMAIP1,1.6239299999999999,2.22611,13.1738,1.10505,3.4954300000000003,0.0,1.46853,5.0343800000000005,1.4941799999999998,0.0,10.0438
PSMB9,0.0,13.777999999999999,10.1559,25.2165,6.66335,0.0,33.3966,28.5825,0.0,0.0,0.0
