gene_short_name,V515-06187-A1,TNT-26,TNT-239,17-00124-3_S12Aligned_cufflinks,TNT-117,TNT-195,TNT-134,17-00280-7_S4Aligned_cufflinks,17-00113-4_S11_cufflinks,TNT-225,TNT-265
KRT17,105.34700000000001,165.31099999999998,34.4338,91.1917,278.51099999999997,44.1026,765.1010000000001,40.3273,332.38800000000003,84.9056,3.14951
KRT6A,54.2242,1080.32,82.8246,334.97,424.358,7.37833,247.12400000000002,2.1787400000000003,16.0704,39.4656,23.9984
KRT6B,86.6584,476.639,139.554,105.53299999999999,210.18900000000002,22.689,93.2796,5.99876,38.2187,137.366,1.93487
KYNU,14.7879,4.17852,23.0941,2.0966099999999996,9.996189999999999,7.339639999999999,7.29957,40.2252,23.7754,19.8934,14.4931
LBP,0.573258,0.12506099999999998,3.42086,0.49631400000000003,1.21431,0.0,2.55761,0.0778297,0.52182,0.033786500000000004,0.37161
LHFP,2.0952,3.19932,0.784121,1.68337,0.853878,0.234188,0.766592,1.07837,0.965126,0.92133,0.7185600000000001
MFAP4,1.60954,6.91442,3.85388,4.522069999999999,2.2143200000000003,10.6199,2.89975,2.88714,8.52027,2.7118700000000002,3.21895
MIA,21.0747,40.5309,38.436,2.9892,23.6586,0.558431,18.0933,0.8504440000000001,5.36339,3.69805,2.32658
MID1,36.2366,18.2572,27.8837,20.1044,10.9271,16.7236,35.5331,1.8419299999999998,19.5958,31.1013,7.789039999999999
MYBL1,4.603619999999999,5.37248,10.6215,29.0565,10.1601,57.5484,73.735,3.99811,34.5411,11.1978,65.958
NEK2,17.1321,6.4980400000000005,24.1101,9.19087,19.7613,22.1877,45.783,16.8509,35.7282,16.6841,24.9457
NTN3,0.023557599999999998,0.0,0.0,0.0,0.0,0.0,0.0355409,0.0959572,0.0,0.0,0.0
OGN,1.27872,41.2163,4.3811,1.29925,17.9973,40.6724,22.5238,1.52814,9.560789999999999,18.6864,9.22293
PI3,0.0,3.94404,0.0,0.0,31.1569,0.19831500000000002,1.4430399999999999,0.167212,14.1712,0.351765,0.138156
PLEKHB1,14.583,1.0292700000000001,1.5604799999999999,2.66644,1.84595,0.389207,1.72521,1.5825799999999999,1.27312,0.585629,1.9091599999999997
PMAIP1,1.6239299999999999,5.10806,4.33091,0.0,3.58485,2.54785,1.27636,1.77395,13.1758,4.02694,3.11746
PSMB9,0.0,3.9728199999999996,22.3266,47.0763,25.6842,22.4078,9.68523,0.0,0.0,6.16222,35.3842
PTGDS,1.49063,0.7358520000000001,14.9539,14.7771,3.76609,17.0388,0.761197,5.35736,4.56134,1.7367599999999999,15.2188
RARRES3,10.7933,3.30263,115.305,45.9482,39.6772,39.2069,17.6937,45.1096,5.6112,10.7116,46.8306
RTP4,0.772275,0.268113,2.47434,4.2497,6.17068,2.39704,3.8826699999999996,3.0403599999999997,3.38501,1.9361599999999999,11.5963
S100A1,196.638,4.30791,6.14099,50.3418,3.45831,8.99812,26.7952,1.5461799999999999,4.30015,16.3815,4.29134
S100A7,6.579160000000001,4.4318800000000005,7.22335,31.581,109.561,10.7501,0.0,1.52681,0.277898,0.36267,22.3707
S100A8,3.4999599999999997,4.205,10.8895,0.0,7.944369999999999,16.3063,0.0,28.2072,5.84994,1.96069,1.86021
SCRG1,23.221999999999998,28.1591,0.616513,0.0,1.41262,5.83464,18.5708,0.11776500000000001,0.0855807,19.2951,0.43998699999999996
SEMA3C,89.189,41.0773,63.8822,20.1514,40.4564,37.1668,30.8402,21.9289,31.7723,29.3055,22.3716
SERHL2,5.02658,3.6196599999999997,5.637169999999999,0.0,1.4235200000000001,1.57418,4.04001,72.8702,1.81287,1.0714700000000001,2.6417900000000003
SFRP1,35.3095,4.2071,15.3376,7.284860000000001,4.88652,5.8487599999999995,27.6853,0.32416300000000003,1.9379099999999998,11.2392,0.18926800000000002
SIDT1,0.9090090000000001,1.23219,14.1793,30.0365,8.4761,4.88103,1.84421,22.2534,1.03892,2.56792,23.2043
SOX10,3.84721,2.23205,0.45138,4.99757,0.401648,1.4996399999999999,4.76922,0.0778642,1.62839,1.3665100000000001,1.01938
SPDEF,0.141878,0.592224,0.381323,1.1740000000000002,0.172244,1.43333,0.46836400000000006,12.1178,0.0,0.060040699999999995,0.07995880000000001
SPRR1B,0.09447810000000001,0.0,1.77931,23.7501,1.02934,0.0,0.0,0.0,0.0,0.0,0.0
SPTLC2,28.7351,38.188,75.5368,48.7606,32.9667,44.4492,17.6175,55.1443,37.4772,50.3319,39.5264
SRPX,12.4869,10.7936,1.4964,8.0311,1.55964,13.5443,8.93184,1.21131,4.32891,5.6770000000000005,0.232665
TCF7L1,11.751,4.2474099999999995,6.582000000000001,4.91668,16.3451,6.93266,32.592,5.660909999999999,12.1978,4.43431,5.04884
TFAP2B,1.18026,0.5612689999999999,1.99583,0.0,0.301744,4.9751,1.0816,14.087,0.300197,0.551706,0.0699716
THBS4,8.67223,10.4444,5.87345,37.7683,8.9054,19.324,7.51145,4.36571,2.00873,57.9839,1.1335600000000001
TNFAIP8,5.97248,5.72812,134.384,26.3933,23.5476,63.4308,24.3674,16.454,12.079,17.7713,93.1282
TNFSF10,24.8142,11.9174,70.8998,13.0099,31.8891,44.5186,21.7547,132.384,20.4693,15.0652,48.2169
TRIM68,7.67148,2.6518200000000003,2.42572,2.84572,1.91052,2.8009,1.0802,8.45792,2.78882,2.18322,1.8199400000000001
TSC22D3,7.24202,11.3808,7.86074,5.4525,42.852,30.3757,2.78973,9.54262,6.2024,21.8741,13.4299
UBD,0.0,1.8393,46.9344,10.425,109.931,22.4284,1.9809900000000003,0.0,57.6173,3.05274,25.0035
UGT2B28,0.0,0.0,0.36485100000000004,0.0,0.0,0.0,0.0,0.10263800000000001,0.0,1.0251,0.0886665
XBP1,26.3139,30.2075,40.5142,31.529,41.2359,124.742,59.7946,304.504,31.089000000000002,46.1754,42.5204
ZCCHC24,0.75321,1.37962,0.334794,3.48435,0.17028800000000002,1.40477,1.43079,0.520663,0.503292,0.562095,0.39827399999999996
