gene_short_name,V515-06187-A1,17-00125-8_S13Aligned_cufflinks,TNT-322,TNT-157,17-00139-2_S9Aligned_cufflinks,TNT-80,17-00140-2_S2_cufflinks,TNT-27,TNT-67,TNT-41,TNT-57
MID1,36.2366,11.1666,25.2335,9.65455,7.90995,17.8698,28.4416,25.3831,19.5429,22.2624,33.3046
MYBL1,4.603619999999999,0.8439909999999999,49.1399,114.391,74.6586,9.316239999999999,24.7996,40.9555,3.11246,19.1092,10.4917
NEK2,17.1321,0.0,19.8866,25.8249,41.9777,33.0849,46.8643,16.6529,0.0331213,16.5811,35.0042
NTN3,0.023557599999999998,0.72148,0.0,0.0,0.0,0.0,0.167211,0.0,0.0,0.098189,0.0
OGN,1.27872,24.712,23.0471,24.9941,2.70269,24.4999,1.7513,15.0067,133.8,17.5867,16.0085
PI3,0.0,0.0,0.17783,17.863,1.9945599999999999,0.0,13.2193,0.0,3.1659900000000003,0.405905,0.744111
PLEKHB1,14.583,0.0,0.544358,0.0,0.203369,2.1926900000000002,1.4862799999999998,2.16863,2.2614400000000003,3.4508900000000002,5.52137
PMAIP1,1.6239299999999999,15.6384,5.091019999999999,1.51596,12.390999999999998,0.0,8.42044,0.0,1.3434700000000002,3.41365,3.21203
PSMB9,0.0,0.0,4.20788,9.368260000000001,0.0,11.7228,0.0,2.14005,6.8512,19.2126,3.9861800000000005
PTGDS,1.49063,12.2808,0.515843,7.619330000000001,1.11693,3.91785,16.1707,0.39512800000000003,3.62713,1.31059,0.8711840000000001
RARRES3,10.7933,24.4087,4.93264,22.5854,6.2457,64.2713,4.27915,11.9753,27.8473,9.089089999999999,4.60827
RTP4,0.772275,0.9377049999999999,3.03186,4.38526,1.01529,5.03062,13.7556,3.24436,0.386714,6.97178,3.89184
S100A1,196.638,11.2292,36.3341,0.0,2.49971,8.52798,15.8769,8.617180000000001,0.8709809999999999,15.2162,39.311
S100A7,6.579160000000001,0.0,0.0,7.967980000000001,0.849959,143.445,301.482,5.42274,550.909,0.0,1.0745200000000001
S100A8,3.4999599999999997,17.6617,0.869452,1.9424599999999999,2.9412599999999998,2.6507,151.92,2.32023,273.093,2.234,0.912848
SCRG1,23.221999999999998,0.0,24.5745,0.697447,0.0,6.72893,0.17457,26.373,1.82312,5.2875,51.566
SEMA3C,89.189,33.3766,24.3407,20.029,38.9655,28.6527,72.0489,8.38648,97.1217,23.3876,14.4221
SERHL2,5.02658,44.4878,6.08545,2.29392,4.63755,8.24695,8.464369999999999,15.212,17.4401,3.43356,2.41741
