gene_short_name,V515-06187-A1,TNT-231,17-00165-0_S10Aligned_cufflinks,TNT-113,TNT-318,17-00270-5_S14Aligned_cufflinks,TNT-275,TNT-245,TNT-4,TNT-123,TNT-16
TFAP2B,1.18026,1.15365,1.31903,0.0,0.236125,18.7696,0.6146199999999999,0.586359,7.528460000000001,1.444,34.228
THBS4,8.67223,10.1966,9.05913,13.0656,6.8529,25.4608,14.4432,1.9508900000000002,4.58691,4.32413,10.0685
TNFAIP8,5.97248,21.7562,19.7065,25.5365,23.671,23.6526,33.8904,68.8324,26.519000000000002,17.3322,28.6406
TNFSF10,24.8142,21.3015,15.2118,45.1035,15.4007,29.2146,12.908,44.0606,23.4715,15.7489,158.82
TRIM68,7.67148,2.10719,4.55783,4.45127,2.08187,12.3542,0.257472,1.58243,0.779116,0.07824919999999999,5.53874
TSC22D3,7.24202,8.550239999999999,47.9444,4.5372900000000005,10.0065,18.2165,22.2448,13.0707,19.5717,16.5792,35.7546
UBD,0.0,79.92,12.4914,128.718,50.1398,0.0,14.192,35.3229,6.7378,10.4594,2.0899999999999995e-27
UGT2B28,0.0,0.0,0.0330028,0.0,0.040862699999999995,1018.86,0.261173,0.617993,70.8305,0.0924854,4.88119
XBP1,26.3139,187.4,87.5133,91.84,29.8963,143.30200000000002,54.7944,112.54299999999999,57.555,60.9993,282.606
ZCCHC24,0.75321,0.0315651,1.67888,0.0,0.360548,1.29529,0.0777878,0.0,1.65927,1.21593,2.6722099999999998
