gene_short_name,V515-06187-A1,TNT-139,TNT-167,TNT-234,TNT-133,TNT-289,17-00097-1_S9_cufflinks,TNT-225,TNT-115,TNT-318,TNT-192
SRPX,12.4869,7.10769,3.0497400000000003,3.09636,4.51251,14.1535,5.55629,5.6770000000000005,1.54925,4.89765,12.4008
TCF7L1,11.751,12.025,7.44906,29.2323,1.12875,13.4957,21.8613,4.43431,3.03016,28.1337,4.49596
TFAP2B,1.18026,1.54039,88.6032,0.651673,19.6431,0.445715,0.418495,0.551706,0.0,0.236125,30.4718
THBS4,8.67223,16.9838,13.5348,5.82503,129.305,25.1457,1.0911799999999998,57.9839,5.97353,6.8529,94.5627
TNFAIP8,5.97248,18.1646,26.9164,48.2796,6.36265,15.142000000000001,9.78406,17.7713,44.1196,23.671,26.2559
TNFSF10,24.8142,42.7781,7.97765,21.3954,49.6478,14.0271,6.811710000000001,15.0652,75.9663,15.4007,58.4692
TRIM68,7.67148,0.0549879,3.56293,5.37981,5.30821,7.17307,0.781292,2.18322,2.44961,2.08187,6.42502
TSC22D3,7.24202,0.42588000000000004,81.2312,16.2892,33.7243,22.6667,8.16817,21.8741,16.9798,10.0065,3.23766
UBD,0.0,10.9428,1.58e-09,21.5359,3.4039699999999997,0.301306,0.0,3.05274,76.5536,50.1398,6.694189999999999
UGT2B28,0.0,0.0,364.95,0.0461205,0.0,1.26947,0.573986,1.0251,0.0,0.040862699999999995,118.359
XBP1,26.3139,92.5017,79.6914,60.5242,168.671,37.5827,43.428000000000004,46.1754,97.6865,29.8963,91.6678
ZCCHC24,0.75321,2.05055,0.7647510000000001,1.3421,3.33165,1.77067,0.9831700000000001,0.562095,0.691361,0.360548,0.06784739999999999
