gene_short_name,V515-06187-A1,TNT-321,TNT-325,TNT-57,TNT-50,TNT-104,TNT-304,TNT-69,TNT-16,TNT-271,TNT-79
ABCA8,1.07397,1.1144,1.18126,6.46901,6.27059,45.0011,3.65161,6.334280000000001,16.1221,19.3019,1.8716599999999999
ADRA2A,0.196819,0.0,0.271846,0.408656,0.613286,0.0269278,0.0,0.150311,1.7823,0.10425,0.0
AKAP12,3.7524300000000004,4.92338,2.1819599999999997,6.26016,15.7193,14.8787,1.8245099999999999,8.43398,14.6167,9.75869,1.6442400000000001
ALDH3B2,34.613,0.0,34.041,0.10081699999999999,19.4221,134.5,1.69334,2.33555,303.041,0.048503899999999996,41.6244
APOD,101.54799999999999,23.309,61.196999999999996,51.8919,34.8661,16699.3,171.87900000000002,334.26099999999997,3948.76,18.8019,9.53523
ART3,19.2103,13.6808,0.0,29.1496,0.6718649999999999,0.0,181.128,11.878,0.0,8.40444,2.56881
ASPN,31.1651,16.2505,42.7013,78.5235,72.6274,93.4608,54.125,32.2778,169.588,13.9833,18.7191
AZGP1,64.9749,0.95899,1.1505,118.51799999999999,94.0011,438.903,300.948,41.8629,362.406,22.8252,9.81098
BLVRB,6.57613,0.204078,1.8893099999999998,4.3314699999999995,4.2330000000000005,5.2299,4.18302,0.226859,6.560339999999999,2.31812,1.2176799999999999
C7,0.29143,0.683814,0.823103,2.87842,5.63905,28.9865,1.8841599999999998,2.44299,16.1138,16.2719,0.483138
CCL5,1.03708,11.290999999999999,47.0465,3.70974,2.46692,10.9451,9.38296,2.95312,2.45249,5.6622,2.0161
CD36,36.5005,20.8781,13.2001,21.4543,17.4704,126.93700000000001,40.2595,24.2,33.7502,17.8922,15.2303
CD52,5.15236,130.963,320.42400000000004,16.7951,26.2153,29.5778,85.9483,15.9388,9.981489999999999,56.5306,15.6613
CDC20,19.1111,21.4337,10.4861,26.4927,6.633089999999999,0.06501280000000001,16.8101,31.1055,4.69409,15.4698,16.0607
CHI3L1,52.4824,1.82655,9.58912,15.99,23.1543,1.02785,5.51471,13.2155,2.78629,2.46457,9.110610000000001
COL2A1,124.822,0.701661,0.0,0.548056,0.7584,0.22212300000000001,219.15099999999998,143.94299999999998,0.0761304,2.82534,0.270489
COL5A1,145.37,9.650889999999999,32.1635,87.4963,129.285,47.013000000000005,19.8955,40.5398,148.389,17.2159,15.6803
COL5A2,202.313,16.1351,39.9525,121.088,232.429,87.7715,47.714,54.6831,246.925,18.8124,28.0294
CRAT,3.09639,1.25434,9.221860000000001,8.625630000000001,9.18802,22.0853,1.28039,5.31904,23.7683,3.4731,3.8841099999999997
CROT,17.2031,5.05084,7.78834,4.78488,5.88813,53.6453,4.937469999999999,4.64999,70.0792,12.1045,16.9931
CXCL10,2.29941,166.33700000000002,85.8427,4.72286,15.6837,10.2874,191.918,83.8667,2.78132,37.9725,88.0438
CXCL11,0.642556,8.00378,3.5587400000000002,0.9768040000000001,1.4391100000000001,3.13731,27.7435,1.3225,0.439709,13.7021,5.25959
CXCL13,0.0413495,31.7095,47.4504,2.6762200000000003,5.55664,1.0281799999999999,38.1041,5.602609999999999,0.740487,40.998000000000005,4.22829
CYP4F8,0.048019099999999995,0.45900799999999997,0.0,0.859841,0.31056500000000004,1.2353399999999999,0.0,0.54584,1.66215,3.5366800000000005,0.0
DBI,412.371,37.7055,21.2225,123.693,139.829,300.908,151.89700000000002,110.56,229.267,128.253,202.238
DEFB1,3.16262,0.0,50.9421,0.23947399999999996,10.9841,0.0,3.25182,0.0,7.23493,3.92841,0.128772
DHCR24,38.1374,2.13481,62.9418,26.688000000000002,61.7799,43.5835,9.19186,10.5851,160.55,7.864560000000001,30.7697
DUSP5,2.6614299999999997,0.626178,4.8256,2.64648,4.47715,1.31806,0.5457,1.8848200000000002,19.7283,3.62355,1.16378
FABP7,2.25652,0.5947180000000001,0.0,33.7576,0.0,1.60248,18.7847,31.3579,4.11583,5.5578199999999995,3.73264
FASN,124.609,2.64205,10.8743,20.7734,57.4616,68.8874,2.77579,5.368180000000001,955.9889999999999,6.34887,15.2351
FGFR4,2.32432,1.1440700000000001,6.602360000000001,0.19916,1.32382,9.378739999999999,0.0,3.41509,13.4786,2.49633,0.43591199999999997
FGL2,2.48121,7.86768,7.19821,3.20866,5.51389,9.87236,4.1749,2.2448200000000003,3.3399400000000004,6.751810000000001,2.55079
FOXA1,1.38574,1.4144299999999999,23.6446,1.82645,1.90232,106.805,2.8839599999999996,0.252733,106.896,4.95611,0.497145
FOXC1,9.10755,1.81013,13.7862,53.8272,39.9886,1.76016,23.4572,33.4287,4.09098,67.9424,17.57
GABRP,8.66089,36.8389,271.08299999999997,573.122,23.6083,7.01519,963.3739999999999,723.575,2.34216,86.5647,888.057
GALNT7,12.4003,20.0622,22.686,11.9499,11.5386,359.37,22.0505,15.0502,103.531,16.9407,18.839000000000002
GBP1,41.394,96.45,194.968,99.51100000000001,71.5431,36.3345,130.41299999999998,128.634,76.4035,131.35,257.492
GCHFR,0.42253100000000005,0.0,0.0,0.167516,0.20549,0.200914,0.0,0.0870739,1.26429,0.113979,0.13666
GPR87,0.9514879999999999,0.0,42.6912,1.00728,4.06842,0.679588,11.4268,2.20498,0.6164390000000001,3.4406199999999996,0.265473
GZMB,1.4986,1.34449,14.0912,1.4836799999999999,2.96307,4.66964,2.90341,2.27449,0.716539,7.384860000000001,2.91701
HGD,4.21735,0.0,0.0,13.2817,2.01073,0.0,0.424599,0.0599395,71.809,29.4843,0.746105
HTRA1,91.2943,8.17597,11.640999999999998,72.1096,121.51299999999999,55.0878,30.6134,27.0333,194.898,12.6539,13.3035
IDO1,0.29142399999999996,10.8723,166.96,1.98322,8.63063,6.65627,6.730410000000001,2.31777,1.57799,23.1689,6.60208
IGFBP4,13.3498,0.201905,4.30028,4.93166,3.0842400000000003,1.3245,0.532935,0.690966,5.33575,0.158976,0.0413832
IGHM,55.218999999999994,12.2838,148.997,31.8551,119.376,62.7591,58.2375,26.5525,9.79983,56.023,28.8508
IGJ,20.0186,73.5181,45.9523,40.1732,101.14,363.991,358.417,138.64600000000002,25.0265,155.781,11.7896
IGKC,182.34599999999998,261.971,1067.08,1984.64,1160.89,1291.64,2858.74,701.15,214.34,924.153,313.28700000000003
IL23A,0.049007300000000004,0.0,0.0,0.0454602,0.391571,0.0,0.20618899999999998,1.17162,0.0,0.0,0.144319
IL33,0.8833290000000001,0.654726,0.101108,0.692623,0.9289459999999999,9.4019,0.159485,0.41164700000000004,3.71591,3.25231,0.0865132
INPP4B,37.1722,6.40754,48.1165,6.03674,17.8934,22.5329,7.3277,4.95234,24.1274,7.737239999999999,2.69464
ITM2A,5.13433,8.807739999999999,3.7050300000000003,23.561,4.171819999999999,22.7929,14.73,6.33672,19.3476,8.80392,4.53031
JAM2,11.2143,21.0118,12.4208,6.3534,6.59347,17.7037,3.37066,5.17669,11.9239,5.62351,15.1859
KCNK5,7.320460000000001,0.20702399999999999,1.05113,1.77673,0.660506,0.138828,0.620442,1.7049400000000001,0.14138599999999998,0.537532,4.96506
KIAA1324,6.46799,3.4121599999999996,8.68953,2.57743,4.37915,94.4477,17.9592,19.3855,96.8405,41.736000000000004,60.8468
