gene_short_name,V515-06187-A1,TNT-209,TNT-152,TNT-26,TNT-4,TNT-299,17-00127-8_S3Aligned_cufflinks,TNT-282,TNT-123,TNT-41,TNT-83
ABCA8,1.07397,5.75345,28.3027,4.23117,37.7185,8.87917,5.2732,4.67702,4.65218,13.0061,5.2367099999999995
ADRA2A,0.196819,1.18075,0.562541,0.999606,4.021059999999999,0.321954,0.0,0.0181278,0.11800999999999999,1.04865,0.048419699999999996
AKAP12,3.7524300000000004,5.17876,19.0715,16.1452,17.7207,8.3169,1.2662,3.3799099999999997,3.7973199999999996,7.11901,10.1537
ALDH3B2,34.613,5.1982800000000005,134.872,2.6644200000000002,42.5699,2.22473,3.25937,14.2492,5.94829,1.4853,11.9552
APOD,101.54799999999999,12.3961,3238.15,23.2556,2583.61,26.3483,81.4037,1.37445,24.5266,56.6557,45.576
ART3,19.2103,1.0586,0.0,11.4363,0.0,47.8547,34.0727,1.17116,4.06834,59.7037,1.52685
ASPN,31.1651,14.174000000000001,89.7133,99.8197,315.638,14.6382,0.0,10.9442,24.7914,247.642,19.273
AZGP1,64.9749,10.708,678.875,8.42855,298.58,144.884,195.738,58.3199,99.2913,16.7207,89.7751
BLVRB,6.57613,0.623746,9.51428,1.8821400000000001,7.36637,1.49672,0.0,2.42049,2.18791,12.3493,6.63001
C7,0.29143,31.5904,41.1971,1.5576299999999998,8.536660000000001,4.52315,0.0,0.311238,0.429463,0.657578,1.0988
CCL5,1.03708,9.20102,12.9609,0.328596,13.302999999999999,6.02102,0.0,7.18878,2.78857,16.4867,8.35195
CD36,36.5005,18.8618,35.2708,27.8522,100.477,80.6752,0.0,31.9388,15.422,79.5482,764.051
CD52,5.15236,472.935,82.2545,2.72588,48.9762,14.2911,0.0,28.9883,70.4409,49.562,28.8448
CDC20,19.1111,7.589060000000001,4.505269999999999,14.2065,2.9675599999999998,4.88095,19.4809,16.4631,22.9872,9.8534,6.66027
CHI3L1,52.4824,0.796208,0.786117,20.8098,5.7134,21.8619,3.8606199999999995,10.2047,60.4696,62.4796,3.39355
COL2A1,124.822,0.0,0.0,105.473,0.149369,8.712819999999999,9.34079,0.205631,1.02857,31.3989,0.13314700000000002
COL5A1,145.37,6.43656,108.13799999999999,269.70099999999996,225.483,36.7694,74.985,8.00722,9.17789,194.514,51.9884
COL5A2,202.313,6.4269300000000005,322.448,409.89,308.353,49.6448,26.139,9.29631,26.7663,290.284,109.75200000000001
CRAT,3.09639,2.4713,31.2169,3.7270300000000005,14.7289,4.597519999999999,0.737631,1.76532,6.53709,10.8437,9.24005
CROT,17.2031,9.5381,26.5717,5.29179,47.6286,13.238,21.1361,17.5883,2.65129,4.9685,16.4538
CXCL10,2.29941,44.9135,11.4495,4.175669999999999,39.4233,37.0993,14.1618,44.8489,47.5692,100.35799999999999,54.7547
CXCL11,0.642556,11.491,0.0,0.0,8.87846,5.7525699999999995,0.0,6.8698,7.40885,17.9766,29.7078
CXCL13,0.0413495,48.6593,15.7339,1.4694,46.0943,4.014880000000001,0.0,41.0339,18.4192,9.70889,20.3493
CYP4F8,0.048019099999999995,0.0,15.6348,0.0,27.8697,2.01316,0.0,8.548969999999999,0.24915,0.33720500000000003,9.35929
DBI,412.371,62.2924,565.778,99.8671,273.298,210.795,94.0731,94.6861,347.116,121.199,121.336
DEFB1,3.16262,7.6855899999999995,0.0,0.0,1.9527599999999998,1.58477,0.0,39.0385,1.62327,1.04105,0.0
DHCR24,38.1374,12.4287,94.5633,15.2315,25.3035,7.01083,9.27006,103.38,17.5614,16.0402,75.9645
DUSP5,2.6614299999999997,13.6718,2.4487099999999997,4.38127,9.615960000000001,4.161490000000001,2.0363,1.47901,2.76943,6.1327300000000005,14.2512
FABP7,2.25652,0.38502800000000004,235.75900000000001,1.1090200000000001,1.97922,8.852910000000001,4.2431,254.77900000000002,19.9956,2.74168,0.405342
FASN,124.609,2.64918,218.648,5.82045,69.4728,2.40165,36.2518,13.0917,3.0175799999999997,9.581660000000001,155.987
FGFR4,2.32432,0.229108,15.2911,0.560783,1.93565,2.10462,0.755862,0.356516,0.907833,2.54454,16.3501
