gene_short_name,V515-06187-A1,TNT-41,TNT-154,17-00125-8_S13Aligned_cufflinks,17-00214-4_S8Aligned_cufflinks,TNT-288,TNT-123,17-00124-3_S12Aligned_cufflinks,TNT-49,TNT-44,17-00139-2_S9Aligned_cufflinks
PMAIP1,1.6239299999999999,3.41365,0.0,15.6384,7.46023,3.00845,1.6800599999999999,0.0,0.0,1.00094,12.390999999999998
PSMB9,0.0,19.2126,12.6717,0.0,0.0,13.613,5.92243,47.0763,9.547880000000001,8.41277,0.0
PTGDS,1.49063,1.31059,3.71266,12.2808,6.09591,1.4365,17.2444,14.7771,8.61149,4.868469999999999,1.11693
RARRES3,10.7933,9.089089999999999,0.0,24.4087,19.8285,17.6638,7.29205,45.9482,4.62095,29.4438,6.2457
RTP4,0.772275,6.97178,2.4872900000000002,0.9377049999999999,2.55629,2.6593,1.06162,4.2497,0.0,0.707379,1.01529
S100A1,196.638,15.2162,11.4917,11.2292,31.4616,22.6423,46.336999999999996,50.3418,5.705830000000001,16.0569,2.49971
S100A7,6.579160000000001,0.0,0.0,0.0,9.91671,0.0,25.5385,31.581,130.787,5.847,0.849959
S100A8,3.4999599999999997,2.234,2.37332,17.6617,9.22964,1.07561,3.59375,0.0,87.3694,5.58615,2.9412599999999998
SCRG1,23.221999999999998,5.2875,8.04444,0.0,7.32965,6.28012,27.9532,0.0,0.0,8.82788,0.0
SEMA3C,89.189,23.3876,15.6864,33.3766,55.6406,24.9641,16.9621,20.1514,34.3299,55.7138,38.9655
SERHL2,5.02658,3.43356,0.266631,44.4878,2.18722,5.57275,1.43949,0.0,1.0178399999999999,0.26898299999999997,4.63755
SFRP1,35.3095,38.3568,0.300806,9.57648,16.7218,35.9048,31.8088,7.284860000000001,3.58035,12.8129,1.51994
SIDT1,0.9090090000000001,1.50153,0.799825,10.0237,2.4102200000000003,0.292844,1.94103,30.0365,9.38234,13.0942,0.872016
SOX10,3.84721,1.1078299999999999,1.1984,3.93353,7.533589999999999,2.0321,0.757518,4.99757,0.8943270000000001,1.10416,0.24186300000000002
SPDEF,0.141878,0.0,2.7313400000000003,3.7916800000000004,0.147078,0.19112200000000001,0.285567,1.1740000000000002,0.043974099999999995,0.8678819999999999,0.058434900000000005
SPRR1B,0.09447810000000001,0.0,0.0,0.0,2.41108,0.0,0.0,23.7501,0.0,0.0,0.0
SPTLC2,28.7351,40.6695,34.4312,31.9106,25.4354,37.3837,63.7563,48.7606,8.47609,29.1229,24.144000000000002
SRPX,12.4869,9.47686,5.56226,11.315999999999999,3.6618199999999996,13.0041,4.66545,8.0311,10.3912,14.3073,1.27999
TCF7L1,11.751,44.3834,28.9403,17.9877,7.433680000000001,13.6998,13.0712,4.91668,39.6384,8.50101,11.0243
TFAP2B,1.18026,0.41227600000000003,0.0,3.9222699999999997,1.03148,1.2791299999999999,1.444,0.0,3.7353400000000003,2.00691,0.257357
THBS4,8.67223,16.1641,46.2432,17.7867,2.33005,28.9139,4.32413,37.7683,1.3951200000000001,63.4373,6.218719999999999
TNFAIP8,5.97248,13.7256,15.5569,11.2917,10.1745,21.5253,17.3322,26.3933,9.34008,29.6814,5.70276
TNFSF10,24.8142,115.984,40.4481,18.0064,13.3069,12.1125,15.7489,13.0099,49.6164,31.8392,48.6482
TRIM68,7.67148,4.9053,0.70638,18.792,1.6770900000000002,6.38965,0.07824919999999999,2.84572,0.0474908,10.9883,0.120771
TSC22D3,7.24202,15.5388,0.0,28.8027,11.9395,20.7125,16.5792,5.4525,18.7024,16.5943,3.85501
UBD,0.0,9.98192,16.3976,0.0,0.0,5.42e-51,10.4594,10.425,60.5991,7.67732,0.0
UGT2B28,0.0,0.0847062,0.0,0.39282100000000003,0.163083,0.678299,0.0924854,0.0,0.0,12.458,0.0
XBP1,26.3139,23.1296,50.7742,63.70399999999999,56.2418,39.1318,60.9993,31.529,44.2997,57.6598,18.3573
ZCCHC24,0.75321,0.70298,0.0,5.1231800000000005,1.6613799999999999,1.3042,1.21593,3.48435,0.0,3.9076699999999995,0.116612
