gene_short_name,V515-06187-A1,TNT-224,TNT-13,17-00152-9_S4Aligned_cufflinks,TNT-296,TNT-271,TNT-204,TNT-197,17-00097-1_S9_cufflinks,TNT-35,TNT-141
SERHL2,5.02658,1.8443200000000002,0.36131199999999997,0.0,0.7395149999999999,7.25241,56.482,0.29822600000000005,9.03314,293.1,3.32934
SFRP1,35.3095,0.31843499999999997,26.1441,0.0,11.6134,14.8229,1.9391599999999998,8.08381,31.8986,5.3329699999999995,1.24034
SIDT1,0.9090090000000001,13.8929,0.557344,147.595,1.30631,10.5153,17.7867,1.70233,1.4220700000000002,22.7414,72.2701
SOX10,3.84721,0.0,0.79293,2.5556799999999997,0.0,0.8560700000000001,0.0,0.0,0.0,0.107528,2.96958
SPDEF,0.141878,2.45309,0.36596300000000004,4.64858,0.0,1.04728,5.67909,0.0,0.7834220000000001,5.95793,1.04922
SPRR1B,0.09447810000000001,19.5733,0.0,0.0,0.0,0.0,1.1117299999999999,0.18815199999999999,0.0,0.15053,0.0
SPTLC2,28.7351,52.7982,11.7933,0.0,17.2495,37.9832,38.3141,20.6077,44.3926,103.125,39.1107
SRPX,12.4869,5.92513,5.93244,0.0,0.08347339999999999,2.86267,1.8813099999999998,3.03199,5.55629,4.10102,2.33744
TCF7L1,11.751,3.49831,14.4279,43.2203,11.2977,16.9241,2.498,11.6431,21.8613,4.14047,5.11118
TFAP2B,1.18026,18.2922,4.86966,0.0,0.187122,3.51015,27.5623,2.15162,0.418495,54.4317,5.01163
THBS4,8.67223,43.7954,13.4366,0.0,7.621689999999999,10.0297,52.0386,10.4635,1.0911799999999998,12.3296,63.14
TNFAIP8,5.97248,26.8295,6.384580000000001,0.0,15.7102,31.349,55.4688,34.4778,9.78406,48.9079,12.9335
TNFSF10,24.8142,27.5024,38.3791,1.52524,38.096,24.6704,27.04,12.9188,6.811710000000001,58.3945,72.8703
TRIM68,7.67148,1.52447,4.08395,0.0,6.33707,4.6321,2.84899,0.0,0.781292,5.67323,0.048427
TSC22D3,7.24202,21.898000000000003,15.0742,0.0,7.56735,10.3469,16.317999999999998,12.3722,8.16817,97.5977,3.74531
UBD,0.0,1.80785,1.8886900000000002,0.0,189.13099999999997,10.8372,35.4542,11.2956,0.0,68.3502,3.378
UGT2B28,0.0,1.0239200000000002,0.567944,0.0,10.9314,9.48852,0.49240600000000007,0.0,0.573986,29.6108,0.0
XBP1,26.3139,54.6752,29.0285,116.27,27.0571,22.5333,341.116,68.1152,43.428000000000004,194.516,222.104
ZCCHC24,0.75321,0.847806,0.0,0.0,0.0278627,0.361983,1.14291,0.0,0.9831700000000001,1.9920400000000003,0.0
