gene_short_name,V515-06187-A1,TNT-187,TNT-271,17-00118-2_S5Aligned_cufflinks,17-00271-8_S16Aligned_cufflinks,17-00258-5_S5Aligned_cufflinks,TNT-166,17-00283-0_S6Aligned_cufflinks,17-00105-7_S10_cufflinks,TNT-296,17-00112-1_S7_cufflinks
SFRP1,35.3095,16.0133,14.8229,13.2394,4.8108900000000006,20.2949,95.0425,3.24058,3.78211,11.6134,20.9305
SIDT1,0.9090090000000001,2.00952,10.5153,21.2172,8.51488,6.00681,4.05504,2.26422,2.94982,1.30631,2.31862
SOX10,3.84721,0.0943175,0.8560700000000001,6.1676,0.7094550000000001,10.7546,4.6980699999999995,0.872099,1.75675,0.0,7.675260000000001
SPDEF,0.141878,0.0,1.04728,1.19861,3.8249800000000005,0.68243,1.8141900000000002,0.033780199999999996,0.0,0.0,3.7099300000000004
SPRR1B,0.09447810000000001,0.0,0.0,0.0,0.0,0.0,0.0,2.01348,0.0,0.0,0.0
SPTLC2,28.7351,43.004,37.9832,10.1009,49.9711,36.547,44.4199,33.8155,15.1177,17.2495,50.6829
SRPX,12.4869,10.878,2.86267,7.353160000000001,30.9274,3.4638,6.65442,12.2752,10.6326,0.08347339999999999,3.0148200000000003
TCF7L1,11.751,19.9522,16.9241,15.4859,6.54781,9.43708,16.6514,4.77297,13.3002,11.2977,9.5899
TFAP2B,1.18026,1.4580600000000001,3.51015,10.5496,8.73733,0.438146,0.0,0.077316,1.07282,0.187122,0.508347
THBS4,8.67223,22.4667,10.0297,0.844511,11.9439,5.44268,39.9089,8.05528,4.27227,7.621689999999999,1.5826200000000001
TNFAIP8,5.97248,15.8983,31.349,12.507,10.2542,14.6041,9.97907,13.0806,6.5877,15.7102,10.0954
TNFSF10,24.8142,21.6716,24.6704,13.4055,18.0931,16.7985,30.8127,14.5029,8.1043,38.096,4.87246
TRIM68,7.67148,3.24729,4.6321,0.51408,5.80638,3.2025099999999997,3.2868,3.12594,2.83981,6.33707,0.32358400000000004
TSC22D3,7.24202,8.56875,10.3469,41.9399,125.664,11.6497,13.0726,80.2953,25.9435,7.56735,9.21764
UBD,0.0,42.74100000000001,10.8372,0.0,0.0,0.0,3.849999999999998e-284,36.639,0.0,189.13099999999997,0.0
UGT2B28,0.0,1.01673,9.48852,0.0,533.419,0.0,0.042962900000000005,0.0,0.0,10.9314,0.0
XBP1,26.3139,31.217,22.5333,82.6609,71.8158,61.1886,31.0008,29.0413,24.8762,27.0571,135.78
ZCCHC24,0.75321,1.7465099999999998,0.361983,1.23345,2.3669,1.27759,1.46109,1.6516,3.8414599999999997,0.0278627,0.520299
