gene_short_name,V515-06187-A1,17-00103-7_S3Aligned_cufflinks,17-00283-0_S6Aligned_cufflinks,TNT-83,TNT-270,17-00157-0_S11Aligned_cufflinks,TNT-79,TNT-234,TNT-92,TNT-56,TNT-94
LBP,0.573258,18.0162,0.08534299999999999,3.66205,115.524,2.2198900000000004,0.166403,0.257459,0.143624,3.02324,4.36765
LHFP,2.0952,1.44218,2.39066,2.28782,0.41279,1.74013,0.659155,0.714479,0.553532,1.4274799999999999,0.0018709
MFAP4,1.60954,11.969000000000001,34.1461,3.2746299999999997,0.0702492,7.002680000000001,0.33054,3.14142,4.86294,8.58787,0.0
MIA,21.0747,0.0,3.07223,0.59864,0.0,91.9118,21.456,5.76936,21.7525,0.0,10.5257
MID1,36.2366,16.711,8.45507,14.9831,3.5689599999999997,38.3648,32.2369,26.9271,22.1864,17.1153,8.964210000000001
MYBL1,4.603619999999999,2.44602,2.64126,13.5443,4.90067,14.6385,36.9854,22.7219,59.4487,15.0244,26.6594
NEK2,17.1321,16.632,4.28059,10.8591,4.39891,9.50352,21.0285,28.8537,6.27886,25.9521,67.4823
NTN3,0.023557599999999998,0.0,0.0,0.0,0.0,0.0290064,0.0,0.0,0.0,0.0,0.0
OGN,1.27872,33.1891,70.0729,8.2237,3.5064300000000004,8.20645,6.74862,10.9256,38.5116,48.4188,14.1949
PI3,0.0,56.2403,0.12346900000000001,0.271929,1.7993400000000002,1.08444,0.596709,0.809754,4.07739,0.792696,0.0
PLEKHB1,14.583,7.593939999999999,0.5123949999999999,0.557688,0.0,5.81267,2.83392,1.4164299999999999,1.19539,0.0,2.4264900000000003
PMAIP1,1.6239299999999999,1.49607,1.4941799999999998,0.719421,1.02141,1.60111,2.22611,0.687533,0.914623,0.0,14.323
PSMB9,0.0,0.0,0.0,21.4879,5.21137,9.59711,13.777999999999999,26.4592,15.3154,5.67696,0.784733
PTGDS,1.49063,1.97478,14.6894,0.75678,0.19447,8.94655,0.10525999999999999,7.37632,1.74508,3.40536,0.8192729999999999
RARRES3,10.7933,16.534000000000002,12.4003,169.065,54.2952,5.33786,23.8117,10.8688,21.3796,35.2318,0.0
RTP4,0.772275,0.8455010000000001,1.17662,5.00847,0.515617,0.359175,0.735006,3.08606,3.1673,0.165472,0.0518934
S100A1,196.638,0.319159,31.5658,4.87729,0.7173039999999999,43.4994,11.3904,3.24423,8.06103,0.0,0.552142
S100A7,6.579160000000001,0.0,9.21769,0.174539,6.2457400000000005,1.15754,0.0,0.49355299999999996,9.78629,11.3459,0.0
S100A8,3.4999599999999997,7.16315,19.887999999999998,1.39343,65.1642,2.80385,0.24511599999999997,1.2311299999999998,17.065,30.4107,0.0
SCRG1,23.221999999999998,0.0,0.0692026,0.28728899999999996,4.2639,5.63649,14.0368,0.0346114,0.673348,0.0,3.22388
SEMA3C,89.189,30.594,57.5002,15.3978,80.1454,113.926,30.6627,23.6758,67.1468,104.979,14.8
SERHL2,5.02658,2.41013,1.59135,142.226,532.4590000000001,3.74914,7.426839999999999,3.8201099999999997,1.4759200000000001,12.1442,0.0
SFRP1,35.3095,2.36344,3.24058,0.416292,1.61611,15.0663,8.06581,15.3514,20.5385,4.7891900000000005,3.6155
SIDT1,0.9090090000000001,3.21991,2.26422,16.3553,23.9854,1.31951,0.512936,6.04401,3.7080900000000003,24.3258,2.89244
SOX10,3.84721,0.0,0.872099,0.0883835,0.0149695,6.6931199999999995,0.35642199999999996,3.83049,0.205921,0.0,0.108668
SPDEF,0.141878,0.08195319999999999,0.033780199999999996,11.802,2.37184,0.09151419999999999,0.0,0.0,0.113258,1.59912,0.191206
SPRR1B,0.09447810000000001,0.38435199999999997,2.01348,0.0,0.0,0.35722600000000004,0.0,0.523364,0.0,0.0,0.0
SPTLC2,28.7351,36.1338,33.8155,99.8843,55.7678,40.6082,30.6108,49.8823,34.9804,52.2154,58.4078
SRPX,12.4869,6.0477,12.2752,2.11423,0.486246,11.5373,2.00317,3.09636,6.28365,5.61139,0.0
TCF7L1,11.751,4.27525,4.77297,5.28734,1.8168099999999998,9.27533,4.14436,29.2323,11.4878,5.5587599999999995,8.26598
TFAP2B,1.18026,0.374233,0.077316,91.2466,69.5657,0.435733,0.0,0.651673,1.46155,34.3267,19.4703
THBS4,8.67223,5.72026,8.05528,8.67857,6.98055,12.4065,2.09436,5.82503,20.4333,23.8532,6.38352
TNFAIP8,5.97248,16.8954,13.0806,26.934,30.4225,8.940669999999999,18.9576,48.2796,27.0821,38.1764,10.5429
TNFSF10,24.8142,77.0824,14.5029,50.7573,27.4538,11.2988,25.2807,21.3954,52.0291,102.78,35.5034
TRIM68,7.67148,1.7915,3.12594,3.34384,7.586539999999999,3.88962,3.06815,5.37981,2.9636,0.825205,0.0
TSC22D3,7.24202,28.9859,80.2953,77.8816,13.8279,47.9913,10.0686,16.2892,13.8093,28.3239,12.0391
UBD,0.0,0.0,36.639,1.8077400000000001,3.0099999999999997e-28,0.0,13.958,21.5359,81.9667,13.7983,80.8682
UGT2B28,0.0,0.0,0.0,0.0177382,520.496,0.0,0.07032260000000001,0.0461205,0.0313859,4.225169999999999,0.052959900000000004
XBP1,26.3139,71.1081,29.0413,206.047,195.25900000000001,32.6882,53.1686,60.5242,44.0054,65.331,38.7536
ZCCHC24,0.75321,1.05722,1.6516,4.52648,0.313679,1.4920799999999999,0.00902465,1.3421,0.674429,0.152013,0.0
