gene_short_name,V515-06187-A1,17-00283-0_S6Aligned_cufflinks,TNT-325,TNT-58,TNT-202,TNT-69,TNT-223,TNT-311,TNT-187,TNT-67,TNT-117
ABCA8,1.07397,13.7512,1.18126,0.0,0.419579,6.334280000000001,11.3176,34.8692,12.5347,38.3062,14.5549
ADRA2A,0.196819,0.8419840000000001,0.271846,0.0,0.10423800000000001,0.150311,0.0,0.0496502,0.06890460000000001,0.801187,1.06228
AKAP12,3.7524300000000004,12.1297,2.1819599999999997,6.38661,2.88543,8.43398,2.91052,15.4658,10.9667,27.6458,1.6917400000000002
ALDH3B2,34.613,1.86877,34.041,3.93287,9.39125,2.33555,8.826939999999999,0.5624600000000001,7.429460000000001,33.9557,20.3454
APOD,101.54799999999999,91.0254,61.196999999999996,100.74600000000001,11.7008,334.26099999999997,634.054,582.871,32.7622,850.293,63.9205
ART3,19.2103,8.68211,0.0,0.0,33.6664,11.878,0.0,379.806,3.3322,0.535039,17.0419
ASPN,31.1651,364.705,42.7013,46.5225,19.8095,32.2778,25.1588,46.0267,55.6868,175.454,23.7047
AZGP1,64.9749,14.9506,1.1505,3.7303599999999997,174.74099999999999,41.8629,189.675,580.643,85.9447,391.01300000000003,11.4011
BLVRB,6.57613,9.71763,1.8893099999999998,0.152304,0.838176,0.226859,2.24178,0.5977600000000001,2.38092,3.14037,1.5270299999999999
C7,0.29143,13.6514,0.823103,0.0578067,0.491271,2.44299,21.6657,8.6817,4.16421,52.2921,0.964774
CCL5,1.03708,12.2628,47.0465,0.08316989999999999,2.81882,2.95312,2.0409900000000003,2.70085,2.9988599999999996,15.48,24.8368
CD36,36.5005,257.01,13.2001,8.52927,18.456,24.2,2.84832,25.2541,36.7609,175.37400000000002,19.3201
CD52,5.15236,72.2506,320.42400000000004,0.0,22.4442,15.9388,36.0713,21.335,9.19472,39.5948,108.542
CDC20,19.1111,5.4295,10.4861,10.7521,43.36600000000001,31.1055,1.58792,8.48748,15.332,0.48260699999999995,11.3241
CHI3L1,52.4824,65.1865,9.58912,0.872301,23.2638,13.2155,1.17865,0.922415,9.607999999999999,4.42293,49.0583
COL2A1,124.822,0.056947300000000006,0.0,2.1362,0.0214933,143.94299999999998,0.0,0.0,0.771233,0.0,0.0492249
COL5A1,145.37,210.984,32.1635,9.41421,31.7171,40.5398,43.7951,45.4507,147.105,143.662,36.8377
COL5A2,202.313,460.01300000000003,39.9525,34.2399,55.4751,54.6831,33.5457,72.8625,314.26599999999996,330.43,37.1575
CRAT,3.09639,5.89197,9.221860000000001,0.44309,0.301212,5.31904,26.14,0.434016,6.443,8.76498,2.27399
CROT,17.2031,10.4782,7.78834,13.287,4.69295,4.64999,24.6569,4.08553,5.30959,12.809000000000001,7.6070199999999994
CXCL10,2.29941,25.8238,85.8427,0.0,80.0122,83.8667,1.15513,27.689,79.7082,8.316880000000001,122.946
CXCL11,0.642556,9.316130000000001,3.5587400000000002,0.0,5.16683,1.3225,2.02828,5.85182,15.2041,1.3431600000000001,9.78471
CXCL13,0.0413495,19.3527,47.4504,0.583879,16.756,5.602609999999999,0.10202699999999999,5.80727,8.6131,2.82177,37.6351
CYP4F8,0.048019099999999995,0.0,0.0,0.0,1.23981,0.54584,12.2088,0.149097,0.301548,0.0558274,0.355451
DBI,412.371,251.488,21.2225,221.39700000000002,81.6514,110.56,128.19,155.366,147.524,146.65200000000002,76.2147
DEFB1,3.16262,1.62226,50.9421,0.0,3.2412400000000003,0.0,0.7604770000000001,5.24034,0.744099,0.5832109999999999,1.9851400000000001
DHCR24,38.1374,20.2387,62.9418,8.594660000000001,22.1326,10.5851,62.6917,2.58974,19.7136,58.5741,32.4208
DUSP5,2.6614299999999997,6.05483,4.8256,0.667679,6.07051,1.8848200000000002,13.9662,1.8477,6.913710000000001,10.2672,8.2184
FABP7,2.25652,2.42951,0.0,5.85369,90.0951,31.3579,0.776385,0.259635,0.23061199999999998,0.504147,0.985374
FASN,124.609,53.9528,10.8743,12.6822,6.0106,5.368180000000001,15.5662,3.6021400000000003,41.1579,33.9861,9.33763
FGFR4,2.32432,0.225221,6.602360000000001,2.1019400000000004,0.572056,3.41509,5.66742,0.0657728,3.1471299999999998,2.0723599999999998,0.0
FGL2,2.48121,18.1999,7.19821,5.94705,3.41656,2.2448200000000003,4.23182,6.20109,4.42777,8.229280000000001,10.2123
FOXA1,1.38574,0.742325,23.6446,0.0,0.420079,0.252733,79.9745,0.9381450000000001,1.1465100000000001,41.2711,0.275353
FOXC1,9.10755,11.5344,13.7862,5.94384,61.0001,33.4287,0.369856,33.2057,34.9737,9.42451,43.8821
GABRP,8.66089,61.8084,271.08299999999997,153.08700000000002,392.1,723.575,0.0315845,590.01,331.8,101.90700000000001,1315.98
GALNT7,12.4003,18.4078,22.686,5.65318,29.0905,15.0502,515.1030000000001,14.3397,13.8611,43.7686,12.4562
GBP1,41.394,162.069,194.968,47.5023,350.463,128.634,33.577,62.836000000000006,517.396,116.33,140.22299999999998
GCHFR,0.42253100000000005,2.50636,0.0,0.108339,0.699921,0.0870739,0.0,0.0,0.0,0.176906,0.348706
GPR87,0.9514879999999999,0.176977,42.6912,3.10629,0.157315,2.20498,2.6789,31.4702,0.828652,0.16933,1.68203
GZMB,1.4986,7.94791,14.0912,5.093380000000001,4.89034,2.27449,0.0,2.90159,0.52895,1.42534,24.1368
