gene_short_name,V515-06187-A1,17-00270-5_S14Aligned_cufflinks,TNT-76,TNT-62,17-00125-8_S13Aligned_cufflinks,17-00156-7_S13Aligned_cufflinks,TNT-321,TNT-154,TNT-157,TNT-71,TNT-224
SFRP1,35.3095,0.39879000000000003,10.8045,50.8834,9.57648,1.7652700000000001,11.2555,0.300806,5.6944300000000005,5.5372900000000005,0.31843499999999997
SIDT1,0.9090090000000001,15.0462,2.9025,2.8378,10.0237,0.0,2.17142,0.799825,5.13203,2.0698,13.8929
SOX10,3.84721,0.075293,4.684069999999999,2.12555,3.93353,6.01954,1.45691,1.1984,0.515416,0.10395599999999999,0.0
SPDEF,0.141878,7.91627,0.0,0.125309,3.7916800000000004,0.0,0.0,2.7313400000000003,0.35286799999999996,0.214666,2.45309
SPRR1B,0.09447810000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1324,19.5733
SPTLC2,28.7351,85.9094,40.9352,30.4717,31.9106,0.0,12.505999999999998,34.4312,23.1361,41.79600000000001,52.7982
SRPX,12.4869,4.128819999999999,8.16291,3.95488,11.315999999999999,0.0,1.2381,5.56226,3.4083,1.4254,5.92513
TCF7L1,11.751,1.68946,26.0239,18.6337,17.9877,0.0,15.7481,28.9403,19.2652,9.74195,3.49831
TFAP2B,1.18026,18.7696,0.0480311,1.32869,3.9222699999999997,0.0,0.0,0.0,0.0,4.96422,18.2922
THBS4,8.67223,25.4608,26.1723,2.546,17.7867,15.8989,20.2648,46.2432,10.2009,5.57063,43.7954
TNFAIP8,5.97248,23.6526,13.5345,17.2372,11.2917,0.0,25.2009,15.5569,37.2349,19.1099,26.8295
TNFSF10,24.8142,29.2146,11.8922,6.9446,18.0064,173.023,16.3129,40.4481,37.5497,73.0496,27.5024
TRIM68,7.67148,12.3542,1.4648700000000001,2.36306,18.792,0.0,0.240721,0.70638,0.6743640000000001,0.502216,1.52447
TSC22D3,7.24202,18.2165,27.685,6.88048,28.8027,139.387,0.7524390000000001,0.0,9.78657,2.8311599999999997,21.898000000000003
UBD,0.0,0.0,15.4731,17.5477,0.0,0.0,41.4485,16.3976,30.8208,188.513,1.80785
UGT2B28,0.0,1018.86,0.0,1.48948,0.39282100000000003,0.0,0.262825,0.0,0.532721,0.679177,1.0239200000000002
XBP1,26.3139,143.30200000000002,64.7398,85.7476,63.70399999999999,106.709,23.6254,50.7742,51.8027,61.7748,54.6752
ZCCHC24,0.75321,1.29529,1.41876,0.124046,5.1231800000000005,0.0,0.411487,0.0,1.2597399999999999,0.12222000000000001,0.847806
