gene_short_name,V515-06187-A1,TNT-214,TNT-195,17-00258-5_S5Aligned_cufflinks,17-00157-0_S11Aligned_cufflinks,TNT-24,TNT-56,17-00280-7_S4Aligned_cufflinks,TNT-98,TNT-194,TNT-208
JAM2,11.2143,3.4278,18.4024,6.89795,11.2515,5.36198,19.8815,25.3646,5.26081,9.661719999999999,6.14658
KCNK5,7.320460000000001,0.29323499999999997,0.025733199999999998,2.7997799999999997,3.94905,3.72339,0.0,0.34133600000000003,0.592298,2.25602,0.20579099999999997
KIAA1324,6.46799,49.3905,8.69715,8.89978,4.44704,15.5619,7.8991,106.109,18.4207,6.48423,109.37899999999999
KMO,1.44589,7.213260000000001,17.7686,4.74365,3.9550199999999998,5.29445,50.1273,17.2094,5.56081,1.32144,9.141210000000001
KRT14,118.37100000000001,2.48054,11.6825,49.9799,246.15,11.775,7.29144,20.0869,10.8085,389.075,0.181523
KRT16,91.0343,33.9761,5.14653,123.37,473.333,156.186,36.1925,0.9753379999999999,53.1245,324.98,3.55465
KRT17,105.34700000000001,15.0611,44.1026,98.3899,1234.96,237.929,8.14297,40.3273,24.3857,524.3919999999999,0.600122
KRT6A,54.2242,16.797,7.37833,74.7498,316.262,12.9195,11.6377,2.1787400000000003,776.28,259.214,8.43293
KRT6B,86.6584,12.4539,22.689,53.5423,231.8,75.9562,0.743279,5.99876,46.1464,92.3174,0.298235
KYNU,14.7879,13.6376,7.339639999999999,9.58681,21.980999999999998,11.8771,60.5616,40.2252,34.9034,3.65505,26.8288
LBP,0.573258,0.0,0.0,0.358738,2.2198900000000004,0.11400199999999999,3.02324,0.0778297,6.07525,0.8388760000000001,3.46219
LHFP,2.0952,0.275027,0.234188,2.79094,1.74013,1.22997,1.4274799999999999,1.07837,0.42182200000000003,0.339519,2.59058
MFAP4,1.60954,1.3753799999999998,10.6199,10.5279,7.002680000000001,4.47361,8.58787,2.88714,1.8283599999999998,2.27238,6.0048
MIA,21.0747,0.0,0.558431,14.3733,91.9118,9.454410000000001,0.0,0.8504440000000001,0.0,29.91,0.82752
