gene_short_name,V515-06187-A1,TNT-14,TNT-8,TNT-141,TNT-20,TNT-304,TNT-132,17-00100-2_S17Aligned_cufflinks,TNT-62,17-00280-7_S4Aligned_cufflinks,TNT-177
TCF7L1,11.751,51.7263,87.3457,5.11118,1.9552599999999998,9.31606,2.5219400000000003,7.3748,18.6337,5.660909999999999,12.356
TFAP2B,1.18026,2.5493799999999998,2.2852200000000003,5.01163,0.908734,0.318333,18.4351,1.80719,1.32869,14.087,0.0
THBS4,8.67223,0.667736,21.1983,63.14,98.0214,5.10417,13.3943,3.8008699999999997,2.546,4.36571,22.2968
TNFAIP8,5.97248,12.4301,3.41071,12.9335,22.5543,31.3755,58.0308,11.0254,17.2372,16.454,10.7572
TNFSF10,24.8142,14.402000000000001,14.0586,72.8703,44.2258,16.7768,32.1512,45.96,6.9446,132.384,37.211
TRIM68,7.67148,4.73203,5.83645,0.048427,5.24492,1.0104600000000001,2.88826,5.43264,2.36306,8.45792,5.86097
TSC22D3,7.24202,3.04296,9.521510000000001,3.74531,28.9779,3.52469,25.4171,6.84425,6.88048,9.54262,8.69121
UBD,0.0,6.246659999999999,6.70224,3.378,0.7690520000000001,5.88761,15.0962,0.0,17.5477,0.0,26.4524
UGT2B28,0.0,0.0,8.20575,0.0,13.4235,0.0,260.887,0.0,1.48948,0.10263800000000001,0.0
XBP1,26.3139,60.9409,28.7927,222.104,40.8036,47.3865,90.569,66.946,85.7476,304.504,11.0742
ZCCHC24,0.75321,0.18821300000000002,0.171518,0.0,1.27769,0.0,2.47759,1.10658,0.124046,0.520663,0.08366749999999999
