gene_short_name,V515-06187-A1,TNT-73,TNT-54,TNT-4,17-00258-5_S5Aligned_cufflinks,TNT-219,TNT-239,TNT-275,17-00132-8_S16Aligned_cufflinks,TNT-313,TNT-318
KCNK5,7.320460000000001,0.0679313,0.293658,0.166799,2.7997799999999997,0.0989018,0.285043,0.49949099999999996,0.14339000000000002,1.89058,0.68934
KIAA1324,6.46799,3.7088400000000004,125.743,15.1323,8.89978,81.4101,25.3584,4.49825,4.055969999999999,26.8004,3.4933099999999997
KMO,1.44589,8.273719999999999,17.2072,7.90998,4.74365,4.78878,24.7087,5.56545,3.9471800000000004,3.6366300000000003,4.860580000000001
KRT14,118.37100000000001,13.3212,10.1796,3.8259,49.9799,0.12215999999999999,2.00679,0.48074300000000003,20.9046,2.3244,5.38805
KRT16,91.0343,6.70262,0.225316,9.11002,123.37,2.40834,17.9436,14.767999999999999,4.42811,20.3289,77.0578
KRT17,105.34700000000001,48.2962,15.9813,15.2766,98.3899,0.0,34.4338,45.0247,40.8994,37.6519,62.6391
KRT6A,54.2242,77.6605,3.2096400000000003,43.7876,74.7498,0.0207626,82.8246,19.9684,130.384,10.2522,98.0292
KRT6B,86.6584,63.2006,3.3842800000000004,10.2424,53.5423,0.742875,139.554,32.3569,27.5115,8.01256,85.4541
KYNU,14.7879,9.55879,14.6996,69.6869,9.58681,8.8547,23.0941,25.2469,10.0373,7.4756,6.834810000000001
LBP,0.573258,0.0,0.036197599999999996,183.90200000000002,0.358738,0.0,3.42086,0.923182,0.0,7.3772899999999995,0.759896
LHFP,2.0952,0.260677,1.9761799999999998,2.3965,2.79094,1.4099899999999999,0.784121,0.457348,5.4873400000000006,0.571099,0.526876
MFAP4,1.60954,2.133,15.402000000000001,20.6016,10.5279,8.48944,3.85388,1.06111,19.1872,3.3160000000000003,1.666
MIA,21.0747,3.3616900000000003,10.6721,0.0,14.3733,1.0778299999999998,38.436,1.96921,0.0,29.0599,17.5343
MID1,36.2366,24.2977,9.3377,24.7647,12.8176,3.8664400000000003,27.8837,33.4136,9.59732,13.7536,25.3114
MYBL1,4.603619999999999,8.25261,17.2978,3.4451699999999996,40.251999999999995,9.22631,10.6215,27.5883,1.53662,3.25228,57.4527
NEK2,17.1321,54.6188,3.0213,3.7872,14.2971,6.11541,24.1101,35.4596,0.682503,20.5716,38.9334
NTN3,0.023557599999999998,0.0,0.0,0.0,0.029489799999999997,0.0,0.0,0.0,0.0,0.0,0.0
OGN,1.27872,28.6293,47.7903,82.4171,4.57913,9.62504,4.3811,16.5318,7.98102,11.9837,7.740810000000001
PI3,0.0,15.2543,0.144572,2.09959,0.0,0.0,0.0,32.9457,0.0,11.4592,0.47272
PLEKHB1,14.583,0.340161,3.18058,0.0,13.993,0.163102,1.5604799999999999,1.08019,0.0,1.67582,1.25835
PMAIP1,1.6239299999999999,2.3414599999999997,3.87836,0.09488339999999999,2.15123,5.16143,4.33091,18.0211,0.0,0.08315700000000001,5.0343800000000005
PSMB9,0.0,5.68435,21.6541,6.91171,0.0,11.1204,22.3266,8.420060000000001,0.0,16.605999999999998,28.5825
PTGDS,1.49063,3.77751,13.7563,2.49494,7.08018,11.7022,14.9539,0.9673149999999999,18.3436,1.52534,0.44939399999999996
RARRES3,10.7933,10.8694,34.8722,36.1807,23.5313,45.042,115.305,17.9254,14.6898,18.192999999999998,33.635
RTP4,0.772275,4.22076,0.464337,0.0,3.0802400000000003,2.86061,2.47434,1.2294100000000001,1.0854,0.515246,8.07012
S100A1,196.638,0.156149,3.7649800000000004,0.0,179.938,0.760753,6.14099,1.16736,0.0,38.1213,45.1651
S100A7,6.579160000000001,9.12628,0.0,138.622,0.36102399999999996,0.0,7.22335,90.0918,8.466339999999999,22.1324,1.41924
S100A8,3.4999599999999997,5.5385599999999995,0.8787149999999999,105.69200000000001,2.18289,1.15485,10.8895,122.693,2.52279,77.2175,2.3352
SCRG1,23.221999999999998,2.2307,1.55734,0.917041,5.63925,0.253287,0.616513,5.177980000000001,0.0,1.39991,2.32151
SEMA3C,89.189,15.7635,21.6573,122.228,11.4289,41.6009,63.8822,17.9353,23.1293,19.0473,33.6265
SERHL2,5.02658,1.2349,1.8330400000000002,96.2706,14.0748,2.98422,5.637169999999999,0.578943,10.0127,0.238502,1.62353
SFRP1,35.3095,0.100459,14.4536,2.25192,20.2949,0.601146,15.3376,3.5965800000000003,0.651243,14.1765,62.9304
SIDT1,0.9090090000000001,3.01369,21.7554,13.2347,6.00681,15.2371,14.1793,1.18936,8.83893,3.7081800000000005,6.2171400000000006
SOX10,3.84721,0.00900422,1.61582,0.0,10.7546,0.0738485,0.45138,0.0,0.18970599999999999,0.290165,2.23541
SPDEF,0.141878,0.0,0.788334,3.17591,0.68243,4.07118,0.381323,0.0,0.0,0.328509,0.0
SPRR1B,0.09447810000000001,0.0,0.0,0.0,0.0,0.0,1.77931,0.0,7.156569999999999,0.0,0.0
SPTLC2,28.7351,13.6311,78.933,29.6352,36.547,44.4583,75.5368,34.6502,23.3392,27.6522,41.8028
SRPX,12.4869,1.04663,12.1905,6.64019,3.4638,3.4648,1.4964,3.03912,11.9724,3.32821,4.89765
TCF7L1,11.751,28.8742,5.8485,7.7230300000000005,9.43708,2.14677,6.582000000000001,10.4131,7.31608,11.0725,28.1337
TFAP2B,1.18026,0.89359,13.5869,7.528460000000001,0.438146,0.0,1.99583,0.6146199999999999,0.0,0.0319616,0.236125
THBS4,8.67223,4.65828,94.12100000000001,4.58691,5.44268,105.4,5.87345,14.4432,9.82158,7.024780000000001,6.8529
TNFAIP8,5.97248,17.1811,40.9456,26.519000000000002,14.6041,43.0629,134.384,33.8904,25.2074,23.985,23.671
TNFSF10,24.8142,172.615,35.323,23.4715,16.7985,17.9517,70.8998,12.908,8.998339999999999,8.09372,15.4007
TRIM68,7.67148,1.0162200000000001,1.61214,0.779116,3.2025099999999997,1.9172099999999999,2.42572,0.257472,1.5954700000000002,0.829583,2.08187
TSC22D3,7.24202,8.0713,38.0792,19.5717,11.6497,28.1163,7.86074,22.2448,18.3978,8.6376,10.0065
UBD,0.0,73.4598,33.4749,6.7378,0.0,7.89514,46.9344,14.192,13.8943,40.1572,50.1398
UGT2B28,0.0,0.0132192,0.0,70.8305,0.0,0.0,0.36485100000000004,0.261173,0.0,0.0,0.040862699999999995
XBP1,26.3139,62.3238,99.5383,57.555,61.1886,235.39,40.5142,54.7944,45.1453,116.723,29.8963
ZCCHC24,0.75321,0.534347,0.589845,1.65927,1.27759,2.29724,0.334794,0.0777878,3.27612,0.578819,0.360548
