gene_short_name,V515-06187-A1,17-00252-2_S13Aligned_cufflinks,TNT-304,TNT-113,TNT-157,TNT-105,TNT-277,TNT-158,TNT-133,17-00141-7_S14Aligned_cufflinks,TNT-177
IDO1,0.29142399999999996,3.06081,6.730410000000001,39.3203,12.8347,21.6275,33.9794,4.99432,0.0,0.683896,10.2732
IGFBP4,13.3498,13.3171,0.532935,2.82959,2.9835,2.6949799999999997,0.29838400000000004,1.16772,10.6492,37.1521,9.74421
IGHM,55.218999999999994,0.0,58.2375,268.14799999999997,350.832,7.7482,60.5221,21.4105,144.781,0.0,14.0452
IGJ,20.0186,328.423,358.417,155.94,302.263,30.9685,585.126,77.067,651.057,196.38099999999997,44.6267
IGKC,182.34599999999998,6002.41,2858.74,5559.58,5900.1,125.6,2331.36,5458.16,3728.87,2241.32,102.77600000000001
IL23A,0.049007300000000004,0.314108,0.20618899999999998,0.0,0.0,0.0,0.0,0.0,0.243693,0.239204,0.0
IL33,0.8833290000000001,3.5217400000000003,0.159485,1.15545,2.4586099999999997,4.22781,22.9963,2.00852,3.54569,1.8586,0.0
INPP4B,37.1722,20.183,7.3277,46.5469,17.0085,15.5322,60.0802,19.4816,9.4802,25.1375,1.63841
ITM2A,5.13433,17.6302,14.73,24.0381,15.7734,6.29941,14.5216,7.52579,5.674119999999999,6.32241,0.0
JAM2,11.2143,11.0531,3.37066,3.97831,12.3479,8.829460000000001,10.6435,5.915369999999999,8.22675,10.662,0.0
KCNK5,7.320460000000001,0.294427,0.620442,0.340533,0.690415,0.482227,0.0,1.91029,0.0,1.93303,9.51881
KIAA1324,6.46799,126.189,17.9592,22.8026,11.462,7.3353399999999995,19.0453,3.68074,116.535,4.3116699999999994,52.1132
KMO,1.44589,34.7942,5.78913,5.52365,3.60543,8.78243,17.3116,4.77716,5.83209,3.5943099999999997,1.26288
KRT14,118.37100000000001,5.01213,8.99563,78.6777,48.6854,49.623000000000005,0.0,36.2754,0.109117,36.7775,321.084
KRT16,91.0343,0.6585489999999999,29.6355,50.6836,29.9302,14.972999999999999,0.509725,7.42116,3.40006,53.5803,110.288
KRT17,105.34700000000001,8.48678,10.112,29.8449,93.4954,73.9639,0.0,136.091,3.03741,207.128,538.0169999999999
KRT6A,54.2242,4.24371,1.43897,120.645,114.32799999999999,49.8643,3.69555,12.5419,20.4893,95.3601,53.19
KRT6B,86.6584,0.448112,9.099089999999999,54.9532,58.34,8.31075,0.0634756,5.4740400000000005,0.0,46.9562,256.01599999999996
KYNU,14.7879,44.1455,4.4863,10.4972,10.0651,17.2198,57.3483,4.4076900000000006,6.90752,4.16904,14.4053
LBP,0.573258,6.03514,0.307366,3.7789,10.5957,0.669962,0.0,0.0,0.0,0.05971219999999999,4.68855
LHFP,2.0952,1.97984,0.0947361,0.13284400000000002,0.326932,0.9068860000000001,2.84979,1.16419,1.2399200000000001,3.25874,0.100909
MFAP4,1.60954,4.70685,0.0,0.0752608,5.34585,0.276358,10.7208,0.0,20.6094,13.5576,2.17422
MIA,21.0747,0.644031,13.4175,0.0,1.63317,4.42199,0.0,4.20826,0.0,9.901530000000001,138.006
MID1,36.2366,3.51415,11.3562,8.52765,9.65455,17.305999999999997,9.22419,24.2952,23.5989,32.269,14.6245
MYBL1,4.603619999999999,2.22804,64.9785,30.3994,114.391,29.0446,8.94398,82.296,3.46601,16.2934,10.595999999999998
NEK2,17.1321,6.4397,21.4632,52.4039,25.8249,21.2469,2.3382,63.4262,10.8658,11.1588,77.8594
NTN3,0.023557599999999998,0.230461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.294553,0.0
OGN,1.27872,6.22191,6.47238,13.3446,24.9941,24.8683,21.9407,27.0655,87.2186,18.2678,16.3848
PI3,0.0,0.0,0.0,5.16361,17.863,3.8761300000000003,0.0,4.7016,0.0,0.24203400000000003,0.0
PLEKHB1,14.583,0.809535,0.441845,2.2507,0.0,0.41018599999999994,0.175991,9.21203,0.0,9.12156,3.74115
PMAIP1,1.6239299999999999,0.21333600000000003,2.78943,0.0,1.51596,4.45515,6.5842,0.0,0.0,0.24055700000000002,0.0
PSMB9,0.0,0.0,8.812510000000001,36.9638,9.368260000000001,4.74485,10.9249,8.527289999999999,8.88371,0.0,5.711130000000001
PTGDS,1.49063,2.3752400000000002,0.406698,3.52126,7.619330000000001,1.51005,24.8969,0.41365100000000005,2.50168,6.30433,2.28153
RARRES3,10.7933,26.589000000000002,21.8538,44.1109,22.5854,0.474576,17.8497,12.6827,1.1592799999999999,8.45957,0.518451
RTP4,0.772275,1.25284,5.27146,0.0,4.38526,3.08054,0.0,1.4921200000000001,0.8344229999999999,0.7670399999999999,0.0
S100A1,196.638,19.0594,40.8906,1.81255,0.0,1.14229,0.0,24.8818,2.52791,76.9885,36.82
S100A7,6.579160000000001,90.7809,0.0,3.07872,7.967980000000001,0.287052,0.0,0.0,0.0,1.7232900000000002,0.0
S100A8,3.4999599999999997,24.2471,5.27527,0.0,1.9424599999999999,2.19215,0.0,0.47805200000000003,0.0,0.295455,0.0
SCRG1,23.221999999999998,0.0471849,76.7889,0.0,0.697447,8.46354,0.0,10.0471,0.08771330000000001,0.362433,6.31794
SEMA3C,89.189,158.167,1.9699400000000002,7.66827,20.029,11.2917,65.9215,60.6751,120.15799999999999,75.3746,38.0269
SERHL2,5.02658,399.14599999999996,1.30511,3.6563,2.29392,1.23294,1.0151700000000001,0.80852,15.5356,5.89006,11.314
SFRP1,35.3095,0.42449799999999993,23.9901,5.040830000000001,5.6944300000000005,9.92695,5.733619999999999,22.7723,8.57477,6.9682,4.2594
