gene_short_name,V515-06187-A1,TNT-270,TNT-4,17-00104-2_S7Aligned_cufflinks,TNT-281,17-00112-1_S7_cufflinks,TNT-58,TNT-139,TNT-54,TNT-98,TNT-289
HTRA1,91.2943,28.7858,291.691,6.07297,9.95982,21.3345,10.4044,37.3821,64.1031,37.2753,82.6346
IDO1,0.29142399999999996,1.39216,1.58873,0.0,24.7108,1.5041,0.0,44.8251,22.9377,41.407,0.400109
IGFBP4,13.3498,0.30803,7.64763,9.80542,0.5106609999999999,6.50565,0.8240049999999999,8.66618,2.86017,3.38196,2.9954099999999997
IGHM,55.218999999999994,39.0876,43.9422,0.0,213.67,0.0,1.9281599999999999,55.1274,126.71,227.045,8.20091
IGJ,20.0186,97.7094,218.31,4.29243,378.825,250.085,1.072,65.2352,802.568,353.98,3.92075
IGKC,182.34599999999998,2435.65,980.865,66.0953,2270.71,11629.5,8.486289999999999,623.875,3790.35,8207.61,59.211000000000006
IL23A,0.049007300000000004,0.0,0.0,0.0,0.147824,0.0,0.0,0.0,0.360752,0.100267,0.0
IL33,0.8833290000000001,0.765195,5.825130000000001,1.19507,1.07443,0.0231033,0.0,1.0214299999999998,13.8928,6.8830100000000005,0.9259370000000001
INPP4B,37.1722,108.73299999999999,26.069000000000003,7.46138,3.00811,7.44908,7.69827,14.4823,70.1898,53.2174,1.9416799999999999
ITM2A,5.13433,3.5192099999999997,15.3956,3.30896,68.0098,5.6897400000000005,0.0,5.5162,48.3458,25.0447,4.83082
JAM2,11.2143,5.26089,17.8065,3.6427199999999997,5.9953,1.4882600000000001,0.212544,1.8531799999999998,25.4863,5.26081,13.9681
KCNK5,7.320460000000001,0.0564726,0.166799,0.209398,1.91526,5.90846,0.19696,1.0216100000000001,0.293658,0.592298,1.22033
KIAA1324,6.46799,91.0199,15.1323,20.8609,4.29164,45.812,22.2454,17.5328,125.743,18.4207,36.5255
KMO,1.44589,63.0281,7.90998,2.52806,24.4904,5.09386,0.0,2.22641,17.2072,5.56081,5.17553
KRT14,118.37100000000001,0.044037400000000004,3.8259,25.0605,276.062,148.933,263.76099999999997,495.375,10.1796,10.8085,32.4302
KRT16,91.0343,0.556193,9.11002,134.622,349.52099999999996,106.581,394.44699999999995,65.3751,0.225316,53.1245,18.1422
KRT17,105.34700000000001,2.66424,15.2766,37.2395,219.024,1.45916,219.69799999999998,220.483,15.9813,24.3857,55.5191
KRT6A,54.2242,12.0715,43.7876,43.5373,622.6469999999999,2.22255,25.8248,172.75400000000002,3.2096400000000003,776.28,15.9277
KRT6B,86.6584,1.7819200000000002,10.2424,43.8515,180.32,6.2199,73.8423,73.2841,3.3842800000000004,46.1464,4.00999
KYNU,14.7879,368.811,69.6869,21.581,2.55798,2.99107,9.771410000000001,2.42706,14.6996,34.9034,2.97186
LBP,0.573258,115.524,183.90200000000002,0.11828699999999999,0.29639099999999996,0.15826099999999999,0.0,0.856867,0.036197599999999996,6.07525,1.0561200000000002
LHFP,2.0952,0.41279,2.3965,0.875301,0.0228533,1.0540200000000002,0.0553289,0.7534930000000001,1.9761799999999998,0.42182200000000003,0.903817
MFAP4,1.60954,0.0702492,20.6016,1.09546,0.11254700000000001,0.217392,0.0,1.29656,15.402000000000001,1.8283599999999998,2.56142
MIA,21.0747,0.0,0.0,1.31154,10.8148,13.1502,8.05077,42.9602,10.6721,0.0,27.1029
MID1,36.2366,3.5689599999999997,24.7647,7.2523100000000005,14.8445,33.329,23.0528,13.3447,9.3377,26.0626,51.5347
MYBL1,4.603619999999999,4.90067,3.4451699999999996,4.57247,4.13731,24.2743,23.7178,54.0697,17.2978,4.37374,20.0227
NEK2,17.1321,4.39891,3.7872,16.4332,30.6035,15.7279,101.637,89.38,3.0213,6.4425300000000005,22.2645
NTN3,0.023557599999999998,0.0,0.0,0.175048,0.0,0.06245459999999999,0.0,0.0,0.0,0.0,0.0385849
OGN,1.27872,3.5064300000000004,82.4171,0.290385,36.5507,2.06137,15.4139,11.8601,47.7903,30.8342,137.401
PI3,0.0,1.7993400000000002,2.09959,0.23979899999999998,15.133,0.38461599999999996,1.67842,0.749434,0.144572,24.7948,0.655293
PLEKHB1,14.583,0.0,0.0,0.9807030000000001,0.380533,1.02114,3.9863699999999995,1.25768,3.18058,0.0,0.181805
PMAIP1,1.6239299999999999,1.02141,0.09488339999999999,2.90099,10.6012,0.170902,0.0,5.27086,3.87836,0.0,6.14423
PSMB9,0.0,5.21137,6.91171,0.0,40.9199,10.1796,1.84833,8.619110000000001,21.6541,22.5962,15.8159
PTGDS,1.49063,0.19447,2.49494,2.26397,1.7738599999999998,0.737796,0.0,3.6436800000000003,13.7563,9.09855,1.28009
RARRES3,10.7933,54.2952,36.1807,1.89975,40.4701,12.5541,0.0,18.0742,34.8722,32.007,14.9686
RTP4,0.772275,0.515617,0.0,0.151952,4.15161,0.44722,0.0,6.42063,0.464337,1.8151,4.98935
S100A1,196.638,0.7173039999999999,0.0,0.0,0.109232,188.155,5.7632699999999994,45.0482,3.7649800000000004,0.38298899999999997,17.868
S100A7,6.579160000000001,6.2457400000000005,138.622,45.4113,58.7633,0.0,5.43066,7.319660000000001,0.0,55.8724,0.47535600000000006
S100A8,3.4999599999999997,65.1642,105.69200000000001,19.8689,14.3193,0.0,0.0,2.84797,0.8787149999999999,18.9458,2.62304
SCRG1,23.221999999999998,4.2639,0.917041,0.0,0.372302,0.7337100000000001,6.731510000000001,0.985764,1.55734,0.540506,4.28357
SEMA3C,89.189,80.1454,122.228,42.2899,32.1716,11.1491,5.29232,22.0941,21.6573,61.4877,22.1075
SERHL2,5.02658,532.4590000000001,96.2706,3.2118599999999997,0.112596,33.4034,0.873811,2.80262,1.8330400000000002,8.79175,5.33505
SFRP1,35.3095,1.61611,2.25192,1.0608899999999999,4.82991,20.9305,1.5655,15.2094,14.4536,3.23093,29.3637
SIDT1,0.9090090000000001,23.9854,13.2347,8.90804,5.19909,2.31862,0.0,1.9708900000000003,21.7554,18.52,0.705832
SOX10,3.84721,0.0149695,0.0,0.270609,0.0,7.675260000000001,3.6267099999999997,3.85785,1.61582,0.545676,1.40946
SPDEF,0.141878,2.37184,3.17591,0.0699543,0.0,3.7099300000000004,0.0,0.6927949999999999,0.788334,0.787379,0.139067
SPRR1B,0.09447810000000001,0.0,0.0,7.66609,0.0904638,0.0,0.0,0.0,0.0,0.0,0.0
SPTLC2,28.7351,55.7678,29.6352,27.6182,43.3611,50.6829,4.23276,99.0664,78.933,27.576,40.9009
SRPX,12.4869,0.486246,6.64019,1.56102,0.0,3.0148200000000003,0.102861,7.10769,12.1905,3.13155,14.1535
TCF7L1,11.751,1.8168099999999998,7.7230300000000005,4.27422,4.3718699999999995,9.5899,22.6994,12.025,5.8485,6.33703,13.4957
TFAP2B,1.18026,69.5657,7.528460000000001,0.615416,0.00802045,0.508347,2.55401,1.54039,13.5869,1.95417,0.445715
THBS4,8.67223,6.98055,4.58691,3.7549300000000003,2.93782,1.5826200000000001,1.68743,16.9838,94.12100000000001,5.17795,25.1457
TNFAIP8,5.97248,30.4225,26.519000000000002,8.91414,22.9848,10.0954,8.26238,18.1646,40.9456,32.1947,15.142000000000001
TNFSF10,24.8142,27.4538,23.4715,7.52508,43.6615,4.87246,9.4525,42.7781,35.323,88.3038,14.0271
TRIM68,7.67148,7.586539999999999,0.779116,0.6705949999999999,13.5519,0.32358400000000004,0.251423,0.0549879,1.61214,3.16214,7.17307
TSC22D3,7.24202,13.8279,19.5717,2.00415,6.87321,9.21764,0.0487917,0.42588000000000004,38.0792,13.0232,22.6667
UBD,0.0,3.0099999999999997e-28,6.7378,0.0,137.485,0.0,0.0,10.9428,33.4749,90.6399,0.301306
UGT2B28,0.0,520.496,70.8305,0.0,5.3234,0.0,0.0,0.0,0.0,0.0,1.26947
XBP1,26.3139,195.25900000000001,57.555,18.1345,35.2366,135.78,29.2347,92.5017,99.5383,162.27700000000002,37.5827
ZCCHC24,0.75321,0.313679,1.65927,0.13893,0.0,0.520299,0.00572394,2.05055,0.589845,0.351353,1.77067
