gene_short_name,V515-06187-A1,17-00122-1_S1_cufflinks,TNT-328,17-00116-9_S2Aligned_cufflinks,TNT-313,TNT-231,TNT-13,TNT-30,TNT-48,17-00212-8_S3Aligned_cufflinks,TNT-79
NTN3,0.023557599999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0227539,0.0,0.016492700000000002,0.0
OGN,1.27872,0.491951,26.9071,78.5414,11.9837,9.15397,13.7195,5.48295,106.76799999999999,17.1544,6.74862
PI3,0.0,13.0826,0.0,12.7654,11.4592,119.469,0.0,0.47946400000000006,0.0,2.95712,0.596709
PLEKHB1,14.583,0.0,0.613881,1.59507,1.67582,0.013343100000000002,0.0,3.95367,1.01819,0.291418,2.83392
PMAIP1,1.6239299999999999,0.701753,0.0,0.32492,0.08315700000000001,9.53519,0.0,0.607298,1.4620799999999998,0.701642,2.22611
PSMB9,0.0,0.0,0.301134,0.0,16.605999999999998,24.8823,2.88786,14.799000000000001,6.53207,0.0,13.777999999999999
PTGDS,1.49063,10.8266,2.12735,21.3059,1.52534,1.5664799999999999,0.0,0.47635900000000003,7.0991800000000005,14.6355,0.10525999999999999
RARRES3,10.7933,3.24346,2.52434,19.6742,18.192999999999998,119.425,28.1044,12.062000000000001,3.7106,22.884,23.8117
RTP4,0.772275,0.0,0.0,0.6748890000000001,0.515246,0.123359,7.55152,2.34622,0.348383,1.14486,0.735006
S100A1,196.638,0.0,17.5934,2.97989,38.1213,0.0,2.6609,64.0962,6.33437,0.346523,11.3904
S100A7,6.579160000000001,7.52054,0.0,13.0315,22.1324,376.721,3.57573,2.47008,5.704359999999999,115.285,0.0
S100A8,3.4999599999999997,12.2914,3.32571,7.834510000000001,77.2175,372.79,0.0,1.9656200000000001,2.22548,11.5963,0.24511599999999997
SCRG1,23.221999999999998,0.0,40.7982,0.14674600000000002,1.39991,0.0,12.1846,10.3783,8.00871,0.0353548,14.0368
SEMA3C,89.189,58.1962,9.95055,151.089,19.0473,97.5067,51.7291,72.1543,60.8777,53.0699,30.6627
SERHL2,5.02658,9.48451,0.6588109999999999,31.3695,0.238502,3.99712,0.36131199999999997,2.18186,0.107499,256.397,7.426839999999999
SFRP1,35.3095,0.7392770000000001,24.6403,16.9775,14.1765,2.70922,26.1441,17.7648,16.8272,0.426925,8.06581
SIDT1,0.9090090000000001,11.5365,1.07031,5.80579,3.7081800000000005,8.15287,0.557344,1.8574400000000002,8.993319999999999,14.2961,0.512936
SOX10,3.84721,1.4270100000000001,0.8844200000000001,4.77844,0.290165,0.0,0.79293,4.68053,1.82181,0.04504930000000001,0.35642199999999996
SPDEF,0.141878,1.55112,0.061257900000000004,1.30039,0.328509,3.1351400000000003,0.36596300000000004,0.263268,1.17641,9.11262,0.0
SPRR1B,0.09447810000000001,10.5353,0.0,20.3387,0.0,0.0,0.0,0.49459899999999996,0.0,0.06539339999999999,0.0
SPTLC2,28.7351,11.985,10.6137,34.1525,27.6522,25.4481,11.7933,40.6402,38.3509,69.0722,30.6108
SRPX,12.4869,4.18922,11.3068,25.4276,3.32821,2.24238,5.93244,7.81561,18.5705,3.76485,2.00317
TCF7L1,11.751,29.4036,8.466569999999999,17.4147,11.0725,5.53084,14.4279,23.802,22.2101,2.6816,4.14436
TFAP2B,1.18026,0.117817,0.8045359999999999,7.858810000000001,0.0319616,1.15365,4.86966,0.241457,7.76836,28.0595,0.0
THBS4,8.67223,7.5362800000000005,6.2626,10.1741,7.024780000000001,10.1966,13.4366,7.5655399999999995,53.9149,10.1305,2.09436
TNFAIP8,5.97248,13.5491,5.01769,9.37209,23.985,21.7562,6.384580000000001,14.5838,20.3114,23.0422,18.9576
TNFSF10,24.8142,12.4991,4.20929,43.2856,8.09372,21.3015,38.3791,14.1526,23.6433,48.7501,25.2807
TRIM68,7.67148,2.71829,0.21750500000000003,3.7687699999999995,0.829583,2.10719,4.08395,3.7216400000000003,1.04887,7.4270000000000005,3.06815
TSC22D3,7.24202,1.8407099999999998,6.003909999999999,24.8325,8.6376,8.550239999999999,15.0742,12.505999999999998,6.22922,18.1725,10.0686
UBD,0.0,0.0,0.0,0.0,40.1572,79.92,1.8886900000000002,2.27631,1.0295299999999998,0.0,13.958
UGT2B28,0.0,0.0,0.0,0.9344959999999999,0.0,0.0,0.567944,0.21224,0.0,2.89132,0.07032260000000001
XBP1,26.3139,41.883,16.6502,183.032,116.723,187.4,29.0285,33.6367,27.9336,136.75,53.1686
ZCCHC24,0.75321,0.204038,0.0197941,2.31948,0.578819,0.0315651,0.0,0.876461,1.27114,1.17116,0.00902465
