gene_short_name,V515-06187-A1,TNT-218,17-00174-6_S15Aligned_cufflinks,17-00143-5_S2Aligned_cufflinks,TNT-24,TNT-195,17-00100-2_S17Aligned_cufflinks,17-00112-1_S7_cufflinks,TNT-272,TNT-83,TNT-211
PMAIP1,1.6239299999999999,1.89773,4.270630000000001,0.161,2.36075,2.54785,5.2159,0.170902,6.874969999999999,0.719421,0.0
PSMB9,0.0,22.0108,0.0,0.0,49.1147,22.4078,0.0,10.1796,9.40904,21.4879,11.3307
PTGDS,1.49063,3.1605,11.0692,0.64403,2.5061,17.0388,1.79285,0.737796,0.752749,0.75678,13.5679
RARRES3,10.7933,48.2855,17.8571,49.0465,45.1789,39.2069,33.1648,12.5541,20.9999,169.065,15.4604
RTP4,0.772275,4.38933,1.8754099999999998,0.152572,8.94065,2.39704,1.6506900000000002,0.44722,0.749472,5.00847,0.0
S100A1,196.638,2.1712599999999997,33.4893,0.9346110000000001,88.1761,8.99812,9.94192,188.155,6.65775,4.87729,18.989
S100A7,6.579160000000001,6.70688,854.8889999999999,2.94811,4.37861,10.7501,171.572,0.0,239.183,0.174539,19.6219
S100A8,3.4999599999999997,5.3621300000000005,589.559,9.1996,6.0969,16.3063,37.7124,0.0,259.716,1.39343,1.99659
SCRG1,23.221999999999998,2.0477,0.046442000000000004,0.0,8.62836,5.83464,0.020760900000000002,0.7337100000000001,1.5624,0.28728899999999996,6.41476
SEMA3C,89.189,54.7683,30.0744,17.3161,11.163,37.1668,52.284,11.1491,33.857,15.3978,3.79178
SERHL2,5.02658,0.398353,16.4697,16.2918,1.56208,1.57418,1.62858,33.4034,2.1636900000000003,142.226,0.0659862
SFRP1,35.3095,9.11303,6.85617,0.5283640000000001,22.0046,5.8487599999999995,0.9832989999999999,20.9305,6.14424,0.416292,13.1442
SIDT1,0.9090090000000001,10.4605,1.85686,14.89,3.34404,4.88103,2.97838,2.31862,1.06168,16.3553,21.0913
SOX10,3.84721,0.09406239999999999,0.0243124,0.0,3.58091,1.4996399999999999,0.0116108,7.675260000000001,1.368,0.0883835,0.52432
SPDEF,0.141878,0.0,0.604543,15.935,0.433642,1.43333,0.0,3.7099300000000004,0.026523900000000003,11.802,0.6130939999999999
SPRR1B,0.09447810000000001,0.0,267.837,0.0,0.0,0.0,0.0649554,0.0,0.0,0.0,0.0
SPTLC2,28.7351,33.454,60.9163,94.7651,59.4068,44.4492,34.5352,50.6829,34.3879,99.8843,17.2824
SRPX,12.4869,0.6244350000000001,13.6723,0.776788,5.288819999999999,13.5443,2.21329,3.0148200000000003,1.3637,2.11423,13.1963
TCF7L1,11.751,16.0211,3.74559,14.8675,13.9768,6.93266,7.3748,9.5899,36.1423,5.28734,8.44293
TFAP2B,1.18026,0.0511936,11.5213,34.9977,0.23612399999999997,4.9751,1.80719,0.508347,0.162396,91.2466,21.8357
THBS4,8.67223,4.25511,2.5493099999999997,0.592485,4.62645,19.324,3.8008699999999997,1.5826200000000001,5.2676300000000005,8.67857,61.5473
TNFAIP8,5.97248,37.9827,14.5558,7.87435,29.7009,63.4308,11.0254,10.0954,15.1367,26.934,56.6026
TNFSF10,24.8142,30.9646,48.0731,18.7849,125.454,44.5186,45.96,4.87246,22.141,50.7573,42.6141
TRIM68,7.67148,3.6204699999999996,7.050439999999999,6.18412,3.02313,2.8009,5.43264,0.32358400000000004,3.4083900000000003,3.34384,1.46171
TSC22D3,7.24202,13.5572,19.1824,43.2554,28.3699,30.3757,6.84425,9.21764,8.29544,77.8816,4.71404
UBD,0.0,85.5883,0.0,0.0,82.3521,22.4284,0.0,0.0,130.505,1.8077400000000001,6.29265
UGT2B28,0.0,0.0,0.0391407,0.0956985,0.0,0.0,0.0,0.0,0.09635139999999999,0.0177382,0.0
XBP1,26.3139,25.345,57.3706,330.69699999999995,91.0118,124.742,66.946,135.78,51.9931,206.047,36.583
ZCCHC24,0.75321,0.351457,0.433047,0.28010100000000004,1.52345,1.40477,1.10658,0.520299,0.159236,4.52648,0.546381
