gene_short_name,V515-06187-A1,TNT-300,TNT-4,TNT-57,TNT-48,TNT-219,TNT-245,TNT-204,TNT-141,TNT-92,17-00099-0_S15_cufflinks
IL33,0.8833290000000001,0.46980500000000003,5.825130000000001,0.692623,12.198,5.45782,7.17298,2.37094,2.97647,3.0914,2.63393
INPP4B,37.1722,13.55,26.069000000000003,6.03674,32.1903,47.1711,50.3025,15.7299,49.4555,22.7429,10.0338
ITM2A,5.13433,11.405999999999999,15.3956,23.561,45.5061,46.4792,16.9192,35.1851,0.0,23.8877,12.7708
JAM2,11.2143,1.8518599999999998,17.8065,6.3534,26.8603,6.03214,7.403580000000001,6.6045300000000005,2.19326,7.05302,2.30041
KCNK5,7.320460000000001,0.741297,0.166799,1.77673,1.00709,0.0989018,0.478414,0.248838,0.0817072,0.133175,0.46282
KIAA1324,6.46799,3.78249,15.1323,2.57743,48.1605,81.4101,11.1041,35.5909,24.0352,6.342630000000001,3.25853
KMO,1.44589,2.60659,7.90998,1.47099,2.0465299999999997,4.78878,14.3286,17.6331,13.9778,2.7613,15.1432
KRT14,118.37100000000001,1.1598,3.8259,1136.84,50.2108,0.12215999999999999,3.2952199999999996,4.93714,19.0054,15.2829,11.9138
KRT16,91.0343,18.1238,9.11002,139.312,9.22974,2.40834,72.4084,0.516638,0.0,74.7677,114.52
KRT17,105.34700000000001,14.628,15.2766,701.9860000000001,55.6381,0.0,50.6806,5.96539,3.52294,130.131,198.33
KRT6A,54.2242,56.762,43.7876,57.0774,28.3598,0.0207626,501.908,0.693673,20.8774,2.8535,94.1318
KRT6B,86.6584,75.3859,10.2424,140.572,17.7626,0.742875,57.1734,2.06779,0.022899700000000002,9.26859,156.107
KYNU,14.7879,25.2282,69.6869,10.002,2.85669,8.8547,51.3641,36.3404,11.4561,12.4711,8.68389
LBP,0.573258,12.2516,183.90200000000002,0.338633,0.0904382,0.0,3.3036300000000005,9.97681,0.40336900000000003,0.143624,1.6406
LHFP,2.0952,0.553075,2.3965,1.29417,2.6772,1.4099899999999999,0.786022,0.393498,0.261223,0.553532,1.3793
MFAP4,1.60954,0.09322489999999999,20.6016,5.1227599999999995,21.5243,8.48944,3.01022,1.26006,16.8245,4.86294,4.0017
MIA,21.0747,0.23780500000000002,0.0,0.850025,7.72348,1.0778299999999998,2.5009900000000003,0.902935,0.0,21.7525,0.289898
MID1,36.2366,20.0863,24.7647,33.3046,29.1145,3.8664400000000003,53.1071,7.777710000000001,5.32941,22.1864,4.405469999999999
MYBL1,4.603619999999999,8.29579,3.4451699999999996,10.4917,11.4978,9.22631,24.6381,5.3623,1.07033,59.4487,11.605
NEK2,17.1321,38.2809,3.7872,35.0042,4.81712,6.11541,10.7359,3.68013,12.3271,6.27886,26.0897
NTN3,0.023557599999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042039599999999996
OGN,1.27872,9.317730000000001,82.4171,16.0085,106.76799999999999,9.62504,23.8909,18.2162,26.7541,38.5116,0.687581
PI3,0.0,0.0,2.09959,0.744111,0.0,0.0,9.06803,0.0,0.0,4.07739,9.48978
PLEKHB1,14.583,1.02945,0.0,5.52137,1.01819,0.163102,0.1661,0.0,0.0,1.19539,1.5546
PMAIP1,1.6239299999999999,3.43615,0.09488339999999999,3.21203,1.4620799999999998,5.16143,1.51889,5.34089,13.7808,0.914623,2.37763
PSMB9,0.0,13.1326,6.91171,3.9861800000000005,6.53207,11.1204,13.948,13.0232,4.59655,15.3154,0.0
PTGDS,1.49063,0.60036,2.49494,0.8711840000000001,7.0991800000000005,11.7022,5.40318,5.47321,0.0,1.74508,9.95073
RARRES3,10.7933,45.0648,36.1807,4.60827,3.7106,45.042,20.4484,41.4027,51.7933,21.3796,10.4301
RTP4,0.772275,16.0639,0.0,3.89184,0.348383,2.86061,2.42213,2.81104,1.1391799999999999,3.1673,0.575191
S100A1,196.638,18.1472,0.0,39.311,6.33437,0.760753,0.429034,0.0,0.0,8.06103,0.167765
S100A7,6.579160000000001,6.39159,138.622,1.0745200000000001,5.704359999999999,0.0,10.0773,3.4990099999999997,19.2989,9.78629,159.537
S100A8,3.4999599999999997,12.3968,105.69200000000001,0.912848,2.22548,1.15485,23.884,8.7204,3.4862,17.065,102.79299999999999
SCRG1,23.221999999999998,0.527354,0.917041,51.566,8.00871,0.253287,3.6547,0.700362,0.0,0.673348,0.180404
SEMA3C,89.189,6.19792,122.228,14.4221,60.8777,41.6009,53.3267,55.0883,156.839,67.1468,15.1164
SERHL2,5.02658,2.8854900000000003,96.2706,2.41741,0.107499,2.98422,6.5431,56.482,3.32934,1.4759200000000001,11.3393
SFRP1,35.3095,7.01728,2.25192,41.9017,16.8272,0.601146,0.0,1.9391599999999998,1.24034,20.5385,0.25972399999999995
SIDT1,0.9090090000000001,4.66646,13.2347,1.0019,8.993319999999999,15.2371,15.6307,17.7867,72.2701,3.7080900000000003,14.5501
SOX10,3.84721,1.22571,0.0,4.406619999999999,1.82181,0.0738485,0.0,0.0,2.96958,0.205921,0.0
SPDEF,0.141878,0.378686,3.17591,0.026727499999999998,1.17641,4.07118,0.0,5.67909,1.04922,0.113258,0.731248
SPRR1B,0.09447810000000001,0.0,0.0,0.42824700000000004,0.0,0.0,0.0,1.1117299999999999,0.0,0.0,6.107130000000001
SPTLC2,28.7351,104.515,29.6352,51.2638,38.3509,44.4583,36.6645,38.3141,39.1107,34.9804,46.0317
SRPX,12.4869,1.1670399999999999,6.64019,7.25335,18.5705,3.4648,0.502636,1.8813099999999998,2.33744,6.28365,0.586912
TCF7L1,11.751,16.0625,7.7230300000000005,51.5262,22.2101,2.14677,4.091080000000001,2.498,5.11118,11.4878,6.95985
TFAP2B,1.18026,0.0,7.528460000000001,0.631304,7.76836,0.0,0.586359,27.5623,5.01163,1.46155,1.62638
THBS4,8.67223,0.41319300000000003,4.58691,6.38016,53.9149,105.4,1.9508900000000002,52.0386,63.14,20.4333,3.0411799999999998
TNFAIP8,5.97248,18.8236,26.519000000000002,12.7164,20.3114,43.0629,68.8324,55.4688,12.9335,27.0821,33.5137
TNFSF10,24.8142,48.8902,23.4715,14.0494,23.6433,17.9517,44.0606,27.04,72.8703,52.0291,12.9194
TRIM68,7.67148,1.68145,0.779116,3.50355,1.04887,1.9172099999999999,1.58243,2.84899,0.048427,2.9636,2.67702
TSC22D3,7.24202,12.245,19.5717,9.533710000000001,6.22922,28.1163,13.0707,16.317999999999998,3.74531,13.8093,26.8364
UBD,0.0,12.4107,6.7378,1.25475,1.0295299999999998,7.89514,35.3229,35.4542,3.378,81.9667,14.5019
UGT2B28,0.0,0.08589010000000001,70.8305,0.803126,0.0,0.0,0.617993,0.49240600000000007,0.0,0.0313859,0.0
XBP1,26.3139,57.6415,57.555,62.5597,27.9336,235.39,112.54299999999999,341.116,222.104,44.0054,79.0623
ZCCHC24,0.75321,0.0,1.65927,0.80106,1.27114,2.29724,0.0,1.14291,0.0,0.674429,0.100439
