gene_short_name,V515-06187-A1,TNT-14,TNT-274,TNT-281,TNT-27,TNT-166,TNT-18,TNT-1,17-00097-1_S9_cufflinks,TNT-83,TNT-152
KYNU,14.7879,2.87511,0.778669,2.55798,7.00892,3.64302,6.18662,371.408,5.392,11.6398,107.061
LBP,0.573258,9.36242,0.0905424,0.29639099999999996,0.26569899999999996,0.718695,4.28908,0.31748899999999997,0.652367,3.66205,44.4286
LHFP,2.0952,0.44400600000000007,0.0521159,0.0228533,0.460742,3.7082599999999997,0.921726,0.81526,0.932149,2.28782,10.9071
MFAP4,1.60954,0.611251,0.786759,0.11254700000000001,1.2202600000000001,7.150110000000001,1.8374,0.5645439999999999,0.288673,3.2746299999999997,15.2427
MIA,21.0747,13.5693,34.0697,10.8148,8.049660000000001,53.5438,14.3171,0.406346,0.845535,0.59864,0.0
MID1,36.2366,27.3804,2.04568,14.8445,25.3831,39.7655,8.872539999999999,34.466,13.0013,14.9831,19.3272
MYBL1,4.603619999999999,161.042,3.60008,4.13731,40.9555,21.8306,13.5046,1.11174,88.7484,13.5443,2.0165
NEK2,17.1321,22.8411,63.7908,30.6035,16.6529,6.9051,7.857410000000001,8.00005,23.2843,10.8591,2.07293
NTN3,0.023557599999999998,0.184201,0.0,0.0,0.0,0.0,0.0,0.0,0.175515,0.0,0.0
OGN,1.27872,6.075080000000001,18.3085,36.5507,15.0067,8.7343,42.3317,3.9428199999999998,0.632217,8.2237,23.045
PI3,0.0,0.327406,0.0,15.133,0.0,1.22656,0.105544,1.17309,2.08188,0.271929,0.0
PLEKHB1,14.583,5.895,1.83653,0.380533,2.16863,3.8521099999999997,3.08625,1.82197,0.949499,0.557688,0.0
PMAIP1,1.6239299999999999,3.0045,0.67479,10.6012,0.0,0.803867,2.0914,1.5458100000000001,2.63308,0.719421,0.0
PSMB9,0.0,20.2724,14.263,40.9199,2.14005,12.0206,12.9038,51.6017,0.0,21.4879,13.2313
PTGDS,1.49063,2.6254,1.1581700000000001,1.7738599999999998,0.39512800000000003,1.78555,1.8083599999999997,0.0,0.5857060000000001,0.75678,4.11461
RARRES3,10.7933,10.9955,23.9283,40.4701,11.9753,9.4068,22.4368,214.764,7.35418,169.065,83.1112
RTP4,0.772275,9.087810000000001,6.0925,4.15161,3.24436,1.5382799999999999,0.788525,1.68055,0.724984,5.00847,0.0
S100A1,196.638,69.4896,1.48327,0.109232,8.617180000000001,35.0289,2.43927,0.0,5.58359,4.87729,0.0
S100A7,6.579160000000001,2.50007,0.0,58.7633,5.42274,1.92766,0.0,1.695,0.5287649999999999,0.174539,6.7927800000000005
S100A8,3.4999599999999997,8.07722,1.33806,14.3193,2.32023,0.512749,2.46168,6.869330000000001,3.62696,1.39343,29.2772
SCRG1,23.221999999999998,4.0537,2.34735,0.372302,26.373,8.70316,3.5533,1.2327299999999999,0.143501,0.28728899999999996,6.28695
SEMA3C,89.189,7.385160000000001,5.41211,32.1716,8.38648,16.292,31.6493,26.6623,46.9475,15.3978,68.4341
SERHL2,5.02658,11.0643,0.250193,0.112596,15.212,1.3535,0.0,0.603352,9.03314,142.226,270.47900000000004
SFRP1,35.3095,12.4205,9.59906,4.82991,33.8663,95.0425,3.7535,0.445617,31.8986,0.416292,8.47137
SIDT1,0.9090090000000001,4.10468,5.93605,5.19909,0.9532959999999999,4.05504,4.20869,14.2356,1.4220700000000002,16.3553,30.1822
SOX10,3.84721,3.3060300000000002,2.3584099999999997,0.0,0.9355959999999999,4.6980699999999995,0.339244,0.28333800000000003,0.0,0.0883835,0.0
SPDEF,0.141878,1.77865,1.3269600000000001,0.0,0.41343100000000005,1.8141900000000002,0.0,10.6382,0.7834220000000001,11.802,4.88874
SPRR1B,0.09447810000000001,0.0,0.0,0.0904638,0.0,0.0,0.19237200000000002,5.8520199999999996,0.0,0.0,0.0
SPTLC2,28.7351,50.5338,28.8158,43.3611,54.4677,44.4199,16.2373,32.4383,44.3926,99.8843,82.23200000000001
SRPX,12.4869,1.23219,3.21448,0.0,2.94887,6.65442,2.9196299999999997,3.72821,5.55629,2.11423,7.045730000000001
TCF7L1,11.751,51.7263,5.90954,4.3718699999999995,4.68032,16.6514,13.6733,2.02222,21.8613,5.28734,3.5148800000000002
TFAP2B,1.18026,2.5493799999999998,6.5627,0.00802045,0.171971,0.0,0.026442700000000003,0.0,0.418495,91.2466,41.8386
THBS4,8.67223,0.667736,1.26906,2.93782,4.17952,39.9089,24.2912,0.7613449999999999,1.0911799999999998,8.67857,80.985
TNFAIP8,5.97248,12.4301,21.9263,22.9848,3.46861,9.97907,30.5044,12.597999999999999,9.78406,26.934,33.7402
TNFSF10,24.8142,14.402000000000001,43.8558,43.6615,9.22564,30.8127,65.3121,34.7003,6.811710000000001,50.7573,54.9682
TRIM68,7.67148,4.73203,0.9380930000000001,13.5519,5.14035,3.2868,3.00034,6.65522,0.781292,3.34384,10.6999
TSC22D3,7.24202,3.04296,2.93125,6.87321,2.81851,13.0726,3.9134800000000003,19.0169,8.16817,77.8816,85.87700000000001
UBD,0.0,6.246659999999999,0.0,137.485,8.23e-15,3.849999999999998e-284,30.6124,28.7398,0.0,1.8077400000000001,4.33349
UGT2B28,0.0,0.0,1.94622,5.3234,0.0,0.042962900000000005,3.1528400000000003,0.0,0.573986,0.0177382,60.8148
XBP1,26.3139,60.9409,67.6655,35.2366,17.6839,31.0008,30.2895,50.1395,43.428000000000004,206.047,158.579
ZCCHC24,0.75321,0.18821300000000002,0.0424641,0.0,0.0,1.46109,0.12075899999999999,0.502634,0.9831700000000001,4.52648,4.1567099999999995
