gene_short_name,V515-06187-A1,TNT-192,TNT-214,TNT-67,17-00113-4_S11_cufflinks,TNT-158,TNT-269,TNT-240,TNT-53,TNT-267,TNT-71
IL23A,0.049007300000000004,0.0,0.0,0.110175,0.619544,0.0,0.0,0.0,0.253118,0.0,0.520363
IL33,0.8833290000000001,13.1507,2.23115,13.0023,2.7284900000000003,2.00852,1.73481,0.268377,0.556894,0.0,3.52311
INPP4B,37.1722,27.5809,11.1627,53.3911,8.61467,19.4816,9.697569999999999,8.53091,7.195010000000001,16.9244,8.29696
ITM2A,5.13433,22.2147,11.7579,35.0003,6.46899,7.52579,9.52181,0.10563199999999999,12.1728,13.6795,17.6113
JAM2,11.2143,26.995,3.4278,22.9359,6.6517100000000005,5.915369999999999,9.30236,0.0881896,4.91331,11.8907,6.04114
KCNK5,7.320460000000001,0.0,0.29323499999999997,0.48194899999999996,0.70677,1.91029,0.729846,0.10784200000000001,0.602485,0.587326,0.887702
KIAA1324,6.46799,53.7366,49.3905,77.9209,10.0233,3.68074,15.4293,10.908,10.5274,7.65217,5.69649
KMO,1.44589,12.6476,7.213260000000001,40.0984,13.7969,4.77716,4.17707,2.61844,14.9961,13.9442,7.643680000000001
KRT14,118.37100000000001,19.1258,2.48054,9.53856,161.559,36.2754,280.186,0.409527,0.707408,0.6284689999999999,6.66913
KRT16,91.0343,1.12426,33.9761,3.93344,25.2559,7.42116,65.8219,0.552605,18.87,0.706737,17.0193
KRT17,105.34700000000001,17.1917,15.0611,17.9637,332.38800000000003,136.091,423.059,2.04527,16.6569,25.916999999999998,51.9748
KRT6A,54.2242,34.9008,16.797,12.1585,16.0704,12.5419,191.293,1.48816,17.2934,2.14332,27.6608
KRT6B,86.6584,3.91155,12.4539,10.6312,38.2187,5.4740400000000005,93.8724,1.1865700000000001,35.8075,1.70068,9.681510000000001
KYNU,14.7879,80.8272,13.6376,42.0408,23.7754,4.4076900000000006,13.5045,25.463,16.0255,144.863,87.4812
LBP,0.573258,93.4457,0.0,109.041,0.52182,0.0,0.9664790000000001,0.0,2.55733,0.0,0.103459
LHFP,2.0952,2.074,0.275027,2.90409,0.965126,1.16419,0.730913,0.0,0.0936955,0.00944402,0.813163
MFAP4,1.60954,3.8254900000000003,1.3753799999999998,40.0267,8.52027,0.0,0.951592,0.0449818,1.21515,0.0,5.00249
MIA,21.0747,0.0,0.0,0.31262199999999996,5.36339,4.20826,5.15897,0.0,8.06811,0.0,14.7819
MID1,36.2366,8.78539,32.5246,19.5429,19.5958,24.2952,20.813000000000002,0.157822,10.9874,1.0105,11.2812
MYBL1,4.603619999999999,12.0674,25.1219,3.11246,34.5411,82.296,21.5336,74.0125,145.50799999999998,6.360469999999999,191.485
