gene_short_name,V515-06187-A1,TNT-54,TNT-158,17-00174-6_S15Aligned_cufflinks,TNT-217,17-00163-6_S7Aligned_cufflinks,TNT-310,TNT-328,TNT-56,TNT-240,TNT-318
PTGDS,1.49063,13.7563,0.41365100000000005,11.0692,30.906,1.03946,0.832665,2.12735,3.40536,0.945333,0.44939399999999996
RARRES3,10.7933,34.8722,12.6827,17.8571,14.4303,2.74916,19.9078,2.52434,35.2318,0.6503479999999999,33.635
RTP4,0.772275,0.464337,1.4921200000000001,1.8754099999999998,9.09239,2.11816,5.4329,0.0,0.165472,1.98636,8.07012
S100A1,196.638,3.7649800000000004,24.8818,33.4893,1.4650299999999998,210.674,1.8748,17.5934,0.0,4.30047,45.1651
S100A7,6.579160000000001,0.0,0.0,854.8889999999999,0.0,4.38432,493.525,0.0,11.3459,0.0,1.41924
S100A8,3.4999599999999997,0.8787149999999999,0.47805200000000003,589.559,1.84107,24.6743,160.404,3.32571,30.4107,9.6087,2.3352
SCRG1,23.221999999999998,1.55734,10.0471,0.046442000000000004,0.0,55.2941,0.0,40.7982,0.0,0.2811,2.32151
SEMA3C,89.189,21.6573,60.6751,30.0744,0.384932,13.6893,20.3951,9.95055,104.979,0.5151819999999999,33.6265
SERHL2,5.02658,1.8330400000000002,0.80852,16.4697,6.733789999999999,2.30145,2.09642,0.6588109999999999,12.1442,0.0,1.62353
SFRP1,35.3095,14.4536,22.7723,6.85617,3.47615,1.5730600000000001,1.07838,24.6403,4.7891900000000005,4.988169999999999,62.9304
SIDT1,0.9090090000000001,21.7554,0.340445,1.85686,41.6228,0.5139630000000001,3.3972300000000004,1.07031,24.3258,2.4719,6.2171400000000006
SOX10,3.84721,1.61582,3.99361,0.0243124,0.696051,0.0,0.328327,0.8844200000000001,0.0,0.229275,2.23541
SPDEF,0.141878,0.788334,0.803342,0.604543,0.452909,0.223563,0.0370245,0.061257900000000004,1.59912,0.0,0.0
SPRR1B,0.09447810000000001,0.0,12.3582,267.837,0.0,0.308586,0.118248,0.0,0.0,0.0,0.0
SPTLC2,28.7351,78.933,48.0065,60.9163,37.9831,32.8332,30.5086,10.6137,52.2154,15.8622,41.8028
SRPX,12.4869,12.1905,3.1099900000000003,13.6723,3.18607,1.92123,3.37921,11.3068,5.61139,0.236994,4.89765
TCF7L1,11.751,5.8485,23.0176,3.74559,4.03289,26.805,5.79892,8.466569999999999,5.5587599999999995,33.1589,28.1337
TFAP2B,1.18026,13.5869,0.6508619999999999,11.5213,0.0,0.956076,0.42090500000000003,0.8045359999999999,34.3267,0.0,0.236125
THBS4,8.67223,94.12100000000001,4.14394,2.5493099999999997,8.61506,1.21156,3.69999,6.2626,23.8532,0.373618,6.8529
TNFAIP8,5.97248,40.9456,20.5731,14.5558,114.787,8.02079,21.7827,5.01769,38.1764,15.1801,23.671
TNFSF10,24.8142,35.323,8.43641,48.0731,38.1127,3.33955,30.3236,4.20929,102.78,34.5012,15.4007
TRIM68,7.67148,1.61214,3.30925,7.050439999999999,2.09101,0.8307700000000001,3.6598900000000003,0.21750500000000003,0.825205,0.0,2.08187
TSC22D3,7.24202,38.0792,1.1964700000000001,19.1824,49.9032,18.3645,11.0228,6.003909999999999,28.3239,0.0,10.0065
UBD,0.0,33.4749,3.13763,0.0,47.6368,0.0,94.0798,0.0,13.7983,29.6678,50.1398
UGT2B28,0.0,0.0,1.31145,0.0391407,0.0,0.0,0.318409,0.0,4.225169999999999,0.018775299999999998,0.040862699999999995
XBP1,26.3139,99.5383,31.5778,57.3706,35.8761,39.7686,28.2853,16.6502,65.331,89.0039,29.8963
ZCCHC24,0.75321,0.589845,0.0,0.433047,1.33689,0.257006,0.14841,0.0197941,0.152013,0.0,0.360548
