gene_short_name,V515-06187-A1,TNT-275,TNT-76,TNT-3,TNT-289,TNT-81,TNT-58,17-00270-5_S14Aligned_cufflinks,17-00258-5_S5Aligned_cufflinks,TNT-133,TNT-41
KRT6B,86.6584,32.3569,530.7869999999999,0.160932,4.00999,5.002669999999999,73.8423,0.778724,53.5423,0.0,98.6809
KYNU,14.7879,25.2469,9.09878,17.6823,2.97186,5.33408,9.771410000000001,173.37,9.58681,6.90752,5.3043
LBP,0.573258,0.923182,0.510202,0.410553,1.0561200000000002,0.150571,0.0,45.7908,0.358738,0.0,1.2441
LHFP,2.0952,0.457348,1.54434,1.13794,0.903817,0.672579,0.0553289,1.6577,2.79094,1.2399200000000001,1.33469
MFAP4,1.60954,1.06111,2.12753,2.50834,2.56142,1.4602,0.0,3.46351,10.5279,20.6094,6.62759
MIA,21.0747,1.96921,6.86349,0.376771,27.1029,0.780207,8.05077,0.9026719999999999,14.3733,0.0,43.488
MID1,36.2366,33.4136,43.0015,57.9088,51.5347,14.4472,23.0528,8.682839999999999,12.8176,23.5989,22.2624
MYBL1,4.603619999999999,27.5883,16.8039,10.228,20.0227,99.5216,23.7178,2.82383,40.251999999999995,3.46601,19.1092
NEK2,17.1321,35.4596,29.3384,11.9278,22.2645,58.8953,101.637,4.76394,14.2971,10.8658,16.5811
NTN3,0.023557599999999998,0.0,0.0,0.0,0.0385849,0.0,0.0,0.0590009,0.029489799999999997,0.0,0.098189
OGN,1.27872,16.5318,11.7997,42.6224,137.401,6.716810000000001,15.4139,4.2767599999999995,4.57913,87.2186,17.5867
PI3,0.0,32.9457,74.0994,0.0,0.655293,0.210946,1.67842,0.256457,0.0,0.0,0.405905
PLEKHB1,14.583,1.08019,3.5639,0.0,0.181805,1.09671,3.9863699999999995,0.641142,13.993,0.0,3.4508900000000002
PMAIP1,1.6239299999999999,18.0211,0.9790120000000001,2.36542,6.14423,4.08651,0.0,1.25437,2.15123,0.0,3.41365
PSMB9,0.0,8.420060000000001,14.6465,8.96825,15.8159,20.2986,1.84833,0.0,0.0,8.88371,19.2126
PTGDS,1.49063,0.9673149999999999,1.42082,3.9356,1.28009,3.21588,0.0,5.13184,7.08018,2.50168,1.31059
RARRES3,10.7933,17.9254,13.0092,0.382705,14.9686,17.2398,0.0,44.979,23.5313,1.1592799999999999,9.089089999999999
RTP4,0.772275,1.2294100000000001,1.6689,1.10019,4.98935,4.62512,0.0,0.695095,3.0802400000000003,0.8344229999999999,6.97178
S100A1,196.638,1.16736,2.02478,1.16293,17.868,7.54413,5.7632699999999994,0.862762,179.938,2.52791,15.2162
S100A7,6.579160000000001,90.0918,1.7490299999999999,0.0,0.47535600000000006,2.0460599999999998,5.43066,27.158,0.36102399999999996,0.0,0.0
S100A8,3.4999599999999997,122.693,8.5793,0.998749,2.62304,3.0133799999999997,0.0,34.8612,2.18289,0.0,2.234
SCRG1,23.221999999999998,5.177980000000001,0.15075,0.417468,4.28357,48.1519,6.731510000000001,0.0,5.63925,0.08771330000000001,5.2875
SEMA3C,89.189,17.9353,31.7132,11.8076,22.1075,6.0655,5.29232,57.9119,11.4289,120.15799999999999,23.3876
SERHL2,5.02658,0.578943,2.36334,3.5335699999999997,5.33505,2.5315,0.873811,544.137,14.0748,15.5356,3.43356
SFRP1,35.3095,3.5965800000000003,10.8045,0.159813,29.3637,12.993,1.5655,0.39879000000000003,20.2949,8.57477,38.3568
SIDT1,0.9090090000000001,1.18936,2.9025,0.0,0.705832,4.2779300000000005,0.0,15.0462,6.00681,19.9844,1.50153
SOX10,3.84721,0.0,4.684069999999999,0.0,1.40946,3.87501,3.6267099999999997,0.075293,10.7546,0.0,1.1078299999999999
SPDEF,0.141878,0.0,0.0,0.0,0.139067,0.0297448,0.0,7.91627,0.68243,3.02298,0.0
SPRR1B,0.09447810000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPTLC2,28.7351,34.6502,40.9352,34.0779,40.9009,32.8837,4.23276,85.9094,36.547,69.4324,40.6695
SRPX,12.4869,3.03912,8.16291,5.38411,14.1535,2.22247,0.102861,4.128819999999999,3.4638,4.51251,9.47686
TCF7L1,11.751,10.4131,26.0239,3.12443,13.4957,9.41361,22.6994,1.68946,9.43708,1.12875,44.3834
TFAP2B,1.18026,0.6146199999999999,0.0480311,0.0,0.445715,0.25997,2.55401,18.7696,0.438146,19.6431,0.41227600000000003
THBS4,8.67223,14.4432,26.1723,0.079968,25.1457,1.31731,1.68743,25.4608,5.44268,129.305,16.1641
TNFAIP8,5.97248,33.8904,13.5345,20.1621,15.142000000000001,19.5884,8.26238,23.6526,14.6041,6.36265,13.7256
TNFSF10,24.8142,12.908,11.8922,5.4336400000000005,14.0271,29.7736,9.4525,29.2146,16.7985,49.6478,115.984
TRIM68,7.67148,0.257472,1.4648700000000001,2.86079,7.17307,0.859196,0.251423,12.3542,3.2025099999999997,5.30821,4.9053
TSC22D3,7.24202,22.2448,27.685,3.62291,22.6667,13.9806,0.0487917,18.2165,11.6497,33.7243,15.5388
UBD,0.0,14.192,15.4731,1.89398,0.301306,51.0129,0.0,0.0,0.0,3.4039699999999997,9.98192
UGT2B28,0.0,0.261173,0.0,0.0416066,1.26947,0.0,0.0,1018.86,0.0,0.0,0.0847062
XBP1,26.3139,54.7944,64.7398,43.9749,37.5827,57.2937,29.2347,143.30200000000002,61.1886,168.671,23.1296
ZCCHC24,0.75321,0.0777878,1.41876,1.21215,1.77067,0.298537,0.00572394,1.29529,1.27759,3.33165,0.70298
