gene_short_name,V515-06187-A1,TNT-30,TNT-76,TNT-202,TNT-73,TNT-26,17-00118-2_S5Aligned_cufflinks,TNT-234,TNT-54,TNT-100,17-00125-8_S13Aligned_cufflinks
SPDEF,0.141878,0.263268,0.0,0.0501171,0.0,0.592224,1.19861,0.0,0.788334,0.40413899999999997,3.7916800000000004
SPRR1B,0.09447810000000001,0.49459899999999996,0.0,0.731959,0.0,0.0,0.0,0.523364,0.0,0.0,0.0
SPTLC2,28.7351,40.6402,40.9352,23.592,13.6311,38.188,10.1009,49.8823,78.933,47.0239,31.9106
SRPX,12.4869,7.81561,8.16291,2.13951,1.04663,10.7936,7.353160000000001,3.09636,12.1905,3.69887,11.315999999999999
TCF7L1,11.751,23.802,26.0239,12.4548,28.8742,4.2474099999999995,15.4859,29.2323,5.8485,12.9741,17.9877
TFAP2B,1.18026,0.241457,0.0480311,0.043904900000000004,0.89359,0.5612689999999999,10.5496,0.651673,13.5869,0.287497,3.9222699999999997
THBS4,8.67223,7.5655399999999995,26.1723,9.82113,4.65828,10.4444,0.844511,5.82503,94.12100000000001,8.393239999999999,17.7867
TNFAIP8,5.97248,14.5838,13.5345,11.4387,17.1811,5.72812,12.507,48.2796,40.9456,48.5812,11.2917
TNFSF10,24.8142,14.1526,11.8922,53.0847,172.615,11.9174,13.4055,21.3954,35.323,108.079,18.0064
TRIM68,7.67148,3.7216400000000003,1.4648700000000001,2.2568799999999998,1.0162200000000001,2.6518200000000003,0.51408,5.37981,1.61214,0.272175,18.792
TSC22D3,7.24202,12.505999999999998,27.685,5.32342,8.0713,11.3808,41.9399,16.2892,38.0792,10.1657,28.8027
UBD,0.0,2.27631,15.4731,19.2552,73.4598,1.8393,0.0,21.5359,33.4749,41.9058,0.0
UGT2B28,0.0,0.21224,0.0,0.0,0.0132192,0.0,0.0,0.0461205,0.0,0.0,0.39282100000000003
XBP1,26.3139,33.6367,64.7398,36.7108,62.3238,30.2075,82.6609,60.5242,99.5383,163.35,63.70399999999999
ZCCHC24,0.75321,0.876461,1.41876,0.0990294,0.534347,1.37962,1.23345,1.3421,0.589845,0.65349,5.1231800000000005
