gene_short_name,V515-06187-A1,TNT-325,TNT-218,17-00174-6_S15Aligned_cufflinks,17-00159-1_S1Aligned_cufflinks,17-00097-1_S9_cufflinks,TNT-18,17-00143-5_S2Aligned_cufflinks,17-00157-0_S11Aligned_cufflinks,TNT-133,TNT-328
SIDT1,0.9090090000000001,43.0664,10.4605,1.85686,3.4989800000000004,1.4220700000000002,4.20869,14.89,1.31951,19.9844,1.07031
SOX10,3.84721,0.0,0.09406239999999999,0.0243124,6.330019999999999,0.0,0.339244,0.0,6.6931199999999995,0.0,0.8844200000000001
SPDEF,0.141878,0.9830120000000001,0.0,0.604543,0.23276,0.7834220000000001,0.0,15.935,0.09151419999999999,3.02298,0.061257900000000004
SPRR1B,0.09447810000000001,0.512416,0.0,267.837,2.6653700000000002,0.0,0.19237200000000002,0.0,0.35722600000000004,0.0,0.0
SPTLC2,28.7351,8.20777,33.454,60.9163,39.8789,44.3926,16.2373,94.7651,40.6082,69.4324,10.6137
SRPX,12.4869,0.476734,0.6244350000000001,13.6723,1.9009200000000002,5.55629,2.9196299999999997,0.776788,11.5373,4.51251,11.3068
TCF7L1,11.751,5.27969,16.0211,3.74559,7.081860000000001,21.8613,13.6733,14.8675,9.27533,1.12875,8.466569999999999
TFAP2B,1.18026,1.15901,0.0511936,11.5213,0.0,0.418495,0.026442700000000003,34.9977,0.435733,19.6431,0.8045359999999999
THBS4,8.67223,2.09302,4.25511,2.5493099999999997,1.5831600000000001,1.0911799999999998,24.2912,0.592485,12.4065,129.305,6.2626
TNFAIP8,5.97248,45.8522,37.9827,14.5558,14.9388,9.78406,30.5044,7.87435,8.940669999999999,6.36265,5.01769
TNFSF10,24.8142,57.3512,30.9646,48.0731,22.6113,6.811710000000001,65.3121,18.7849,11.2988,49.6478,4.20929
TRIM68,7.67148,0.415434,3.6204699999999996,7.050439999999999,2.6750599999999998,0.781292,3.00034,6.18412,3.88962,5.30821,0.21750500000000003
TSC22D3,7.24202,8.925939999999999,13.5572,19.1824,6.06061,8.16817,3.9134800000000003,43.2554,47.9913,33.7243,6.003909999999999
UBD,0.0,74.485,85.5883,0.0,0.0,0.0,30.6124,0.0,0.0,3.4039699999999997,0.0
UGT2B28,0.0,0.0,0.0,0.0391407,0.0552717,0.573986,3.1528400000000003,0.0956985,0.0,0.0,0.0
XBP1,26.3139,38.2012,25.345,57.3706,111.005,43.428000000000004,30.2895,330.69699999999995,32.6882,168.671,16.6502
ZCCHC24,0.75321,0.0,0.351457,0.433047,0.399621,0.9831700000000001,0.12075899999999999,0.28010100000000004,1.4920799999999999,3.33165,0.0197941
