gene_short_name,V515-06187-A1,TNT-275,TNT-62,TNT-41,TNT-293,17-00101-5_S19Aligned_cufflinks,TNT-14,TNT-2,TNT-111,TNT-311,TNT-289
MID1,36.2366,33.4136,39.6211,22.2624,21.0676,21.615,27.3804,14.940999999999999,15.5697,20.1731,51.5347
MYBL1,4.603619999999999,27.5883,33.6012,19.1092,23.7944,13.8818,161.042,4.27869,3.49325,35.6761,20.0227
NEK2,17.1321,35.4596,25.2029,16.5811,25.7407,19.2704,22.8411,7.57769,4.20757,26.2121,22.2645
NTN3,0.023557599999999998,0.0,0.0,0.098189,0.0,0.0595422,0.184201,0.0,0.0,0.0,0.0385849
OGN,1.27872,16.5318,9.35918,17.5867,19.9502,15.2553,6.075080000000001,6.09545,13.2351,19.2765,137.401
PI3,0.0,32.9457,0.8526950000000001,0.405905,0.630875,46.1418,0.327406,0.0,0.0,0.104431,0.655293
PLEKHB1,14.583,1.08019,2.45002,3.4508900000000002,0.13943,0.0651375,5.895,1.03345,0.639033,0.0,0.181805
PMAIP1,1.6239299999999999,18.0211,4.94654,3.41365,0.839744,10.0438,3.0045,0.335407,0.33408899999999997,4.56386,6.14423
PSMB9,0.0,8.420060000000001,15.7677,19.2126,8.91372,0.0,20.2724,30.6622,4.54106,4.98019,15.8159
PTGDS,1.49063,0.9673149999999999,0.579019,1.31059,0.31455900000000003,1.18425,2.6254,33.7755,0.542022,0.644267,1.28009
RARRES3,10.7933,17.9254,17.812,9.089089999999999,43.7136,2.42794,10.9955,58.6398,30.5666,11.1266,14.9686
RTP4,0.772275,1.2294100000000001,3.40133,6.97178,2.4733,0.17491800000000002,9.087810000000001,2.85869,0.783504,1.10953,4.98935
S100A1,196.638,1.16736,20.1712,15.2162,0.361616,20.9965,69.4896,0.0,0.248466,2.51417,17.868
S100A7,6.579160000000001,90.0918,0.45343500000000003,0.0,6.687069999999999,271.001,2.50007,0.0,1.10461,305.178,0.47535600000000006
S100A8,3.4999599999999997,122.693,0.860568,2.234,2.92903,100.677,8.07722,8.04674,5.80152,25.4144,2.62304
SCRG1,23.221999999999998,5.177980000000001,15.5805,5.2875,1.0085,0.0193065,4.0537,1.34104,1.19671,2.59455,4.28357
SEMA3C,89.189,17.9353,18.5492,23.3876,25.0484,73.134,7.385160000000001,20.5534,36.4009,13.1071,22.1075
SERHL2,5.02658,0.578943,0.8482200000000001,3.43356,71.7846,2.86803,11.0643,0.26018800000000003,546.021,2.84307,5.33505
SFRP1,35.3095,3.5965800000000003,50.8834,38.3568,0.0869003,1.14134,12.4205,0.346055,2.2210799999999997,36.9399,29.3637
SIDT1,0.9090090000000001,1.18936,2.8378,1.50153,19.8668,0.697295,4.10468,29.3222,22.7282,1.0950799999999998,0.705832
SOX10,3.84721,0.0,2.12555,1.1078299999999999,0.0,0.0,3.3060300000000002,0.0,0.122019,0.974734,1.40946
SPDEF,0.141878,0.0,0.125309,0.0,5.742999999999999,0.0,1.77865,4.22867,8.59881,0.13159,0.139067
SPRR1B,0.09447810000000001,0.0,0.0,0.0,0.0,3.26633,0.0,0.0,0.0,0.0,0.0
SPTLC2,28.7351,34.6502,30.4717,40.6695,165.09400000000002,40.5093,50.5338,51.4217,153.029,32.6182,40.9009
SRPX,12.4869,3.03912,3.95488,9.47686,1.01191,3.5157199999999995,1.23219,2.93003,9.55792,3.64121,14.1535
TCF7L1,11.751,10.4131,18.6337,44.3834,2.2856099999999997,13.5439,51.7263,2.31134,3.0540700000000003,9.57248,13.4957
TFAP2B,1.18026,0.6146199999999999,1.32869,0.41227600000000003,93.3454,0.625831,2.5493799999999998,1.6630099999999999,60.1361,0.183917,0.445715
THBS4,8.67223,14.4432,2.546,16.1641,5.02284,7.681989999999999,0.667736,9.77135,24.2651,47.667,25.1457
TNFAIP8,5.97248,33.8904,17.2372,13.7256,9.34912,6.64522,12.4301,42.9762,12.6779,21.8018,15.142000000000001
TNFSF10,24.8142,12.908,6.9446,115.984,83.9819,31.6048,14.402000000000001,17.5029,20.7587,25.8363,14.0271
TRIM68,7.67148,0.257472,2.36306,4.9053,2.4563200000000003,2.5005900000000003,4.73203,5.19011,7.69963,1.6463299999999998,7.17307
TSC22D3,7.24202,22.2448,6.88048,15.5388,10.5057,4.73979,3.04296,39.5943,47.5759,4.78071,22.6667
UBD,0.0,14.192,17.5477,9.98192,3.7799999999999995e-11,0.0,6.246659999999999,68.3213,1.09897,3.54236,0.301306
UGT2B28,0.0,0.261173,1.48948,0.0847062,0.08143539999999999,0.0,0.0,1.13481,259.096,0.409168,1.26947
XBP1,26.3139,54.7944,85.7476,23.1296,139.92,16.4091,60.9409,142.80700000000002,180.636,28.2336,37.5827
ZCCHC24,0.75321,0.0777878,0.124046,0.70298,0.298602,0.896906,0.18821300000000002,1.45581,2.02662,0.539957,1.77067
