gene_short_name,V515-06187-A1,TNT-304,TNT-132,TNT-35,17-00280-7_S4Aligned_cufflinks,17-00243-6_S9Aligned_cufflinks,TNT-167,TNT-14,TNT-283,TNT-83,TNT-57
MIA,21.0747,13.4175,0.0,0.979784,0.8504440000000001,3.57539,0.0,13.5693,1.9076,0.59864,0.850025
MID1,36.2366,11.3562,22.0039,15.4661,1.8419299999999998,19.4964,0.998935,27.3804,134.299,14.9831,33.3046
MYBL1,4.603619999999999,64.9785,9.64146,5.6302900000000005,3.99811,2.26514,18.9003,161.042,5.02566,13.5443,10.4917
NEK2,17.1321,21.4632,3.18495,8.08047,16.8509,0.583537,34.501999999999995,22.8411,32.5632,10.8591,35.0042
NTN3,0.023557599999999998,0.0,0.0,0.0,0.0959572,0.028244799999999997,0.0,0.184201,0.0,0.0,0.0
OGN,1.27872,6.47238,80.9535,18.1458,1.52814,45.42100000000001,10.6749,6.075080000000001,17.6911,8.2237,16.0085
PI3,0.0,0.0,0.0,5.2829999999999995,0.167212,0.47588500000000006,0.0,0.327406,0.836548,0.271929,0.744111
PLEKHB1,14.583,0.441845,0.0,0.63253,1.5825799999999999,1.3299,2.0671,5.895,1.33354,0.557688,5.52137
PMAIP1,1.6239299999999999,2.78943,0.0,0.874236,1.77395,0.588906,0.0,3.0045,1.46853,0.719421,3.21203
PSMB9,0.0,8.812510000000001,16.4014,26.5213,0.0,0.0,4.53273,20.2724,33.3966,21.4879,3.9861800000000005
PTGDS,1.49063,0.406698,6.727469999999999,12.152999999999999,5.35736,30.8632,0.0,2.6254,0.60063,0.75678,0.8711840000000001
RARRES3,10.7933,21.8538,37.6985,98.7372,45.1096,35.4719,13.385,10.9955,64.8345,169.065,4.60827
RTP4,0.772275,5.27146,3.84331,1.96157,3.0403599999999997,1.58515,0.0,9.087810000000001,2.64071,5.00847,3.89184
S100A1,196.638,40.8906,0.0,1.32554,1.5461799999999999,3.7795699999999997,10.9158,69.4896,2.17375,4.87729,39.311
S100A7,6.579160000000001,0.0,37.4403,248.222,1.52681,8.425880000000001,0.0,2.50007,0.0,0.174539,1.0745200000000001
S100A8,3.4999599999999997,5.27527,74.959,63.2431,28.2072,10.0399,40.9234,8.07722,1.97965,1.39343,0.912848
SCRG1,23.221999999999998,76.7889,0.0,0.523831,0.11776500000000001,0.0701932,0.0,4.0537,0.09951310000000001,0.28728899999999996,51.566
SEMA3C,89.189,1.9699400000000002,24.1565,67.2934,21.9289,61.3215,29.3804,7.385160000000001,4.05474,15.3978,14.4221
SERHL2,5.02658,1.30511,9.62371,293.1,72.8702,19.9281,475.086,11.0643,18.7518,142.226,2.41741
SFRP1,35.3095,23.9901,3.43042,5.3329699999999995,0.32416300000000003,6.72849,4.29796,12.4205,0.0,0.416292,41.9017
SIDT1,0.9090090000000001,1.73806,21.0521,22.7414,22.2534,9.63895,43.6153,4.10468,23.4269,16.3553,1.0019
SOX10,3.84721,0.549191,0.0750195,0.107528,0.0778642,1.24586,2.04258,3.3060300000000002,0.0,0.0883835,4.406619999999999
SPDEF,0.141878,0.485162,4.62556,5.95793,12.1178,2.54524,18.284000000000002,1.77865,7.9692,11.802,0.026727499999999998
SPRR1B,0.09447810000000001,0.0,0.0,0.15053,0.0,0.10835,0.0,0.0,0.0,0.0,0.42824700000000004
SPTLC2,28.7351,22.3435,15.6968,103.125,55.1443,28.4852,100.115,50.5338,46.537,99.8843,51.2638
SRPX,12.4869,1.7645400000000002,7.88364,4.10102,1.21131,14.706,3.0497400000000003,1.23219,2.36183,2.11423,7.25335
TCF7L1,11.751,9.31606,2.5219400000000003,4.14047,5.660909999999999,10.1506,7.44906,51.7263,0.731486,5.28734,51.5262
TFAP2B,1.18026,0.318333,18.4351,54.4317,14.087,6.80933,88.6032,2.5493799999999998,0.851188,91.2466,0.631304
THBS4,8.67223,5.10417,13.3943,12.3296,4.36571,12.7354,13.5348,0.667736,4.76762,8.67857,6.38016
TNFAIP8,5.97248,31.3755,58.0308,48.9079,16.454,14.1535,26.9164,12.4301,12.5094,26.934,12.7164
TNFSF10,24.8142,16.7768,32.1512,58.3945,132.384,35.1596,7.97765,14.402000000000001,30.3826,50.7573,14.0494
TRIM68,7.67148,1.0104600000000001,2.88826,5.67323,8.45792,2.74792,3.56293,4.73203,5.22976,3.34384,3.50355
TSC22D3,7.24202,3.52469,25.4171,97.5977,9.54262,25.3356,81.2312,3.04296,61.7873,77.8816,9.533710000000001
UBD,0.0,5.88761,15.0962,68.3502,0.0,15.4556,1.58e-09,6.246659999999999,6.55876,1.8077400000000001,1.25475
UGT2B28,0.0,0.0,260.887,29.6108,0.10263800000000001,0.44190799999999997,364.95,0.0,2.7391900000000002,0.0177382,0.803126
XBP1,26.3139,47.3865,90.569,194.516,304.504,91.5877,79.6914,60.9409,377.60400000000004,206.047,62.5597
ZCCHC24,0.75321,0.0,2.47759,1.9920400000000003,0.520663,2.24439,0.7647510000000001,0.18821300000000002,0.290128,4.52648,0.80106
