gene_short_name,V515-06187-A1,TNT-194,TNT-8,TNT-33,17-00118-2_S5Aligned_cufflinks,17-00160-1_S2Aligned_cufflinks,TNT-183,TNT-26,17-00258-5_S5Aligned_cufflinks,17-00243-6_S9Aligned_cufflinks,17-00143-5_S2Aligned_cufflinks
LBP,0.573258,0.8388760000000001,1.17723,0.0,0.6302840000000001,0.24971,32.6934,0.12506099999999998,0.358738,6.9576199999999995,0.830781
LHFP,2.0952,0.339519,0.13617100000000001,0.545114,6.1212800000000005,0.46170900000000004,1.38204,3.19932,2.79094,3.41442,0.411592
MFAP4,1.60954,2.27238,6.52457,9.67575,30.8398,1.0224799999999998,2.2467599999999996,6.91442,10.5279,29.2715,0.410963
MIA,21.0747,29.91,34.1576,0.555214,10.3012,0.5800109999999999,0.500988,40.5309,14.3733,3.57539,0.0
MID1,36.2366,20.3668,24.2185,34.3051,13.2023,11.5278,5.79772,18.2572,12.8176,19.4964,24.8579
MYBL1,4.603619999999999,10.1981,376.286,12.7205,1.04872,10.6239,13.9755,5.37248,40.251999999999995,2.26514,1.8149
NEK2,17.1321,25.116,14.7718,10.7269,0.0,26.3562,18.5088,6.4980400000000005,14.2971,0.583537,27.4882
NTN3,0.023557599999999998,0.0,0.217783,0.0,0.10363599999999999,0.0,0.0278068,0.0,0.029489799999999997,0.028244799999999997,0.0585428
OGN,1.27872,18.5507,20.2289,24.6987,18.294,1.35366,7.74605,41.2163,4.57913,45.42100000000001,0.0757681
PI3,0.0,0.8458530000000001,0.0,0.252274,12.3687,1.8968599999999998,3.05344,3.94404,0.0,0.47588500000000006,0.0
PLEKHB1,14.583,3.57226,3.62724,8.37067,2.82605,5.0627699999999995,0.494162,1.0292700000000001,13.993,1.3299,0.903185
PMAIP1,1.6239299999999999,3.5289800000000002,1.17994,0.451036,1.26956,2.45811,0.22707,5.10806,2.15123,0.588906,0.161
PSMB9,0.0,10.4857,4.06649,22.3417,7.70055,0.0,37.2284,3.9728199999999996,0.0,0.0,0.0
PTGDS,1.49063,0.669607,0.848852,13.792,15.6347,1.8430900000000001,3.28185,0.7358520000000001,7.08018,30.8632,0.64403
RARRES3,10.7933,7.320310000000001,8.06708,33.844,1.02773,6.713660000000001,103.154,3.30263,23.5313,35.4719,49.0465
RTP4,0.772275,2.22149,2.07602,1.43055,0.0,3.2141900000000003,2.3872,0.268113,3.0802400000000003,1.58515,0.152572
S100A1,196.638,19.5795,31.9064,30.7494,3.69956,13.8277,0.5643130000000001,4.30791,179.938,3.7795699999999997,0.9346110000000001
S100A7,6.579160000000001,0.538471,3.72373,0.0,37.0075,16.7462,40.2684,4.4318800000000005,0.36102399999999996,8.425880000000001,2.94811
S100A8,3.4999599999999997,6.44369,0.35623299999999997,0.204478,37.781,7.4687399999999995,131.95600000000002,4.205,2.18289,10.0399,9.1996
SCRG1,23.221999999999998,56.2852,53.977,1.67508,0.0,0.353705,1.51841,28.1591,5.63925,0.0701932,0.0
SEMA3C,89.189,8.37491,22.714000000000002,20.5231,46.8309,5.61644,23.6015,41.0773,11.4289,61.3215,17.3161
SERHL2,5.02658,5.66259,16.1385,7.812710000000001,9.31367,2.62127,20.5574,3.6196599999999997,14.0748,19.9281,16.2918
SFRP1,35.3095,9.52922,42.6241,42.2408,13.2394,9.885769999999999,2.33003,4.2071,20.2949,6.72849,0.5283640000000001
SIDT1,0.9090090000000001,0.8704559999999999,0.644053,12.8335,21.2172,0.6342270000000001,16.7941,1.23219,6.00681,9.63895,14.89
SOX10,3.84721,1.39412,1.87999,2.78625,6.1676,7.16494,0.464487,2.23205,10.7546,1.24586,0.0
SPDEF,0.141878,0.123991,0.869403,7.13518,1.19861,0.302264,8.699530000000001,0.592224,0.68243,2.54524,15.935
SPRR1B,0.09447810000000001,0.0,0.0,0.0,0.0,0.52413,0.10341099999999999,0.0,0.0,0.10835,0.0
SPTLC2,28.7351,19.9639,27.8543,86.3208,10.1009,49.6177,75.6745,38.188,36.547,28.4852,94.7651
SRPX,12.4869,5.00084,3.72588,4.34368,7.353160000000001,1.60124,1.61665,10.7936,3.4638,14.706,0.776788
TCF7L1,11.751,26.9459,87.3457,13.4634,15.4859,12.7575,15.0091,4.2474099999999995,9.43708,10.1506,14.8675
TFAP2B,1.18026,2.1715299999999997,2.2852200000000003,0.0871335,10.5496,0.0538654,12.5701,0.5612689999999999,0.438146,6.80933,34.9977
THBS4,8.67223,16.24,21.1983,74.9931,0.844511,0.485063,8.89122,10.4444,5.44268,12.7354,0.592485
TNFAIP8,5.97248,15.6913,3.41071,59.3159,12.507,9.44032,22.5994,5.72812,14.6041,14.1535,7.87435
TNFSF10,24.8142,19.8522,14.0586,46.6286,13.4055,32.8667,69.7579,11.9174,16.7985,35.1596,18.7849
TRIM68,7.67148,4.0406699999999995,5.83645,2.4750900000000002,0.51408,0.76994,3.20096,2.6518200000000003,3.2025099999999997,2.74792,6.18412
TSC22D3,7.24202,20.4103,9.521510000000001,29.4275,41.9399,9.99221,19.8955,11.3808,11.6497,25.3356,43.2554
UBD,0.0,8.18793,6.70224,47.994,0.0,0.0,9.87965,1.8393,0.0,15.4556,0.0
UGT2B28,0.0,1.8360400000000001,8.20575,0.165279,0.0,0.0,23.7089,0.0,0.0,0.44190799999999997,0.0956985
XBP1,26.3139,31.2455,28.7927,141.18,82.6609,57.7395,278.695,30.2075,61.1886,91.5877,330.69699999999995
ZCCHC24,0.75321,0.122868,0.171518,1.07989,1.23345,0.34524299999999997,2.17403,1.37962,1.27759,2.24439,0.28010100000000004
