gene_short_name,V515-06187-A1,TNT-57,TNT-227,17-00123-8_S16Aligned_cufflinks,TNT-121,TNT-73,TNT-265,17-00110-9_S15Aligned_cufflinks,17-00107-9_S10Aligned_cufflinks,TNT-111,17-00114-7_S13_cufflinks
S100A7,6.579160000000001,1.0745200000000001,0.0,0.0,0.0,9.12628,22.3707,0.0,6.51391,1.10461,0.0
S100A8,3.4999599999999997,0.912848,3.22332,1.82827,0.0,5.5385599999999995,1.86021,1.75952,27.7981,5.80152,1.42492
SCRG1,23.221999999999998,51.566,25.4006,0.049150599999999996,11.3018,2.2307,0.43998699999999996,0.0,0.0,1.19671,0.9965639999999999
SEMA3C,89.189,14.4221,5.34039,60.4379,75.8396,15.7635,22.3716,13.6146,63.9728,36.4009,33.7191
SERHL2,5.02658,2.41741,1.21357,4.0892800000000005,4.6203199999999995,1.2349,2.6417900000000003,3.3723199999999998,1.83139,546.021,18.7642
SFRP1,35.3095,41.9017,8.69625,2.2113,22.1675,0.100459,0.18926800000000002,11.7983,1.20859,2.2210799999999997,15.6747
SIDT1,0.9090090000000001,1.0019,14.5798,5.97505,5.70291,3.01369,23.2043,26.2512,24.0965,22.7282,7.32397
SOX10,3.84721,4.406619999999999,0.0633104,0.258799,2.3355200000000003,0.00900422,1.01938,13.8201,0.0,0.122019,4.06913
SPDEF,0.141878,0.026727499999999998,0.0,0.409478,1.25775,0.0,0.07995880000000001,10.8008,0.0,8.59881,1.04377
SPRR1B,0.09447810000000001,0.42824700000000004,0.0,0.0,0.0,0.0,0.0,0.0,7.9079,0.0,0.799141
SPTLC2,28.7351,51.2638,101.03299999999999,30.4775,46.7418,13.6311,39.5264,18.5445,20.6055,153.029,36.838
SRPX,12.4869,7.25335,0.7029489999999999,5.96584,4.755719999999999,1.04663,0.232665,0.814167,9.574110000000001,9.55792,6.34974
TCF7L1,11.751,51.5262,7.03705,20.1422,11.4588,28.8742,5.04884,26.4978,5.48526,3.0540700000000003,8.07737
TFAP2B,1.18026,0.631304,0.488196,0.268108,0.0,0.89359,0.0699716,19.6334,0.202828,60.1361,0.327111
THBS4,8.67223,6.38016,1.73265,6.37277,30.4901,4.65828,1.1335600000000001,2.78039,33.2562,24.2651,4.39824
TNFAIP8,5.97248,12.7164,67.6812,15.8607,7.657830000000001,17.1811,93.1282,10.863,5.88908,12.6779,19.3631
TNFSF10,24.8142,14.0494,18.0991,39.6627,34.2835,172.615,48.2169,10.6811,27.9843,20.7587,13.6293
TRIM68,7.67148,3.50355,0.9345129999999999,3.50305,0.305368,1.0162200000000001,1.8199400000000001,4.71341,7.91414,7.69963,2.5373900000000003
TSC22D3,7.24202,9.533710000000001,19.0487,23.0082,15.8148,8.0713,13.4299,6.786910000000001,13.8724,47.5759,16.6763
UBD,0.0,1.25475,31.2003,0.0,0.6697420000000001,73.4598,25.0035,0.0,0.0,1.09897,0.0
UGT2B28,0.0,0.803126,0.0506694,0.053475,13.3265,0.0132192,0.0886665,0.0,0.0,259.096,0.0
XBP1,26.3139,62.5597,33.7205,49.1615,33.0322,62.3238,42.5204,58.4986,20.5809,180.636,73.4973
ZCCHC24,0.75321,0.80106,0.0,1.25453,0.183032,0.534347,0.39827399999999996,0.532574,1.1772,2.02662,0.843194
