gene_short_name,V515-06187-A1,TNT-152,TNT-6,TNT-225,TNT-202,TNT-44,TNT-123,TNT-282,TNT-283,TNT-326,TNT-82
ABCA8,1.07397,28.3027,9.6574,19.7157,0.419579,57.5774,4.65218,4.67702,5.2258,0.03846,7.264660000000001
ADRA2A,0.196819,0.562541,1.3579299999999999,0.313514,0.10423800000000001,0.6270140000000001,0.11800999999999999,0.0181278,0.0,0.917432,0.27721599999999996
AKAP12,3.7524300000000004,19.0715,11.312000000000001,11.700999999999999,2.88543,29.6051,3.7973199999999996,3.3799099999999997,3.43169,7.45648,3.91678
ALDH3B2,34.613,134.872,433.61300000000006,0.0,9.39125,0.0,5.94829,14.2492,2.4243200000000003,4.993580000000001,15.0004
APOD,101.54799999999999,3238.15,13601.3,86.1188,11.7008,551.695,24.5266,1.37445,134.119,12.6566,15.1454
ART3,19.2103,0.0,0.0,44.2138,33.6664,17.6012,4.06834,1.17116,1.3833,12.2091,0.454395
ASPN,31.1651,89.7133,106.78,112.76799999999999,19.8095,37.2942,24.7914,10.9442,148.766,15.8107,23.1488
AZGP1,64.9749,678.875,1632.76,68.2212,174.74099999999999,63.9359,99.2913,58.3199,6.21353,30.6143,2.0150799999999998
BLVRB,6.57613,9.51428,17.4411,0.9385680000000001,0.838176,2.47625,2.18791,2.42049,3.29221,0.0,1.51625
C7,0.29143,41.1971,3.8300199999999998,7.47819,0.491271,15.2903,0.429463,0.311238,1.21194,6.06215,1.10798
CCL5,1.03708,12.9609,5.02728,2.44293,2.81882,6.20512,2.78857,7.18878,13.0437,15.9662,1.19407
CD36,36.5005,35.2708,52.468,47.8398,18.456,161.29,15.422,31.9388,37.5269,9.50935,5.65798
CD52,5.15236,82.2545,20.3981,54.5642,22.4442,76.5111,70.4409,28.9883,9.26877,164.90900000000002,7.702039999999999
CDC20,19.1111,4.505269999999999,6.40956,16.8549,43.36600000000001,6.29946,22.9872,16.4631,9.884360000000001,6.93203,20.8091
CHI3L1,52.4824,0.786117,0.854684,13.4776,23.2638,19.8265,60.4696,10.2047,1.1316899999999999,1.96055,100.53299999999999
COL2A1,124.822,0.0,0.407516,2.20486,0.0214933,0.369471,1.02857,0.205631,1.11024,5.7244,0.035867
COL5A1,145.37,108.13799999999999,210.775,113.037,31.7171,75.9328,9.17789,8.00722,30.5437,27.0058,54.0508
COL5A2,202.313,322.448,301.151,173.274,55.4751,135.933,26.7663,9.29631,90.4159,23.1253,91.1359
CRAT,3.09639,31.2169,270.69,1.33989,0.301212,7.360689999999999,6.53709,1.76532,1.0920100000000001,0.143253,4.67668
CROT,17.2031,26.5717,71.4203,8.52486,4.69295,5.748069999999999,2.65129,17.5883,7.69125,2.16177,21.2497
CXCL10,2.29941,11.4495,6.60035,8.15851,80.0122,56.0996,47.5692,44.8489,57.2712,56.2198,8.161810000000001
CXCL11,0.642556,0.0,0.934983,0.637592,5.16683,1.58942,7.40885,6.8698,9.65099,13.0665,0.708749
CXCL13,0.0413495,15.7339,1.54946,6.32163,16.756,4.795640000000001,18.4192,41.0339,30.5927,85.4836,1.32724
CYP4F8,0.048019099999999995,15.6348,30.0292,0.16966900000000001,1.23981,3.5069199999999996,0.24915,8.548969999999999,0.368212,0.0,0.006201699999999999
DBI,412.371,565.778,646.11,130.439,81.6514,108.177,347.116,94.6861,168.356,65.8549,108.571
DEFB1,3.16262,0.0,0.0,0.09093530000000001,3.2412400000000003,0.977303,1.62327,39.0385,0.8576389999999999,0.0,38.2433
DHCR24,38.1374,94.5633,231.222,9.11603,22.1326,7.285489999999999,17.5614,103.38,46.4939,11.0616,63.6668
DUSP5,2.6614299999999997,2.4487099999999997,20.7856,4.35424,6.07051,6.42948,2.76943,1.47901,2.6326099999999997,1.6522400000000002,0.992791
FABP7,2.25652,235.75900000000001,461.68699999999995,54.5626,90.0951,1.8110099999999998,19.9956,254.77900000000002,0.521183,13.8638,9.31424
FASN,124.609,218.648,619.2719999999999,1.28864,6.0106,6.2038400000000005,3.0175799999999997,13.0917,22.4823,7.60798,28.679000000000002
FGFR4,2.32432,15.2911,23.8482,0.044059,0.572056,0.634329,0.907833,0.356516,0.42262,0.0,0.21109699999999998
FGL2,2.48121,11.0158,2.74346,7.08488,3.41656,7.86297,3.14344,10.6796,4.1031699999999995,5.61145,4.99871
