gene_short_name,V515-06187-A1,TNT-157,17-00104-2_S7Aligned_cufflinks,17-00143-5_S2Aligned_cufflinks,TNT-227,17-00127-8_S3Aligned_cufflinks,TNT-270,17-00125-8_S13Aligned_cufflinks,TNT-111,TNT-182,TNT-238
SFRP1,35.3095,5.6944300000000005,1.0608899999999999,0.5283640000000001,8.69625,2.21414,1.61611,9.57648,2.2210799999999997,9.46982,3.2549900000000003
SIDT1,0.9090090000000001,5.13203,8.90804,14.89,14.5798,0.0,23.9854,10.0237,22.7282,1.16947,32.8407
SOX10,3.84721,0.515416,0.270609,0.0,0.0633104,7.96475,0.0149695,3.93353,0.122019,1.41359,0.8245290000000001
SPDEF,0.141878,0.35286799999999996,0.0699543,15.935,0.0,0.0,2.37184,3.7916800000000004,8.59881,0.0,0.268316
SPRR1B,0.09447810000000001,0.0,7.66609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47053999999999996
SPTLC2,28.7351,23.1361,27.6182,94.7651,101.03299999999999,75.7357,55.7678,31.9106,153.029,74.3666,46.953
SRPX,12.4869,3.4083,1.56102,0.776788,0.7029489999999999,0.0,0.486246,11.315999999999999,9.55792,5.445119999999999,1.62707
TCF7L1,11.751,19.2652,4.27422,14.8675,7.03705,18.2386,1.8168099999999998,17.9877,3.0540700000000003,17.4982,5.7333300000000005
TFAP2B,1.18026,0.0,0.615416,34.9977,0.488196,1.05255,69.5657,3.9222699999999997,60.1361,0.296831,0.0
THBS4,8.67223,10.2009,3.7549300000000003,0.592485,1.73265,0.0,6.98055,17.7867,24.2651,34.1712,5.518759999999999
TNFAIP8,5.97248,37.2349,8.91414,7.87435,67.6812,30.9,30.4225,11.2917,12.6779,28.5502,103.53299999999999
TNFSF10,24.8142,37.5497,7.52508,18.7849,18.0991,12.2587,27.4538,18.0064,20.7587,18.4707,60.8272
TRIM68,7.67148,0.6743640000000001,0.6705949999999999,6.18412,0.9345129999999999,0.0,7.586539999999999,18.792,7.69963,1.91287,2.7255
TSC22D3,7.24202,9.78657,2.00415,43.2554,19.0487,0.0,13.8279,28.8027,47.5759,7.29858,9.88904
UBD,0.0,30.8208,0.0,0.0,31.2003,1.54253,3.0099999999999997e-28,0.0,1.09897,124.22399999999999,63.7004
UGT2B28,0.0,0.532721,0.0,0.0956985,0.0506694,0.0,520.496,0.39282100000000003,259.096,0.034224300000000006,0.0371477
XBP1,26.3139,51.8027,18.1345,330.69699999999995,33.7205,25.4364,195.25900000000001,63.70399999999999,180.636,78.4326,27.5281
ZCCHC24,0.75321,1.2597399999999999,0.13893,0.28010100000000004,0.0,0.0,0.313679,5.1231800000000005,2.02662,0.8638319999999999,0.0
