gene_short_name,V515-06187-A1,17-00139-2_S9Aligned_cufflinks,17-00110-9_S15Aligned_cufflinks,TNT-33,17-00097-1_S9_cufflinks,17-00108-5_S18Aligned_cufflinks,17-00174-6_S15Aligned_cufflinks,TNT-293,TNT-259,17-00271-8_S16Aligned_cufflinks,TNT-325
MYBL1,4.603619999999999,74.6586,3.8023800000000003,12.7205,88.7484,48.0038,7.91887,23.7944,15.8264,1.7769099999999998,6.891660000000001
NEK2,17.1321,41.9777,11.0728,10.7269,23.2843,22.4467,6.29062,25.7407,7.067419999999999,2.752,31.5251
NTN3,0.023557599999999998,0.0,0.0371457,0.0,0.175515,0.09214630000000001,0.0,0.0,0.0,0.0437792,0.0
OGN,1.27872,2.70269,0.20845500000000003,24.6987,0.632217,0.8615780000000001,0.432418,19.9502,15.1809,87.9032,31.1962
PI3,0.0,1.9945599999999999,0.30924,0.252274,2.08188,1.40499,224.86,0.630875,84.1807,0.0,151.46200000000002
PLEKHB1,14.583,0.203369,3.4420300000000004,8.37067,0.949499,1.2345,0.316141,0.13943,4.05949,0.6133390000000001,0.0
PMAIP1,1.6239299999999999,12.390999999999998,0.10243,0.451036,2.63308,4.76914,4.270630000000001,0.839744,3.9463199999999996,2.49894,5.23496
PSMB9,0.0,0.0,0.0,22.3417,0.0,0.0,0.0,8.91372,29.5826,0.0,24.3438
PTGDS,1.49063,1.11693,1.69612,13.792,0.5857060000000001,3.30801,11.0692,0.31455900000000003,4.47236,32.4277,0.0
RARRES3,10.7933,6.2457,4.64353,33.844,7.35418,8.469610000000001,17.8571,43.7136,27.7703,31.4226,51.3022
RTP4,0.772275,1.01529,0.048426300000000005,1.43055,0.724984,1.04102,1.8754099999999998,2.4733,6.60475,0.11482,0.0
S100A1,196.638,2.49971,17.525,30.7494,5.58359,15.4601,33.4893,0.361616,2.36985,8.57125,0.0
S100A7,6.579160000000001,0.849959,0.0,0.0,0.5287649999999999,0.0,854.8889999999999,6.687069999999999,0.0,116.993,150.357
S100A8,3.4999599999999997,2.9412599999999998,1.75952,0.204478,3.62696,0.799238,589.559,2.92903,14.6467,98.5857,72.5769
SCRG1,23.221999999999998,0.0,0.0,1.67508,0.143501,0.33876999999999996,0.046442000000000004,1.0085,12.0923,0.162206,0.0
SEMA3C,89.189,38.9655,13.6146,20.5231,46.9475,12.525,30.0744,25.0484,46.0447,68.2334,17.0593
SERHL2,5.02658,4.63755,3.3723199999999998,7.812710000000001,9.03314,7.81635,16.4697,71.7846,0.0,574.127,0.0
SFRP1,35.3095,1.51994,11.7983,42.2408,31.8986,13.0061,6.85617,0.0869003,0.399455,4.8108900000000006,4.72912
SIDT1,0.9090090000000001,0.872016,26.2512,12.8335,1.4220700000000002,6.64324,1.85686,19.8668,18.1512,8.51488,43.0664
SOX10,3.84721,0.24186300000000002,13.8201,2.78625,0.0,6.35197,0.0243124,0.0,0.0,0.7094550000000001,0.0
SPDEF,0.141878,0.058434900000000005,10.8008,7.13518,0.7834220000000001,0.44301199999999996,0.604543,5.742999999999999,0.0,3.8249800000000005,0.9830120000000001
SPRR1B,0.09447810000000001,0.0,0.0,0.0,0.0,0.0,267.837,0.0,0.0,0.0,0.512416
SPTLC2,28.7351,24.144000000000002,18.5445,86.3208,44.3926,22.9936,60.9163,165.09400000000002,51.5029,49.9711,8.20777
SRPX,12.4869,1.27999,0.814167,4.34368,5.55629,2.07515,13.6723,1.01191,6.798030000000001,30.9274,0.476734
TCF7L1,11.751,11.0243,26.4978,13.4634,21.8613,14.3223,3.74559,2.2856099999999997,2.74681,6.54781,5.27969
TFAP2B,1.18026,0.257357,19.6334,0.0871335,0.418495,0.21307199999999998,11.5213,93.3454,0.0328593,8.73733,1.15901
THBS4,8.67223,6.218719999999999,2.78039,74.9931,1.0911799999999998,6.26509,2.5493099999999997,5.02284,13.4075,11.9439,2.09302
TNFAIP8,5.97248,5.70276,10.863,59.3159,9.78406,13.7328,14.5558,9.34912,33.4226,10.2542,45.8522
TNFSF10,24.8142,48.6482,10.6811,46.6286,6.811710000000001,8.582,48.0731,83.9819,54.1136,18.0931,57.3512
TRIM68,7.67148,0.120771,4.71341,2.4750900000000002,0.781292,1.92945,7.050439999999999,2.4563200000000003,1.6202299999999998,5.80638,0.415434
TSC22D3,7.24202,3.85501,6.786910000000001,29.4275,8.16817,7.39285,19.1824,10.5057,17.584,125.664,8.925939999999999
UBD,0.0,0.0,0.0,47.994,0.0,0.0,0.0,3.7799999999999995e-11,86.1823,0.0,74.485
UGT2B28,0.0,0.0,0.0,0.165279,0.573986,0.0,0.0391407,0.08143539999999999,0.0,533.419,0.0
XBP1,26.3139,18.3573,58.4986,141.18,43.428000000000004,132.852,57.3706,139.92,27.2668,71.8158,38.2012
ZCCHC24,0.75321,0.116612,0.532574,1.07989,0.9831700000000001,0.410678,0.433047,0.298602,0.0,2.3669,0.0
