gene_short_name,V515-06187-A1,TNT-76,TNT-14,TNT-220,TNT-115,TNT-117,TNT-210,17-00122-1_S1_cufflinks,TNT-157,TNT-234,17-00112-1_S7_cufflinks
KRT14,118.37100000000001,96.6137,2.10125,4.63945,0.551354,25.0607,2.74332,6.909330000000001,48.6854,73.9875,148.933
KRT16,91.0343,90.57600000000001,24.2042,17.8774,9.47135,72.4501,23.75,51.7403,29.9302,71.7901,106.581
KRT17,105.34700000000001,166.12,48.217,1.41744,2.63747,278.51099999999997,30.2448,111.463,93.4954,266.007,1.45916
KRT6A,54.2242,134.951,10.655999999999999,36.0657,4.88946,424.358,107.251,98.3427,114.32799999999999,76.4429,2.22255
KRT6B,86.6584,530.7869999999999,4.38034,15.952,4.7401599999999995,210.18900000000002,120.655,39.5837,58.34,479.9,6.2199
KYNU,14.7879,9.09878,2.87511,19.1427,10.3495,9.996189999999999,31.8261,13.9844,10.0651,8.79221,2.99107
LBP,0.573258,0.510202,9.36242,0.0,1.5258399999999999,1.21431,1.41346,0.0,10.5957,0.257459,0.15826099999999999
LHFP,2.0952,1.54434,0.44400600000000007,0.921824,0.43419399999999997,0.853878,1.50736,0.971894,0.326932,0.714479,1.0540200000000002
MFAP4,1.60954,2.12753,0.611251,16.8975,2.83094,2.2143200000000003,2.77163,0.646041,5.34585,3.14142,0.217392
MIA,21.0747,6.86349,13.5693,21.5567,0.0,23.6586,30.7945,2.24355,1.63317,5.76936,13.1502
MID1,36.2366,43.0015,27.3804,26.0472,4.80063,10.9271,25.749000000000002,19.3349,9.65455,26.9271,33.329
MYBL1,4.603619999999999,16.8039,161.042,12.8625,40.5034,10.1601,11.9977,3.20131,114.391,22.7219,24.2743
NEK2,17.1321,29.3384,22.8411,1.59091,29.8304,19.7613,18.4369,9.729460000000001,25.8249,28.8537,15.7279
NTN3,0.023557599999999998,0.0,0.184201,0.0,0.0,0.0,0.035751,0.0,0.0,0.0,0.06245459999999999
OGN,1.27872,11.7997,6.075080000000001,45.4451,5.27671,17.9973,3.78341,0.491951,24.9941,10.9256,2.06137
PI3,0.0,74.0994,0.327406,0.274777,0.239601,31.1569,0.0,13.0826,17.863,0.809754,0.38461599999999996
PLEKHB1,14.583,3.5639,5.895,3.7018199999999997,0.0,1.84595,1.56536,0.0,0.0,1.4164299999999999,1.02114
PMAIP1,1.6239299999999999,0.9790120000000001,3.0045,1.10505,1.4331,3.58485,3.09234,0.701753,1.51596,0.687533,0.170902
PSMB9,0.0,14.6465,20.2724,25.2165,33.166,25.6842,18.2534,0.0,9.368260000000001,26.4592,10.1796
PTGDS,1.49063,1.42082,2.6254,34.6464,1.7184700000000002,3.76609,13.040999999999999,10.8266,7.619330000000001,7.37632,0.737796
RARRES3,10.7933,13.0092,10.9955,21.933000000000003,87.5903,39.6772,110.446,3.24346,22.5854,10.8688,12.5541
RTP4,0.772275,1.6689,9.087810000000001,0.881473,9.50501,6.17068,2.80194,0.0,4.38526,3.08606,0.44722
S100A1,196.638,2.02478,69.4896,1.9811400000000001,10.6195,3.45831,5.722569999999999,0.0,0.0,3.24423,188.155
S100A7,6.579160000000001,1.7490299999999999,2.50007,0.6977369999999999,519.99,109.561,13.8936,7.52054,7.967980000000001,0.49355299999999996,0.0
S100A8,3.4999599999999997,8.5793,8.07722,2.33908,96.5914,7.944369999999999,8.24156,12.2914,1.9424599999999999,1.2311299999999998,0.0
SCRG1,23.221999999999998,0.15075,4.0537,1.84844,0.127307,1.41262,0.396997,0.0,0.697447,0.0346114,0.7337100000000001
SEMA3C,89.189,31.7132,7.385160000000001,10.7517,9.35257,40.4564,62.8637,58.1962,20.029,23.6758,11.1491
SERHL2,5.02658,2.36334,11.0643,1.4366,5.03873,1.4235200000000001,3.14037,9.48451,2.29392,3.8201099999999997,33.4034
SFRP1,35.3095,10.8045,12.4205,8.36326,4.03801,4.88652,17.6487,0.7392770000000001,5.6944300000000005,15.3514,20.9305
SIDT1,0.9090090000000001,2.9025,4.10468,16.2039,8.53938,8.4761,18.0737,11.5365,5.13203,6.04401,2.31862
SOX10,3.84721,4.684069999999999,3.3060300000000002,1.01821,0.812829,0.401648,0.505514,1.4270100000000001,0.515416,3.83049,7.675260000000001
SPDEF,0.141878,0.0,1.77865,0.36541399999999996,0.27778,0.172244,0.225649,1.55112,0.35286799999999996,0.0,3.7099300000000004
SPRR1B,0.09447810000000001,0.0,0.0,0.0,0.0,1.02934,0.5695319999999999,10.5353,0.0,0.523364,0.0
SPTLC2,28.7351,40.9352,50.5338,23.8886,74.6543,32.9667,86.4089,11.985,23.1361,49.8823,50.6829
SRPX,12.4869,8.16291,1.23219,6.6176699999999995,1.54925,1.55964,2.24911,4.18922,3.4083,3.09636,3.0148200000000003
TCF7L1,11.751,26.0239,51.7263,10.6683,3.03016,16.3451,6.50692,29.4036,19.2652,29.2323,9.5899
TFAP2B,1.18026,0.0480311,2.5493799999999998,3.98359,0.0,0.301744,1.14647,0.117817,0.0,0.651673,0.508347
THBS4,8.67223,26.1723,0.667736,29.7523,5.97353,8.9054,2.7887299999999997,7.5362800000000005,10.2009,5.82503,1.5826200000000001
TNFAIP8,5.97248,13.5345,12.4301,45.6794,44.1196,23.5476,128.994,13.5491,37.2349,48.2796,10.0954
TNFSF10,24.8142,11.8922,14.402000000000001,33.2544,75.9663,31.8891,70.8588,12.4991,37.5497,21.3954,4.87246
TRIM68,7.67148,1.4648700000000001,4.73203,1.17435,2.44961,1.91052,2.30429,2.71829,0.6743640000000001,5.37981,0.32358400000000004
TSC22D3,7.24202,27.685,3.04296,5.49314,16.9798,42.852,4.66311,1.8407099999999998,9.78657,16.2892,9.21764
UBD,0.0,15.4731,6.246659999999999,16.25,76.5536,109.931,48.9351,0.0,30.8208,21.5359,0.0
UGT2B28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.532721,0.0461205,0.0
XBP1,26.3139,64.7398,60.9409,26.5347,97.6865,41.2359,35.0833,41.883,51.8027,60.5242,135.78
ZCCHC24,0.75321,1.41876,0.18821300000000002,0.641638,0.691361,0.17028800000000002,0.0,0.204038,1.2597399999999999,1.3421,0.520299
