gene_short_name,V515-06187-A1,TNT-115,TNT-154,TNT-289,17-00111-2_S4_cufflinks,TNT-79,TNT-48,17-00118-2_S5Aligned_cufflinks,TNT-3,17-00160-1_S2Aligned_cufflinks,TNT-20
MYBL1,4.603619999999999,40.5034,21.4126,20.0227,1.82664,36.9854,11.4978,1.04872,10.228,10.6239,2.23413
NEK2,17.1321,29.8304,33.9301,22.2645,1.39409,21.0285,4.81712,0.0,11.9278,26.3562,14.7128
NTN3,0.023557599999999998,0.0,0.0,0.0385849,0.0,0.0,0.0,0.10363599999999999,0.0,0.0,0.0
OGN,1.27872,5.27671,27.0642,137.401,9.98837,6.74862,106.76799999999999,18.294,42.6224,1.35366,26.1384
PI3,0.0,0.239601,0.0,0.655293,2.4862599999999997,0.596709,0.0,12.3687,0.0,1.8968599999999998,4.28964
PLEKHB1,14.583,0.0,0.46933199999999997,0.181805,1.24233,2.83392,1.01819,2.82605,0.0,5.0627699999999995,0.305631
PMAIP1,1.6239299999999999,1.4331,0.0,6.14423,0.589743,2.22611,1.4620799999999998,1.26956,2.36542,2.45811,2.01131
PSMB9,0.0,33.166,12.6717,15.8159,0.0,13.777999999999999,6.53207,7.70055,8.96825,0.0,9.26477
PTGDS,1.49063,1.7184700000000002,3.71266,1.28009,11.4409,0.10525999999999999,7.0991800000000005,15.6347,3.9356,1.8430900000000001,1.01545
RARRES3,10.7933,87.5903,0.0,14.9686,24.2394,23.8117,3.7106,1.02773,0.382705,6.713660000000001,28.9533
RTP4,0.772275,9.50501,2.4872900000000002,4.98935,1.49429,0.735006,0.348383,0.0,1.10019,3.2141900000000003,0.251186
S100A1,196.638,10.6195,11.4917,17.868,12.5874,11.3904,6.33437,3.69956,1.16293,13.8277,3.73478
S100A7,6.579160000000001,519.99,0.0,0.47535600000000006,38.5416,0.0,5.704359999999999,37.0075,0.0,16.7462,115.03
S100A8,3.4999599999999997,96.5914,2.37332,2.62304,24.6541,0.24511599999999997,2.22548,37.781,0.998749,7.4687399999999995,113.947
SCRG1,23.221999999999998,0.127307,8.04444,4.28357,0.130842,14.0368,8.00871,0.0,0.417468,0.353705,2.2422400000000002
SEMA3C,89.189,9.35257,15.6864,22.1075,32.9593,30.6627,60.8777,46.8309,11.8076,5.61644,90.54299999999999
SERHL2,5.02658,5.03873,0.266631,5.33505,2.3940900000000003,7.426839999999999,0.107499,9.31367,3.5335699999999997,2.62127,53.8477
SFRP1,35.3095,4.03801,0.300806,29.3637,2.96769,8.06581,16.8272,13.2394,0.159813,9.885769999999999,0.547809
SIDT1,0.9090090000000001,8.53938,0.799825,0.705832,5.32792,0.512936,8.993319999999999,21.2172,0.0,0.6342270000000001,38.2892
SOX10,3.84721,0.812829,1.1984,1.40946,1.2086,0.35642199999999996,1.82181,6.1676,0.0,7.16494,0.257498
SPDEF,0.141878,0.27778,2.7313400000000003,0.139067,0.735854,0.0,1.17641,1.19861,0.0,0.302264,4.703180000000001
SPRR1B,0.09447810000000001,0.0,0.0,0.0,93.0754,0.0,0.0,0.0,0.0,0.52413,5.43696
SPTLC2,28.7351,74.6543,34.4312,40.9009,32.5144,30.6108,38.3509,10.1009,34.0779,49.6177,83.8432
SRPX,12.4869,1.54925,5.56226,14.1535,8.0017,2.00317,18.5705,7.353160000000001,5.38411,1.60124,10.2693
TCF7L1,11.751,3.03016,28.9403,13.4957,5.32251,4.14436,22.2101,15.4859,3.12443,12.7575,1.9552599999999998
TFAP2B,1.18026,0.0,0.0,0.445715,1.07807,0.0,7.76836,10.5496,0.0,0.0538654,0.908734
THBS4,8.67223,5.97353,46.2432,25.1457,2.1271400000000003,2.09436,53.9149,0.844511,0.079968,0.485063,98.0214
TNFAIP8,5.97248,44.1196,15.5569,15.142000000000001,14.427999999999999,18.9576,20.3114,12.507,20.1621,9.44032,22.5543
TNFSF10,24.8142,75.9663,40.4481,14.0271,21.9902,25.2807,23.6433,13.4055,5.4336400000000005,32.8667,44.2258
TRIM68,7.67148,2.44961,0.70638,7.17307,4.82695,3.06815,1.04887,0.51408,2.86079,0.76994,5.24492
TSC22D3,7.24202,16.9798,0.0,22.6667,105.06700000000001,10.0686,6.22922,41.9399,3.62291,9.99221,28.9779
UBD,0.0,76.5536,16.3976,0.301306,0.0,13.958,1.0295299999999998,0.0,1.89398,0.0,0.7690520000000001
UGT2B28,0.0,0.0,0.0,1.26947,0.0354788,0.07032260000000001,0.0,0.0,0.0416066,0.0,13.4235
XBP1,26.3139,97.6865,50.7742,37.5827,74.46600000000001,53.1686,27.9336,82.6609,43.9749,57.7395,40.8036
ZCCHC24,0.75321,0.691361,0.0,1.77067,3.40631,0.00902465,1.27114,1.23345,1.21215,0.34524299999999997,1.27769
