gene_short_name,V515-06187-A1,17-00156-7_S13Aligned_cufflinks,TNT-311,TNT-132,TNT-300,17-00283-0_S6Aligned_cufflinks,TNT-14,TNT-76,TNT-183,TNT-166,TNT-239
MIA,21.0747,0.0,0.679179,0.0,0.23780500000000002,3.07223,13.5693,6.86349,0.500988,53.5438,38.436
MID1,36.2366,0.0,20.1731,22.0039,20.0863,8.45507,27.3804,43.0015,5.79772,39.7655,27.8837
MYBL1,4.603619999999999,0.0,35.6761,9.64146,8.29579,2.64126,161.042,16.8039,13.9755,21.8306,10.6215
NEK2,17.1321,0.0,26.2121,3.18495,38.2809,4.28059,22.8411,29.3384,18.5088,6.9051,24.1101
NTN3,0.023557599999999998,0.0,0.0,0.0,0.0,0.0,0.184201,0.0,0.0278068,0.0,0.0
OGN,1.27872,0.0,19.2765,80.9535,9.317730000000001,70.0729,6.075080000000001,11.7997,7.74605,8.7343,4.3811
PI3,0.0,0.0,0.104431,0.0,0.0,0.12346900000000001,0.327406,74.0994,3.05344,1.22656,0.0
PLEKHB1,14.583,0.0,0.0,0.0,1.02945,0.5123949999999999,5.895,3.5639,0.494162,3.8521099999999997,1.5604799999999999
PMAIP1,1.6239299999999999,0.0,4.56386,0.0,3.43615,1.4941799999999998,3.0045,0.9790120000000001,0.22707,0.803867,4.33091
PSMB9,0.0,0.0,4.98019,16.4014,13.1326,0.0,20.2724,14.6465,37.2284,12.0206,22.3266
PTGDS,1.49063,48.2798,0.644267,6.727469999999999,0.60036,14.6894,2.6254,1.42082,3.28185,1.78555,14.9539
RARRES3,10.7933,12.3192,11.1266,37.6985,45.0648,12.4003,10.9955,13.0092,103.154,9.4068,115.305
RTP4,0.772275,0.0,1.10953,3.84331,16.0639,1.17662,9.087810000000001,1.6689,2.3872,1.5382799999999999,2.47434
S100A1,196.638,17.41,2.51417,0.0,18.1472,31.5658,69.4896,2.02478,0.5643130000000001,35.0289,6.14099
S100A7,6.579160000000001,0.0,305.178,37.4403,6.39159,9.21769,2.50007,1.7490299999999999,40.2684,1.92766,7.22335
S100A8,3.4999599999999997,93.6986,25.4144,74.959,12.3968,19.887999999999998,8.07722,8.5793,131.95600000000002,0.512749,10.8895
SCRG1,23.221999999999998,0.0,2.59455,0.0,0.527354,0.0692026,4.0537,0.15075,1.51841,8.70316,0.616513
SEMA3C,89.189,0.9662040000000001,13.1071,24.1565,6.19792,57.5002,7.385160000000001,31.7132,23.6015,16.292,63.8822
SERHL2,5.02658,0.0,2.84307,9.62371,2.8854900000000003,1.59135,11.0643,2.36334,20.5574,1.3535,5.637169999999999
SFRP1,35.3095,1.7652700000000001,36.9399,3.43042,7.01728,3.24058,12.4205,10.8045,2.33003,95.0425,15.3376
SIDT1,0.9090090000000001,0.0,1.0950799999999998,21.0521,4.66646,2.26422,4.10468,2.9025,16.7941,4.05504,14.1793
SOX10,3.84721,6.01954,0.974734,0.0750195,1.22571,0.872099,3.3060300000000002,4.684069999999999,0.464487,4.6980699999999995,0.45138
SPDEF,0.141878,0.0,0.13159,4.62556,0.378686,0.033780199999999996,1.77865,0.0,8.699530000000001,1.8141900000000002,0.381323
SPRR1B,0.09447810000000001,0.0,0.0,0.0,0.0,2.01348,0.0,0.0,0.10341099999999999,0.0,1.77931
SPTLC2,28.7351,0.0,32.6182,15.6968,104.515,33.8155,50.5338,40.9352,75.6745,44.4199,75.5368
SRPX,12.4869,0.0,3.64121,7.88364,1.1670399999999999,12.2752,1.23219,8.16291,1.61665,6.65442,1.4964
TCF7L1,11.751,0.0,9.57248,2.5219400000000003,16.0625,4.77297,51.7263,26.0239,15.0091,16.6514,6.582000000000001
TFAP2B,1.18026,0.0,0.183917,18.4351,0.0,0.077316,2.5493799999999998,0.0480311,12.5701,0.0,1.99583
THBS4,8.67223,15.8989,47.667,13.3943,0.41319300000000003,8.05528,0.667736,26.1723,8.89122,39.9089,5.87345
TNFAIP8,5.97248,0.0,21.8018,58.0308,18.8236,13.0806,12.4301,13.5345,22.5994,9.97907,134.384
TNFSF10,24.8142,173.023,25.8363,32.1512,48.8902,14.5029,14.402000000000001,11.8922,69.7579,30.8127,70.8998
TRIM68,7.67148,0.0,1.6463299999999998,2.88826,1.68145,3.12594,4.73203,1.4648700000000001,3.20096,3.2868,2.42572
TSC22D3,7.24202,139.387,4.78071,25.4171,12.245,80.2953,3.04296,27.685,19.8955,13.0726,7.86074
UBD,0.0,0.0,3.54236,15.0962,12.4107,36.639,6.246659999999999,15.4731,9.87965,3.849999999999998e-284,46.9344
UGT2B28,0.0,0.0,0.409168,260.887,0.08589010000000001,0.0,0.0,0.0,23.7089,0.042962900000000005,0.36485100000000004
XBP1,26.3139,106.709,28.2336,90.569,57.6415,29.0413,60.9409,64.7398,278.695,31.0008,40.5142
ZCCHC24,0.75321,0.0,0.539957,2.47759,0.0,1.6516,0.18821300000000002,1.41876,2.17403,1.46109,0.334794
