gene_short_name,V515-06187-A1,17-00100-2_S17Aligned_cufflinks,17-00283-0_S6Aligned_cufflinks,17-00141-7_S14Aligned_cufflinks,TNT-45,TNT-14,TNT-328,TNT-195,TNT-282,TNT-94,17-00109-8_S14Aligned_cufflinks
SOX10,3.84721,0.0116108,0.872099,5.33047,1.7930400000000002,3.3060300000000002,0.8844200000000001,1.4996399999999999,0.07446439999999999,0.108668,0.0
SPDEF,0.141878,0.0,0.033780199999999996,1.26166,0.33255100000000004,1.77865,0.061257900000000004,1.43333,0.115434,0.191206,0.7903680000000001
SPRR1B,0.09447810000000001,0.0649554,2.01348,0.0,0.0,0.0,0.0,0.0,7.65229,0.0,408.35400000000004
SPTLC2,28.7351,34.5352,33.8155,37.3209,47.2347,50.5338,10.6137,44.4492,178.102,58.4078,11.6443
SRPX,12.4869,2.21329,12.2752,4.7557599999999995,3.6817900000000003,1.23219,11.3068,13.5443,0.9796940000000001,0.0,6.32479
TCF7L1,11.751,7.3748,4.77297,12.9167,8.33778,51.7263,8.466569999999999,6.93266,1.45767,8.26598,8.40343
TFAP2B,1.18026,1.80719,0.077316,2.2997099999999997,0.199188,2.5493799999999998,0.8045359999999999,4.9751,0.0384123,19.4703,3.19162
THBS4,8.67223,3.8008699999999997,8.05528,0.9029379999999999,2.1029,0.667736,6.2626,19.324,1.69832,6.38352,1.54847
TNFAIP8,5.97248,11.0254,13.0806,10.2742,27.8568,12.4301,5.01769,63.4308,18.8429,10.5429,24.3064
TNFSF10,24.8142,45.96,14.5029,8.05405,22.0889,14.402000000000001,4.20929,44.5186,273.724,35.5034,17.6515
TRIM68,7.67148,5.43264,3.12594,5.42481,1.82696,4.73203,0.21750500000000003,2.8009,2.04787,0.0,0.409947
TSC22D3,7.24202,6.84425,80.2953,12.8591,5.146669999999999,3.04296,6.003909999999999,30.3757,8.62,12.0391,6.559939999999999
UBD,0.0,0.0,36.639,0.0,35.8375,6.246659999999999,0.0,22.4284,48.1235,80.8682,0.319009
UGT2B28,0.0,0.0,0.0,0.0,0.236981,0.0,0.0,0.0,0.915341,0.052959900000000004,0.0
XBP1,26.3139,66.946,29.0413,63.0414,94.0816,60.9409,16.6502,124.742,71.5768,38.7536,34.5791
ZCCHC24,0.75321,1.10658,1.6516,3.65675,0.53233,0.18821300000000002,0.0197941,1.40477,0.7914220000000001,0.0,0.781416
