gene_short_name,V515-06187-A1,TNT-186,17-00243-6_S9Aligned_cufflinks,17-00122-1_S1_cufflinks,17-00252-2_S13Aligned_cufflinks,TNT-269,TNT-111,17-00143-5_S2Aligned_cufflinks,17-00100-2_S17Aligned_cufflinks,TNT-272,17-00110-9_S15Aligned_cufflinks
KCNK5,7.320460000000001,4.7119800000000005,0.144255,0.46611800000000003,0.294427,0.729846,0.153093,0.149882,0.700376,1.87473,4.80851
KIAA1324,6.46799,23.6354,20.3606,9.57451,126.189,15.4293,125.869,89.5923,8.7735,5.59984,177.715
KMO,1.44589,0.0,4.74343,16.8733,34.7942,4.17707,14.655,33.754,6.65857,6.06652,1.4564700000000002
KRT14,118.37100000000001,115.40700000000001,242.393,6.909330000000001,5.01213,280.186,6.890339999999999,0.980966,1582.72,4.912640000000001,2.6992700000000003
KRT16,91.0343,80.1762,22.3233,51.7403,0.6585489999999999,65.8219,1.9038599999999999,9.40847,577.869,126.281,12.7079
KRT17,105.34700000000001,252.606,355.93,111.463,8.48678,423.059,4.03414,60.619,905.3480000000001,447.583,23.1023
KRT6A,54.2242,11.3892,172.062,98.3427,4.24371,191.293,2.37252,2.72352,1570.27,215.078,22.5461
KRT6B,86.6584,14.0925,39.5844,39.5837,0.448112,93.8724,1.76653,1.0345600000000001,239.09799999999998,228.079,63.107
KYNU,14.7879,1.8988200000000002,20.7412,13.9844,44.1455,13.5045,172.138,71.5981,26.6823,17.0448,3.31682
LBP,0.573258,0.0,6.9576199999999995,0.0,6.03514,0.9664790000000001,32.7845,0.830781,0.8672129999999999,3.33742,0.0
LHFP,2.0952,0.928019,3.41442,0.971894,1.97984,0.730913,2.58615,0.411592,1.0104,0.78988,0.905259
MFAP4,1.60954,8.511239999999999,29.2715,0.646041,4.70685,0.951592,10.3604,0.410963,1.15642,3.6858400000000002,1.0410700000000002
MIA,21.0747,6.00948,3.57539,2.24355,0.644031,5.15897,0.0,0.0,2.57247,16.5155,139.753
MID1,36.2366,13.0862,19.4964,19.3349,3.51415,20.813000000000002,15.5697,24.8579,19.8566,35.9257,2.1082400000000003
MYBL1,4.603619999999999,15.4172,2.26514,3.20131,2.22804,21.5336,3.49325,1.8149,7.9371100000000006,8.01273,3.8023800000000003
NEK2,17.1321,18.2987,0.583537,9.729460000000001,6.4397,19.2192,4.20757,27.4882,13.3532,14.4268,11.0728
NTN3,0.023557599999999998,0.0,0.028244799999999997,0.0,0.230461,0.0,0.0,0.0585428,0.0,0.0,0.0371457
OGN,1.27872,23.8106,45.42100000000001,0.491951,6.22191,10.315999999999999,13.2351,0.0757681,1.71931,4.638330000000001,0.20845500000000003
PI3,0.0,0.0,0.47588500000000006,13.0826,0.0,1.10054,0.0,0.0,35.6836,1.75987,0.30924
PLEKHB1,14.583,0.9845440000000001,1.3299,0.0,0.809535,1.49254,0.639033,0.903185,0.354532,4.17103,3.4420300000000004
PMAIP1,1.6239299999999999,0.0,0.588906,0.701753,0.21333600000000003,4.10292,0.33408899999999997,0.161,5.2159,6.874969999999999,0.10243
PSMB9,0.0,3.80924,0.0,0.0,0.0,11.1926,4.54106,0.0,0.0,9.40904,0.0
PTGDS,1.49063,2.08391,30.8632,10.8266,2.3752400000000002,1.9471900000000002,0.542022,0.64403,1.79285,0.752749,1.69612
RARRES3,10.7933,26.9351,35.4719,3.24346,26.589000000000002,17.6594,30.5666,49.0465,33.1648,20.9999,4.64353
RTP4,0.772275,3.5326800000000005,1.58515,0.0,1.25284,2.94246,0.783504,0.152572,1.6506900000000002,0.749472,0.048426300000000005
S100A1,196.638,10.2827,3.7795699999999997,0.0,19.0594,8.73881,0.248466,0.9346110000000001,9.94192,6.65775,17.525
S100A7,6.579160000000001,0.0,8.425880000000001,7.52054,90.7809,2.95783,1.10461,2.94811,171.572,239.183,0.0
S100A8,3.4999599999999997,0.598796,10.0399,12.2914,24.2471,3.39661,5.80152,9.1996,37.7124,259.716,1.75952
SCRG1,23.221999999999998,2.6831,0.0701932,0.0,0.0471849,1.8791400000000003,1.19671,0.0,0.020760900000000002,1.5624,0.0
SEMA3C,89.189,34.5495,61.3215,58.1962,158.167,25.4501,36.4009,17.3161,52.284,33.857,13.6146
SERHL2,5.02658,0.0,19.9281,9.48451,399.14599999999996,3.41625,546.021,16.2918,1.62858,2.1636900000000003,3.3723199999999998
