gene_short_name,V515-06187-A1,17-00104-2_S7Aligned_cufflinks,17-00107-9_S10Aligned_cufflinks,TNT-117,TNT-219,TNT-297,17-00149-2_S3_cufflinks,TNT-202,17-00139-2_S9Aligned_cufflinks,TNT-282,TNT-69
KRT6B,86.6584,43.8515,20.933000000000003,210.18900000000002,0.742875,52.0512,25.5333,77.1575,23.0478,27.4725,7.0408100000000005
KYNU,14.7879,21.581,2.84132,9.996189999999999,8.8547,11.5655,19.287,4.772880000000001,3.3467599999999997,6.11862,3.73245
LBP,0.573258,0.11828699999999999,0.0,1.21431,0.0,0.152604,0.35496300000000003,0.29684099999999997,1.8779,50.1772,0.49103500000000005
LHFP,2.0952,0.875301,5.20087,0.853878,1.4099899999999999,1.35016,4.33856,0.392373,0.5028779999999999,0.27428600000000003,0.5959979999999999
MFAP4,1.60954,1.09546,57.6063,2.2143200000000003,8.48944,1.71721,40.5223,0.311481,0.451396,3.4615699999999996,0.351571
MIA,21.0747,1.31154,7.688160000000001,23.6586,1.0778299999999998,16.0349,5.89406,2.7299999999999985e-291,0.9413440000000001,22.4521,34.2175
MID1,36.2366,7.2523100000000005,8.02387,10.9271,3.8664400000000003,65.2174,36.4808,20.6841,7.90995,27.0078,20.8948
MYBL1,4.603619999999999,4.57247,0.866525,10.1601,9.22631,61.0025,13.8568,230.329,74.6586,1.09933,59.0741
NEK2,17.1321,16.4332,1.70088,19.7613,6.11541,34.9499,2.19977,47.6521,41.9777,11.9491,36.3432
NTN3,0.023557599999999998,0.175048,0.0,0.0,0.0,0.0,0.11674100000000001,0.0,0.0,0.0,0.0
OGN,1.27872,0.290385,74.2179,17.9973,9.62504,11.4075,29.3232,12.3851,2.70269,5.10016,15.7295
PI3,0.0,0.23979899999999998,4.586790000000001,31.1569,0.0,0.6360180000000001,10.7888,17.4779,1.9945599999999999,111.991,0.0
PLEKHB1,14.583,0.9807030000000001,0.0,1.84595,0.163102,8.1823,6.68156,1.01767,0.203369,1.6425599999999998,0.47036400000000006
PMAIP1,1.6239299999999999,2.90099,0.0,3.58485,5.16143,2.39667,0.8192229999999999,6.59513,12.390999999999998,1.82572,2.0832599999999997
PSMB9,0.0,0.0,0.0,25.6842,11.1204,13.9884,0.0,17.354,0.0,29.4268,5.87836
PTGDS,1.49063,2.26397,6.37324,3.76609,11.7022,11.6725,59.3874,1.9078,1.11693,0.0,0.59451
RARRES3,10.7933,1.89975,12.6041,39.6772,45.042,19.2644,27.1692,7.53713,6.2457,101.685,4.410819999999999
RTP4,0.772275,0.151952,0.803098,6.17068,2.86061,1.57226,5.84245,0.217629,1.01529,6.157769999999999,0.7497020000000001
S100A1,196.638,0.0,0.0,3.45831,0.760753,14.5831,4.15144,16.643,2.49971,1.77668,23.4472
S100A7,6.579160000000001,45.4113,6.51391,109.561,0.0,0.26295799999999997,10.9799,10.9899,0.849959,318.707,1.43858
S100A8,3.4999599999999997,19.8689,27.7981,7.944369999999999,1.15485,3.7241199999999997,13.3072,2.47669,2.9412599999999998,366.35900000000004,0.300674
SCRG1,23.221999999999998,0.0,0.0,1.41262,0.253287,15.7144,0.00211499,15.2656,0.0,1.61784,12.8088
SEMA3C,89.189,42.2899,63.9728,40.4564,41.6009,11.818,27.6404,32.5006,38.9655,59.1956,61.7731
SERHL2,5.02658,3.2118599999999997,1.83139,1.4235200000000001,2.98422,3.6819800000000003,1.3887,0.991125,4.63755,2.15706,1.4883600000000001
SFRP1,35.3095,1.0608899999999999,1.20859,4.88652,0.601146,40.8617,19.715999999999998,4.3348,1.51994,4.15131,59.0984
SIDT1,0.9090090000000001,8.90804,24.0965,8.4761,15.2371,2.16657,5.21851,2.41152,0.872016,5.48231,1.39344
SOX10,3.84721,0.270609,0.0,0.401648,0.0738485,2.94014,0.28732800000000003,0.7131270000000001,0.24186300000000002,0.07446439999999999,1.60505
SPDEF,0.141878,0.0699543,0.0,0.172244,4.07118,0.387559,0.506156,0.0501171,0.058434900000000005,0.115434,0.25425
SPRR1B,0.09447810000000001,7.66609,7.9079,1.02934,0.0,0.0,0.0,0.731959,0.0,7.65229,0.0
SPTLC2,28.7351,27.6182,20.6055,32.9667,44.4583,36.4933,62.1005,23.592,24.144000000000002,178.102,27.3687
SRPX,12.4869,1.56102,9.574110000000001,1.55964,3.4648,2.91066,38.6601,2.13951,1.27999,0.9796940000000001,3.8546400000000003
TCF7L1,11.751,4.27422,5.48526,16.3451,2.14677,11.6125,18.683,12.4548,11.0243,1.45767,21.0061
TFAP2B,1.18026,0.615416,0.202828,0.301744,0.0,0.54202,9.60052,0.043904900000000004,0.257357,0.0384123,1.01875
THBS4,8.67223,3.7549300000000003,33.2562,8.9054,105.4,11.2152,15.0262,9.82113,6.218719999999999,1.69832,18.6862
TNFAIP8,5.97248,8.91414,5.88908,23.5476,43.0629,20.7664,17.7323,11.4387,5.70276,18.8429,11.3972
TNFSF10,24.8142,7.52508,27.9843,31.8891,17.9517,18.3052,63.7544,53.0847,48.6482,273.724,9.12321
TRIM68,7.67148,0.6705949999999999,7.91414,1.91052,1.9172099999999999,4.2845,0.46161800000000003,2.2568799999999998,0.120771,2.04787,1.05924
TSC22D3,7.24202,2.00415,13.8724,42.852,28.1163,24.3684,95.8656,5.32342,3.85501,8.62,2.52544
UBD,0.0,0.0,0.0,109.931,7.89514,1.14499,0.0,19.2552,0.0,48.1235,20.0174
UGT2B28,0.0,0.0,0.0,0.0,0.0,2.27661,0.0,0.0,0.0,0.915341,2.47028
XBP1,26.3139,18.1345,20.5809,41.2359,235.39,30.2841,67.0486,36.7108,18.3573,71.5768,21.5179
ZCCHC24,0.75321,0.13893,1.1772,0.17028800000000002,2.29724,1.4512399999999999,5.41346,0.0990294,0.116612,0.7914220000000001,0.144769
