gene_short_name,V515-06187-A1,TNT-62,TNT-299,TNT-208,TNT-218,TNT-122,TNT-293,TNT-105,TNT-182,TNT-245,TNT-56
ABCA8,1.07397,6.7904800000000005,8.87917,16.3134,0.23111700000000002,88.0911,8.951360000000001,31.9528,5.738980000000001,8.9799,53.5647
ADRA2A,0.196819,0.33839400000000003,0.321954,0.492345,1.2081600000000001,0.408986,0.0,0.0701431,0.0891861,0.139203,0.818513
AKAP12,3.7524300000000004,11.6889,8.3169,22.9325,2.32421,15.4194,2.2178400000000003,9.491489999999999,13.2235,5.12106,7.0299
ALDH3B2,34.613,0.22072399999999998,2.22473,7.122139999999999,16.6609,23.2977,16.92,0.0,0.223333,4.80485,2.74039
APOD,101.54799999999999,305.796,26.3483,55.8797,3.9072,1264.04,9.12083,114.32,108.309,6.02412,3331.85
ART3,19.2103,30.5461,47.8547,0.39968000000000004,42.4891,0.293089,0.088062,17.1801,39.255,5.12479,4.69583
ASPN,31.1651,53.1139,14.6382,21.4995,8.27807,81.4283,10.0876,168.207,102.374,12.6273,27.5234
AZGP1,64.9749,169.28900000000002,144.884,170.612,17.1262,235.84599999999998,42.7428,9.073,87.2981,0.815736,112.811
BLVRB,6.57613,2.32839,1.49672,2.03717,1.33646,2.1386700000000003,3.3330699999999998,0.431008,1.3189899999999999,2.28742,1.36521
C7,0.29143,0.517314,4.52315,35.7726,14.321,112.07600000000001,6.76911,5.95524,4.2449,11.4507,9.02806
CCL5,1.03708,6.883839999999999,6.02102,3.7465599999999997,2.72617,4.87955,3.0321700000000003,6.4528300000000005,9.13623,4.07395,15.388
CD36,36.5005,14.0796,80.6752,21.7614,5.77646,122.99799999999999,929.357,49.5897,31.6866,9.4337,1102.89
CD52,5.15236,22.6616,14.2911,78.3063,124.915,124.007,12.8056,19.3671,63.4951,207.293,120.281
CDC20,19.1111,14.1862,4.88095,5.1962,6.84373,0.59246,9.34047,3.94257,8.12888,4.63374,15.8234
CHI3L1,52.4824,18.4108,21.8619,22.6745,50.4066,13.0996,7.55722,5.77056,54.8576,1.14299,2.97668
COL2A1,124.822,68.7017,8.712819999999999,0.281686,0.31563800000000003,0.8434200000000001,0.109884,4.955830000000001,7.765639999999999,0.0,0.0649235
COL5A1,145.37,60.9466,36.7694,161.51,11.295,117.70299999999999,32.5814,51.5344,91.7031,19.2176,56.8638
