gene_short_name,V515-06187-A1,17-00119-5_S5_cufflinks,TNT-105,TNT-167,TNT-245,17-00100-2_S17Aligned_cufflinks,17-00127-8_S3Aligned_cufflinks,TNT-195,17-00163-6_S7Aligned_cufflinks,17-00109-8_S14Aligned_cufflinks,TNT-210
KRT16,91.0343,0.399931,14.972999999999999,0.526784,72.4084,577.869,38.5884,5.14653,331.452,113.62200000000001,23.75
KRT17,105.34700000000001,2.72871,73.9639,7.348389999999999,50.6806,905.3480000000001,84.8248,44.1026,128.648,109.838,30.2448
KRT6A,54.2242,5.65316,49.8643,41.3597,501.908,1570.27,13.9847,7.37833,7.01012,176.732,107.251
KRT6B,86.6584,0.318894,8.31075,0.0895952,57.1734,239.09799999999998,0.40174499999999996,22.689,36.4685,27.5727,120.655
KYNU,14.7879,6.0292,17.2198,68.2565,51.3641,26.6823,1.47338,7.339639999999999,17.2676,11.2024,31.8261
LBP,0.573258,0.09363139999999999,0.669962,9.54014,3.3036300000000005,0.8672129999999999,0.0,0.0,0.215567,0.33400100000000005,1.41346
LHFP,2.0952,4.24425,0.9068860000000001,2.91939,0.786022,1.0104,0.0,0.234188,0.448266,5.09697,1.50736
MFAP4,1.60954,21.8434,0.276358,0.285096,3.01022,1.15642,0.0,10.6199,0.8498379999999999,33.1626,2.77163
MIA,21.0747,0.515727,4.42199,0.0,2.5009900000000003,2.57247,19.563,0.558431,47.2477,0.0,30.7945
MID1,36.2366,12.5283,17.305999999999997,0.998935,53.1071,19.8566,6.68681,16.7236,28.5098,24.305,25.749000000000002
MYBL1,4.603619999999999,5.70975,29.0446,18.9003,24.6381,7.9371100000000006,2.20285,57.5484,82.4844,9.16538,11.9977
NEK2,17.1321,7.4495,21.2469,34.501999999999995,10.7359,13.3532,43.548,22.1877,32.5305,0.0,18.4369
NTN3,0.023557599999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16475499999999998,0.035751
OGN,1.27872,3.5676300000000003,24.8683,10.6749,23.8909,1.71931,0.0,40.6724,1.08168,69.1051,3.78341
PI3,0.0,0.0,3.8761300000000003,0.0,9.06803,35.6836,0.0,0.19831500000000002,4.07075,42.1368,0.0
PLEKHB1,14.583,4.26713,0.41018599999999994,2.0671,0.1661,0.354532,5.012630000000001,0.389207,2.10874,0.0,1.56536
PMAIP1,1.6239299999999999,0.990152,4.45515,0.0,1.51889,5.2159,0.0,2.54785,1.47062,0.0,3.09234
PSMB9,0.0,0.0,4.74485,4.53273,13.948,0.0,0.0,22.4078,7.113580000000001,0.0,18.2534
PTGDS,1.49063,46.0158,1.51005,0.0,5.40318,1.79285,0.0,17.0388,1.03946,15.7746,13.040999999999999
RARRES3,10.7933,40.8124,0.474576,13.385,20.4484,33.1648,0.0,39.2069,2.74916,4.0892800000000005,110.446
RTP4,0.772275,2.40448,3.08054,0.0,2.42213,1.6506900000000002,5.36867,2.39704,2.11816,0.0,2.80194
S100A1,196.638,3.46,1.14229,10.9158,0.429034,9.94192,0.0,8.99812,210.674,0.0,5.722569999999999
S100A7,6.579160000000001,0.0,0.287052,0.0,10.0773,171.572,0.0,10.7501,4.38432,800.868,13.8936
S100A8,3.4999599999999997,1.28559,2.19215,40.9234,23.884,37.7124,0.0,16.3063,24.6743,356.125,8.24156
SCRG1,23.221999999999998,0.0,8.46354,0.0,3.6547,0.020760900000000002,0.0,5.83464,55.2941,0.0,0.396997
SEMA3C,89.189,4.72481,11.2917,29.3804,53.3267,52.284,11.4171,37.1668,13.6893,84.3966,62.8637
SERHL2,5.02658,7.02274,1.23294,475.086,6.5431,1.62858,0.0,1.57418,2.30145,0.0,3.14037
SFRP1,35.3095,1.51569,9.92695,4.29796,0.0,0.9832989999999999,2.21414,5.8487599999999995,1.5730600000000001,4.28439,17.6487
SIDT1,0.9090090000000001,21.6157,7.382060000000001,43.6153,15.6307,2.97838,0.0,4.88103,0.5139630000000001,1.8106900000000001,18.0737
SOX10,3.84721,0.7864329999999999,0.136748,2.04258,0.0,0.0116108,7.96475,1.4996399999999999,0.0,0.0,0.505514
SPDEF,0.141878,4.4673099999999994,0.17005699999999999,18.284000000000002,0.0,0.0,0.0,1.43333,0.223563,0.7903680000000001,0.225649
SPRR1B,0.09447810000000001,0.0,0.0,0.0,0.0,0.0649554,0.0,0.0,0.308586,408.35400000000004,0.5695319999999999
SPTLC2,28.7351,46.6552,17.4526,100.115,36.6645,34.5352,75.7357,44.4492,32.8332,11.6443,86.4089
SRPX,12.4869,4.45723,1.8690799999999999,3.0497400000000003,0.502636,2.21329,0.0,13.5443,1.92123,6.32479,2.24911
TCF7L1,11.751,8.2904,7.84506,7.44906,4.091080000000001,7.3748,18.2386,6.93266,26.805,8.40343,6.50692
TFAP2B,1.18026,2.9413400000000003,3.45665,88.6032,0.586359,1.80719,1.05255,4.9751,0.956076,3.19162,1.14647
THBS4,8.67223,0.898207,6.39966,13.5348,1.9508900000000002,3.8008699999999997,0.0,19.324,1.21156,1.54847,2.7887299999999997
TNFAIP8,5.97248,45.9788,14.0833,26.9164,68.8324,11.0254,30.9,63.4308,8.02079,24.3064,128.994
TNFSF10,24.8142,74.206,14.3237,7.97765,44.0606,45.96,12.2587,44.5186,3.33955,17.6515,70.8588
TRIM68,7.67148,1.85303,6.166530000000001,3.56293,1.58243,5.43264,0.0,2.8009,0.8307700000000001,0.409947,2.30429
TSC22D3,7.24202,21.5401,1.22046,81.2312,13.0707,6.84425,0.0,30.3757,18.3645,6.559939999999999,4.66311
UBD,0.0,0.0,11.7216,1.58e-09,35.3229,0.0,1.54253,22.4284,0.0,0.319009,48.9351
UGT2B28,0.0,0.0,22.5777,364.95,0.617993,0.0,0.0,0.0,0.0,0.0,0.0
XBP1,26.3139,74.226,17.2361,79.6914,112.54299999999999,66.946,25.4364,124.742,39.7686,34.5791,35.0833
ZCCHC24,0.75321,0.8773639999999999,0.624831,0.7647510000000001,0.0,1.10658,0.0,1.40477,0.257006,0.781416,0.0
