gene_short_name,V515-06187-A1,TNT-195,TNT-117,TNT-214,TNT-113,TNT-288,17-00270-5_S14Aligned_cufflinks,TNT-111,TNT-225,TNT-313,TNT-73
ABCA8,1.07397,30.7235,14.5549,6.30619,6.8020000000000005,10.8786,2.10963,14.8562,19.7157,11.8392,7.7854600000000005
ADRA2A,0.196819,0.22465,1.06228,0.5343899999999999,1.08531,0.283499,0.785147,1.0391700000000001,0.313514,0.166689,0.224004
AKAP12,3.7524300000000004,21.7435,1.6917400000000002,6.27307,12.1145,16.0737,3.9364199999999996,15.7074,11.700999999999999,5.92393,6.59172
ALDH3B2,34.613,1.14113,20.3454,5.43093,4.95691,0.561817,173.954,575.453,0.0,0.129083,8.950569999999999
APOD,101.54799999999999,604.388,63.9205,78.8272,207.709,110.571,1702.36,10225.5,86.1188,68.6262,2468.97
ART3,19.2103,9.550980000000001,17.0419,92.4518,4.94533,3.3811199999999997,0.0,0.17538499999999999,44.2138,5.75635,37.2875
ASPN,31.1651,55.6316,23.7047,5.46924,14.3444,117.07,97.1702,130.499,112.76799999999999,30.4671,20.8746
AZGP1,64.9749,268.497,11.4011,603.7869999999999,17.8315,19.9515,433.668,1218.82,68.2212,86.0315,4.87138
BLVRB,6.57613,4.4294,1.5270299999999999,2.09444,3.42228,3.17771,17.5144,7.4401,0.9385680000000001,2.56904,0.22738899999999998
C7,0.29143,32.9843,0.964774,19.8767,1.1787,2.26989,0.913499,2.59044,7.47819,2.9121599999999996,3.75633
CCL5,1.03708,35.4418,24.8368,9.4678,31.8243,1.4270200000000002,0.0,1.97053,2.44293,6.95546,5.166919999999999
CD36,36.5005,82.4024,19.3201,20.8269,31.2782,21.039,5.78937,94.8575,47.8398,7.603460000000001,29.3908
CD52,5.15236,161.817,108.542,80.1085,157.061,1.79485,25.8947,24.4018,54.5642,146.87,22.8146
CDC20,19.1111,6.47849,11.3241,33.0613,50.0459,35.8456,2.98538,3.7378199999999997,16.8549,4.3525599999999995,6.30304
CHI3L1,52.4824,23.4869,49.0583,1.5293,12.6521,14.8201,16.8958,7.57694,13.4776,122.696,17.4637
COL2A1,124.822,2.00073,0.0492249,0.0,0.0,59.1868,0.0,0.0,2.20486,0.48526499999999995,0.257811
COL5A1,145.37,144.053,36.8377,23.8546,13.4753,299.16700000000003,159.398,219.15400000000002,113.037,57.3617,28.7026
COL5A2,202.313,131.694,37.1575,19.3943,46.0854,316.313,332.476,458.394,173.274,79.4514,55.1583
CRAT,3.09639,8.42276,2.27399,0.567394,19.5146,6.107480000000001,35.1876,70.4712,1.33989,0.906711,7.99856
CROT,17.2031,21.0095,7.6070199999999994,12.2198,14.5467,10.527000000000001,61.1756,61.6759,8.52486,9.1463,8.95417
CXCL10,2.29941,96.1112,122.946,45.9677,290.819,4.03918,47.1377,3.96971,8.15851,48.9679,79.1191
CXCL11,0.642556,15.4312,9.78471,17.160999999999998,36.1052,1.12534,17.4057,0.353852,0.637592,3.51615,17.9889
CXCL13,0.0413495,37.6107,37.6351,24.9894,155.442,3.11947,13.6215,23.2391,6.32163,64.2703,25.8386
CYP4F8,0.048019099999999995,0.439154,0.355451,0.0,0.0,0.703976,2.87166,10.0194,0.16966900000000001,0.150132,0.11675799999999999
DBI,412.371,141.929,76.2147,624.36,147.908,91.1501,458.19199999999995,701.686,130.439,139.847,191.018
DEFB1,3.16262,2.00535,1.9851400000000001,0.0,0.0,0.348327,2.34702,0.0,0.09093530000000001,0.9545950000000001,82.74600000000001
DHCR24,38.1374,15.8205,32.4208,7.07305,9.0368,23.7835,130.19799999999998,109.75200000000001,9.11603,20.656,24.2594
DUSP5,2.6614299999999997,4.06994,8.2184,0.619154,6.14911,3.3292699999999997,3.94306,9.23302,4.35424,7.489269999999999,2.62585
FABP7,2.25652,3.66641,0.985374,2.13492,0.048168800000000005,20.3719,202.65,289.357,54.5626,0.0867112,0.24545100000000003
FASN,124.609,3.79399,9.33763,1.35786,2.73138,18.5795,778.4830000000001,122.384,1.28864,2.98044,2.2914
FGFR4,2.32432,1.3025,0.0,0.29037199999999996,0.0,3.6499900000000003,0.55462,8.91163,0.044059,0.253247,0.103253
FGL2,2.48121,13.2934,10.2123,7.35359,14.189,2.4655,10.955,2.79398,7.08488,5.9402099999999995,5.2011400000000005
FOXA1,1.38574,11.4149,0.275353,5.57404,0.184148,0.323396,98.2355,201.456,1.9514099999999999,1.1556,0.840333
FOXC1,9.10755,27.8721,43.8821,48.272,38.9412,73.7762,1.00065,3.5824599999999998,23.0437,47.1304,39.4518
GABRP,8.66089,255.80599999999998,1315.98,124.557,427.715,16.815,1.14783,9.12478,369.529,236.085,788.549
GALNT7,12.4003,18.406,12.4562,8.64044,32.677,5.88805,43.2333,49.7457,29.7218,16.6628,32.0451
GBP1,41.394,180.14700000000002,140.22299999999998,174.83599999999998,282.29,217.05700000000002,151.737,45.8172,106.125,222.533,162.27200000000002
GCHFR,0.42253100000000005,0.0,0.348706,0.096755,0.0,0.0,2.0417099999999997,1.0427799999999998,0.166209,0.0,0.0
GPR87,0.9514879999999999,0.499684,1.68203,1.90972,0.0,0.8004439999999999,1.74747,0.30186199999999996,5.90917,0.22916999999999998,5.26291
GZMB,1.4986,14.8104,24.1368,3.38941,37.6163,0.375847,6.61711,2.45732,1.69408,3.70516,3.86003
HGD,4.21735,0.884692,0.9588110000000001,0.0,0.0,1.9272200000000002,27.7762,24.7993,3.4355800000000003,0.12058599999999998,0.0
HTRA1,91.2943,145.91299999999998,17.8627,15.8426,22.529,82.3084,156.50799999999998,201.75099999999998,176.986,49.7,18.7356
IDO1,0.29142399999999996,28.6191,24.9349,40.6568,39.3203,2.89899,19.0683,1.66038,3.65246,7.03383,9.27438
IGFBP4,13.3498,7.54149,1.7579099999999999,0.927897,2.82959,5.49812,22.6642,3.9110400000000003,0.5581729999999999,1.0656,1.43517
IGHM,55.218999999999994,1091.9,803.919,111.369,268.14799999999997,1.60124,377.42400000000004,595.725,6.72957,804.47,92.9612
IGJ,20.0186,373.709,225.572,159.628,155.94,4.11939,149.07399999999998,212.21599999999998,36.8565,696.573,384.288
