gene_short_name,V515-06187-A1,TNT-58,TNT-267,17-00160-1_S2Aligned_cufflinks,TNT-16,TNT-283,TNT-69,17-00163-6_S7Aligned_cufflinks,TNT-8,TNT-100,17-00110-9_S15Aligned_cufflinks
MYBL1,4.603619999999999,23.7178,6.360469999999999,10.6239,5.06878,5.02566,59.0741,82.4844,376.286,28.7094,3.8023800000000003
NEK2,17.1321,101.637,0.0,26.3562,4.06294,32.5632,36.3432,32.5305,14.7718,17.3282,11.0728
NTN3,0.023557599999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.217783,0.0,0.0371457
OGN,1.27872,15.4139,77.2047,1.35366,107.645,17.6911,15.7295,1.08168,20.2289,16.1288,0.20845500000000003
PI3,0.0,1.67842,0.0,1.8968599999999998,0.0,0.836548,0.0,4.07075,0.0,4.06093,0.30924
PLEKHB1,14.583,3.9863699999999995,0.0,5.0627699999999995,0.257994,1.33354,0.47036400000000006,2.10874,3.62724,0.902408,3.4420300000000004
PMAIP1,1.6239299999999999,0.0,0.0,2.45811,0.652403,1.46853,2.0832599999999997,1.47062,1.17994,2.55461,0.10243
PSMB9,0.0,1.84833,10.8514,0.0,2.22437,33.3966,5.87836,7.113580000000001,4.06649,17.9413,0.0
PTGDS,1.49063,0.0,4.4359,1.8430900000000001,3.8985800000000004,0.60063,0.59451,1.03946,0.848852,2.2711799999999998,1.69612
RARRES3,10.7933,0.0,0.643687,6.713660000000001,35.4638,64.8345,4.410819999999999,2.74916,8.06708,34.1245,4.64353
RTP4,0.772275,0.0,0.0,3.2141900000000003,0.47304300000000005,2.64071,0.7497020000000001,2.11816,2.07602,4.4314599999999995,0.048426300000000005
S100A1,196.638,5.7632699999999994,0.0,13.8277,0.42808199999999996,2.17375,23.4472,210.674,31.9064,17.2424,17.525
S100A7,6.579160000000001,5.43066,0.0,16.7462,2.50147,0.0,1.43858,4.38432,3.72373,90.8251,0.0
S100A8,3.4999599999999997,0.0,7.82419,7.4687399999999995,10.1171,1.97965,0.300674,24.6743,0.35623299999999997,24.8285,1.75952
SCRG1,23.221999999999998,6.731510000000001,0.0,0.353705,4.35705,0.09951310000000001,12.8088,55.2941,53.977,0.134701,0.0
SEMA3C,89.189,5.29232,22.9813,5.61644,79.0897,4.05474,61.7731,13.6893,22.714000000000002,25.4714,13.6146
SERHL2,5.02658,0.873811,7.636589999999999,2.62127,185.252,18.7518,1.4883600000000001,2.30145,16.1385,1.91457,3.3723199999999998
SFRP1,35.3095,1.5655,0.0948535,9.885769999999999,1.82529,0.0,59.0984,1.5730600000000001,42.6241,18.3509,11.7983
SIDT1,0.9090090000000001,0.0,14.4285,0.6342270000000001,17.5978,23.4269,1.39344,0.5139630000000001,0.644053,6.621589999999999,26.2512
SOX10,3.84721,3.6267099999999997,0.824018,7.16494,0.07225039999999999,0.0,1.60505,0.0,1.87999,1.58692,13.8201
SPDEF,0.141878,0.0,0.0,0.302264,16.2187,7.9692,0.25425,0.223563,0.869403,0.40413899999999997,10.8008
SPRR1B,0.09447810000000001,0.0,0.0,0.52413,0.0,0.0,0.0,0.308586,0.0,0.0,0.0
SPTLC2,28.7351,4.23276,7.865289999999999,49.6177,298.634,46.537,27.3687,32.8332,27.8543,47.0239,18.5445
SRPX,12.4869,0.102861,0.0,1.60124,10.7163,2.36183,3.8546400000000003,1.92123,3.72588,3.69887,0.814167
TCF7L1,11.751,22.6994,6.91885,12.7575,6.46698,0.731486,21.0061,26.805,87.3457,12.9741,26.4978
TFAP2B,1.18026,2.55401,53.7207,0.0538654,34.228,0.851188,1.01875,0.956076,2.2852200000000003,0.287497,19.6334
THBS4,8.67223,1.68743,1.26627,0.485063,10.0685,4.76762,18.6862,1.21156,21.1983,8.393239999999999,2.78039
TNFAIP8,5.97248,8.26238,29.2799,9.44032,28.6406,12.5094,11.3972,8.02079,3.41071,48.5812,10.863
TNFSF10,24.8142,9.4525,1.91878,32.8667,158.82,30.3826,9.12321,3.33955,14.0586,108.079,10.6811
TRIM68,7.67148,0.251423,0.0,0.76994,5.53874,5.22976,1.05924,0.8307700000000001,5.83645,0.272175,4.71341
TSC22D3,7.24202,0.0487917,0.0,9.99221,35.7546,61.7873,2.52544,18.3645,9.521510000000001,10.1657,6.786910000000001
UBD,0.0,0.0,1.80293,0.0,2.0899999999999995e-27,6.55876,20.0174,0.0,6.70224,41.9058,0.0
UGT2B28,0.0,0.0,0.0,0.0,4.88119,2.7391900000000002,2.47028,0.0,8.20575,0.0,0.0
XBP1,26.3139,29.2347,5.91547,57.7395,282.606,377.60400000000004,21.5179,39.7686,28.7927,163.35,58.4986
ZCCHC24,0.75321,0.00572394,0.0,0.34524299999999997,2.6722099999999998,0.290128,0.144769,0.257006,0.171518,0.65349,0.532574
