,gene_short_name,V515-06187-A1,TNT-187,17-00140-2_S2_cufflinks,TNT-219,TNT-81,17-00112-1_S7_cufflinks,TNT-278,TNT-16,TNT-210,TNT-267,TNT-218
51,JAM2,11.2143,9.50237,2.42791,6.03214,1.8402,1.48826,14.3004,11.9239,9.67866,11.8907,1.74953
52,KCNK5,7.32046,1.17238,1.77677,0.0989018,1.13588,5.90846,0.0171516,0.141386,0.583528,0.587326,0.897033
53,KIAA1324,6.46799,1.36378,1.1698,81.4101,19.5404,45.812,46.4182,96.8405,23.6154,7.65217,23.9853
54,KMO,1.44589,5.08304,11.3322,4.78878,3.92246,5.09386,103.886,43.0574,28.6846,13.9442,13.1631
55,KRT14,118.371,76.6467,568.828,0.12216,2.13292,148.933,0.0,10.3312,2.74332,0.628469,3.41339
56,KRT16,91.0343,128.518,340.182,2.40834,20.101,106.581,0.0,1.60011,23.75,0.706737,24.6943
57,KRT17,105.347,511.112,101.24,0.0,46.0299,1.45916,0.0,14.8626,30.2448,25.917,84.8878
58,KRT6A,54.2242,199.184,1898.76,0.0207626,0.884666,2.22255,12.7373,0.816802,107.251,2.14332,136.698
59,KRT6B,86.6584,54.3315,818.47,0.742875,5.00267,6.2199,0.0,1.40484,120.655,1.70068,47.0151
60,KYNU,14.7879,4.54714,52.8919,8.8547,5.33408,2.99107,42.7789,76.4536,31.8261,144.863,9.0285
61,LBP,0.573258,0.915096,0.483336,0.0,0.150571,0.158261,0.812294,16.8719,1.41346,0.0,0.642543
62,LHFP,2.0952,1.69233,0.958182,1.40999,0.672579,1.05402,0.438417,1.91694,1.50736,0.00944402,0.639737
63,MFAP4,1.60954,3.81614,5.13046,8.48944,1.4602,0.217392,1.54269,33.4724,2.77163,0.0,2.82112
64,MIA,21.0747,4.09474,10.8721,1.07783,0.780207,13.1502,0.0,0.250469,30.7945,0.0,26.1396
65,MID1,36.2366,18.203,28.4416,3.86644,14.4472,33.329,7.24832,17.0436,25.749,1.0105,13.0964
66,MYBL1,4.60362,79.2321,24.7996,9.22631,99.5216,24.2743,5.53364,5.06878,11.9977,6.36047,7.97081
67,NEK2,17.1321,41.3487,46.8643,6.11541,58.8953,15.7279,6.9343,4.06294,18.4369,0.0,5.3237
68,NTN3,0.0235576,0.0,0.167211,0.0,0.0,0.0624546,0.0,0.0,0.035751,0.0,0.0487584
69,OGN,1.27872,11.9882,1.7513,9.62504,6.71681,2.06137,21.2801,107.645,3.78341,77.2047,10.2367
70,PI3,0.0,0.0,13.2193,0.0,0.210946,0.384616,0.0,0.0,0.0,0.0,25.1613
71,PLEKHB1,14.583,0.0945248,1.48628,0.163102,1.09671,1.02114,0.284093,0.257994,1.56536,0.0,2.25284
72,PMAIP1,1.62393,4.31058,8.42044,5.16143,4.08651,0.170902,0.808025,0.652403,3.09234,0.0,1.89773
73,PSMB9,0.0,18.9768,0.0,11.1204,20.2986,10.1796,4.4101,2.22437,18.2534,10.8514,22.0108
74,PTGDS,1.49063,0.30579,16.1707,11.7022,3.21588,0.737796,1.81872,3.89858,13.041,4.4359,3.1605
75,RARRES3,10.7933,20.9138,4.27915,45.042,17.2398,12.5541,13.9324,35.4638,110.446,0.643687,48.2855
76,RTP4,0.772275,2.76144,13.7556,2.86061,4.62512,0.44722,0.0868604,0.473043,2.80194,0.0,4.38933
77,S100A1,196.638,15.1005,15.8769,0.760753,7.54413,188.155,0.915583,0.428082,5.72257,0.0,2.17126
78,S100A7,6.57916,4.15211,301.482,0.0,2.04606,0.0,2.87785,2.50147,13.8936,0.0,6.70688
79,S100A8,3.49996,3.62201,151.92,1.15485,3.01338,0.0,3.13544,10.1171,8.24156,7.82419,5.36213
80,SCRG1,23.222,1.37776,0.17457,0.253287,48.1519,0.73371,4.08243,4.35705,0.396997,0.0,2.0477
81,SEMA3C,89.189,38.5855,72.0489,41.6009,6.0655,11.1491,21.9546,79.0897,62.8637,22.9813,54.7683
82,SERHL2,5.02658,0.464766,8.46437,2.98422,2.5315,33.4034,23.6951,185.252,3.14037,7.63659,0.398353
83,SFRP1,35.3095,16.0133,2.53916,0.601146,12.993,20.9305,0.244185,1.82529,17.6487,0.0948535,9.11303
84,SIDT1,0.909009,2.00952,3.1283,15.2371,4.27793,2.31862,19.3007,17.5978,18.0737,14.4285,10.4605
85,SOX10,3.84721,0.0943175,5.45062,0.0738485,3.87501,7.67526,0.0,0.0722504,0.505514,0.824018,0.0940624
86,SPDEF,0.141878,0.0,0.141015,4.07118,0.0297448,3.70993,1.68026,16.2187,0.225649,0.0,0.0
87,SPRR1B,0.0944781,0.0,137.288,0.0,0.0,0.0,0.0,0.0,0.569532,0.0,0.0
88,SPTLC2,28.7351,43.004,33.5879,44.4583,32.8837,50.6829,47.7442,298.634,86.4089,7.86529,33.454
89,SRPX,12.4869,10.878,3.01984,3.4648,2.22247,3.01482,1.06881,10.7163,2.24911,0.0,0.624435
90,TCF7L1,11.751,19.9522,11.4746,2.14677,9.41361,9.5899,0.853785,6.46698,6.50692,6.91885,16.0211
91,TFAP2B,1.18026,1.45806,0.613329,0.0,0.25997,0.508347,82.1722,34.228,1.14647,53.7207,0.0511936
92,THBS4,8.67223,22.4667,1.39697,105.4,1.31731,1.58262,6.88127,10.0685,2.78873,1.26627,4.25511
93,TNFAIP8,5.97248,15.8983,22.7301,43.0629,19.5884,10.0954,31.3622,28.6406,128.994,29.2799,37.9827
94,TNFSF10,24.8142,21.6716,44.791,17.9517,29.7736,4.87246,57.7496,158.82,70.8588,1.91878,30.9646
95,TRIM68,7.67148,3.24729,2.501,1.91721,0.859196,0.323584,0.478931,5.53874,2.30429,0.0,3.62047
96,TSC22D3,7.24202,8.56875,2.33293,28.1163,13.9806,9.21764,20.532,35.7546,4.66311,0.0,13.5572
97,UBD,0.0,42.741,0.0,7.89514,51.0129,0.0,6.17614,2.09e-27,48.9351,1.80293,85.5883
98,UGT2B28,0.0,1.01673,0.0,0.0,0.0,0.0,23.4067,4.88119,0.0,0.0,0.0
99,XBP1,26.3139,31.217,48.3852,235.39,57.2937,135.78,130.299,282.606,35.0833,5.91547,25.345
100,ZCCHC24,0.75321,1.74651,0.389981,2.29724,0.298537,0.520299,0.0790894,2.67221,0.0,0.0,0.351457
