,gene_short_name,V515-06187-A1,TNT-1,TNT-296,17-00127-8_S3Aligned_cufflinks,17-00113-4_S11_cufflinks,17-00122-1_S1_cufflinks,TNT-105,17-00118-2_S5Aligned_cufflinks,TNT-30,TNT-65,TNT-299
83,SFRP1,35.3095,0.445617,11.6134,2.21414,1.9379099999999998,0.7392770000000001,9.92695,13.2394,17.7648,0.0,11.8774
84,SIDT1,0.9090090000000001,14.2356,1.30631,0.0,1.03892,11.5365,7.382060000000001,21.2172,1.8574400000000002,2.77711,2.94446
85,SOX10,3.84721,0.28333800000000003,0.0,7.96475,1.62839,1.4270100000000001,0.136748,6.1676,4.68053,0.023847,2.03024
86,SPDEF,0.141878,10.6382,0.0,0.0,0.0,1.55112,0.17005699999999999,1.19861,0.263268,0.11919400000000001,0.868376
87,SPRR1B,0.09447810000000001,5.8520199999999996,0.0,0.0,0.0,10.5353,0.0,0.0,0.49459899999999996,0.0,0.278642
88,SPTLC2,28.7351,32.4383,17.2495,75.7357,37.4772,11.985,17.4526,10.1009,40.6402,15.0217,26.9449
89,SRPX,12.4869,3.72821,0.08347339999999999,0.0,4.32891,4.18922,1.8690799999999999,7.353160000000001,7.81561,1.9365900000000003,2.8907
90,TCF7L1,11.751,2.02222,11.2977,18.2386,12.1978,29.4036,7.84506,15.4859,23.802,6.70851,10.5965
91,TFAP2B,1.18026,0.0,0.187122,1.05255,0.300197,0.117817,3.45665,10.5496,0.241457,6.92479,2.20139
92,THBS4,8.67223,0.7613449999999999,7.621689999999999,0.0,2.00873,7.5362800000000005,6.39966,0.844511,7.5655399999999995,4.33286,8.9721
93,TNFAIP8,5.97248,12.597999999999999,15.7102,30.9,12.079,13.5491,14.0833,12.507,14.5838,12.5995,8.407010000000001
94,TNFSF10,24.8142,34.7003,38.096,12.2587,20.4693,12.4991,14.3237,13.4055,14.1526,7.56815,8.92687
95,TRIM68,7.67148,6.65522,6.33707,0.0,2.78882,2.71829,6.166530000000001,0.51408,3.7216400000000003,4.91971,1.65405
96,TSC22D3,7.24202,19.0169,7.56735,0.0,6.2024,1.8407099999999998,1.22046,41.9399,12.505999999999998,13.0211,13.1949
97,UBD,0.0,28.7398,189.13099999999997,1.54253,57.6173,0.0,11.7216,0.0,2.27631,0.0,2.67944
98,UGT2B28,0.0,0.0,10.9314,0.0,0.0,0.0,22.5777,0.0,0.21224,8.16426,6.18025
99,XBP1,26.3139,50.1395,27.0571,25.4364,31.089000000000002,41.883,17.2361,82.6609,33.6367,36.2975,22.8505
100,ZCCHC24,0.75321,0.502634,0.0278627,0.0,0.503292,0.204038,0.624831,1.23345,0.876461,0.14769100000000002,0.17440899999999998
