,gene_short_name,V515-06187-A1,TNT-33,TNT-296,TNT-18,TNT-49,TNT-57,17-00252-2_S13Aligned_cufflinks,TNT-104,TNT-177,TNT-218,17-00103-7_S3Aligned_cufflinks
79,S100A8,3.49996,0.204478,6.76212,2.46168,87.3694,0.912848,24.2471,0.543271,0.0,5.36213,7.16315
80,SCRG1,23.222,1.67508,2.43223,3.5533,0.0,51.566,0.0471849,0.0664366,6.31794,2.0477,0.0
81,SEMA3C,89.189,20.5231,4.72316,31.6493,34.3299,14.4221,158.167,302.366,38.0269,54.7683,30.594
82,SERHL2,5.02658,7.81271,0.739515,0.0,1.01784,2.41741,399.146,185.863,11.314,0.398353,2.41013
83,SFRP1,35.3095,42.2408,11.6134,3.7535,3.58035,41.9017,0.424498,1.4594,4.2594,9.11303,2.36344
84,SIDT1,0.909009,12.8335,1.30631,4.20869,9.38234,1.0019,21.9994,37.3052,0.0,10.4605,3.21991
85,SOX10,3.84721,2.78625,0.0,0.339244,0.894327,4.40662,0.0753492,0.0,1.8337,0.0940624,0.0
86,SPDEF,0.141878,7.13518,0.0,0.0,0.0439741,0.0267275,26.3392,4.93238,0.0,0.0,0.0819532
87,SPRR1B,0.0944781,0.0,0.0,0.192372,0.0,0.428247,0.0,0.0,0.0,0.0,0.384352
88,SPTLC2,28.7351,86.3208,17.2495,16.2373,8.47609,51.2638,45.0153,128.374,17.4346,33.454,36.1338
89,SRPX,12.4869,4.34368,0.0834734,2.91963,10.3912,7.25335,2.65072,8.902,8.21848,0.624435,6.0477
90,TCF7L1,11.751,13.4634,11.2977,13.6733,39.6384,51.5262,5.74571,4.85791,12.356,16.0211,4.27525
91,TFAP2B,1.18026,0.0871335,0.187122,0.0264427,3.73534,0.631304,22.5216,92.3299,0.0,0.0511936,0.374233
92,THBS4,8.67223,74.9931,7.62169,24.2912,1.39512,6.38016,15.5802,219.377,22.2968,4.25511,5.72026
93,TNFAIP8,5.97248,59.3159,15.7102,30.5044,9.34008,12.7164,11.3768,15.4619,10.7572,37.9827,16.8954
94,TNFSF10,24.8142,46.6286,38.096,65.3121,49.6164,14.0494,41.5292,138.212,37.211,30.9646,77.0824
95,TRIM68,7.67148,2.47509,6.33707,3.00034,0.0474908,3.50355,5.67096,0.804498,5.86097,3.62047,1.7915
96,TSC22D3,7.24202,29.4275,7.56735,3.91348,18.7024,9.53371,17.9219,20.2465,8.69121,13.5572,28.9859
97,UBD,0.0,47.994,189.131,30.6124,60.5991,1.25475,0.0,5.86496,26.4524,85.5883,0.0
98,UGT2B28,0.0,0.165279,10.9314,3.15284,0.0,0.803126,1.4067,2.69945,0.0,0.0,0.0
99,XBP1,26.3139,141.18,27.0571,30.2895,44.2997,62.5597,392.314,740.561,11.0742,25.345,71.1081
100,ZCCHC24,0.75321,1.07989,0.0278627,0.120759,0.0,0.80106,1.66041,0.0629094,0.0836675,0.351457,1.05722
