,gene_short_name,V515-06187-A1,17-00139-2_S9Aligned_cufflinks,17-00111-2_S4_cufflinks,17-00104-2_S7Aligned_cufflinks,TNT-225,17-00258-5_S5Aligned_cufflinks,TNT-227,TNT-204,17-00113-4_S11_cufflinks,TNT-27,17-00122-1_S1_cufflinks
89,SRPX,12.4869,1.27999,8.0017,1.56102,5.677,3.4638,0.702949,1.88131,4.32891,2.94887,4.18922
90,TCF7L1,11.751,11.0243,5.32251,4.27422,4.43431,9.43708,7.03705,2.498,12.1978,4.68032,29.4036
91,TFAP2B,1.18026,0.257357,1.07807,0.615416,0.551706,0.438146,0.488196,27.5623,0.300197,0.171971,0.117817
92,THBS4,8.67223,6.21872,2.12714,3.75493,57.9839,5.44268,1.73265,52.0386,2.00873,4.17952,7.53628
93,TNFAIP8,5.97248,5.70276,14.428,8.91414,17.7713,14.6041,67.6812,55.4688,12.079,3.46861,13.5491
94,TNFSF10,24.8142,48.6482,21.9902,7.52508,15.0652,16.7985,18.0991,27.04,20.4693,9.22564,12.4991
95,TRIM68,7.67148,0.120771,4.82695,0.670595,2.18322,3.20251,0.934513,2.84899,2.78882,5.14035,2.71829
96,TSC22D3,7.24202,3.85501,105.067,2.00415,21.8741,11.6497,19.0487,16.318,6.2024,2.81851,1.84071
97,UBD,0.0,0.0,0.0,0.0,3.05274,0.0,31.2003,35.4542,57.6173,8.23e-15,0.0
98,UGT2B28,0.0,0.0,0.0354788,0.0,1.0251,0.0,0.0506694,0.492406,0.0,0.0,0.0
99,XBP1,26.3139,18.3573,74.466,18.1345,46.1754,61.1886,33.7205,341.116,31.089,17.6839,41.883
100,ZCCHC24,0.75321,0.116612,3.40631,0.13893,0.562095,1.27759,0.0,1.14291,0.503292,0.0,0.204038
